owner_kind,owner_key,tier,type,title,url,published,quote,confidence
edge,tsmc__nvidia__manufactures,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC,",
edge,tsmc__nvidia__manufactures,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,"Our largest customer in 2023 , 2024 and 2025 accounted for",
edge,nvidia__tsmc__co_designs,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC,",
edge,nvidia__tsmc__co_designs,2,sec_filing,ASML Annual Report 2025,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,2026-02-25,"we were honored to receive the TSMC Supplier ‘Excellence in Green Manufacturing’ Award,",
edge,tsmc__nvidia__packages,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,We utilize CoWoS technology for semiconductor packaging.,
edge,asml__tsmc__supplies,2,sec_filing,ASML Annual Report 2025,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,2026-02-25,ASML is currently the world’s only manufacturer of EUV lithography systems.,
edge,asml__tsmc__supplies,2,sec_filing,ASML Annual Report 2025,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,2026-02-25,"we were honored to receive the TSMC Supplier ‘Excellence in Green Manufacturing’ Award,",
edge,asml__tsmc__supplies,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,Some of the equipment is available from a limited number of,
edge,zeiss-smt__asml__supplies,2,sec_filing,ASML Annual Report 2025,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,2026-02-25,"Carl Zeiss SMT, our sole supplier of lenses, mirrors, illuminators, collectors",
edge,lam-research__tsmc__supplies,2,sec_filing,Lam Research 10-K FY2026,https://www.sec.gov/Archives/edgar/data/707549/000070754926000037/lrcx-20260628.htm,2026-08-07,"included Micron Technology, Inc., Samsung Electronics Company, Ltd., SK hynix Inc., and Taiwan",
edge,lam-research__tsmc__supplies,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,Some of the equipment is available from a limited number of,
edge,lam-research__sk-hynix__supplies,2,sec_filing,Lam Research 10-K FY2026,https://www.sec.gov/Archives/edgar/data/707549/000070754926000037/lrcx-20260628.htm,2026-08-07,"included Micron Technology, Inc., Samsung Electronics Company, Ltd., SK hynix Inc., and Taiwan",
