source,target,type,direction,strength,lock_in_depth,substitutability,is_reversible,risk_level,risk_type,risk_timeline,risk_mitigation,tech_node,formed,strengthened,note
usa,nvidia,controls_access_to,downstream,100,90,5,false,critical,geopolitical,ongoing,Выпущена версия ускорителя под ограничения; идёт лоббирование смягчения правил.,,2022,2025,"Экспортные правила решают, кому NVIDIA имеет право продавать. Решение принимается за сутки и действует немедленно."
bis,nvidia,export_controlled_by,upstream,100,90,5,false,critical,regulatory,ongoing,Соответствие правилам и выпуск отдельных версий продукта под лицензионные пороги.,,2022,,"Ведомство, которое пишет сами правила экспорта чипов. Ровно один опубликованный документ закрывает целый рынок."
usa,bis,controls_access_to,downstream,95,60,10,false,high,regulatory,ongoing,,,1987,,"Ведомство и есть механизм, которым юрисдикция шлюзует экспорт."
china,nvidia,subject_to_restriction,upstream,90,70,20,true,critical,geopolitical,ongoing,Продажи перенаправлены в другие страны; выпущены версии под лицензионные пороги.,,2022,2025,"Второй по величине рынок, куда продавать нельзя без лицензии. Ограничение действует в обе стороны."
nvidia,china,subject_to_restriction,downstream,85,60,20,true,high,geopolitical,ongoing,Диверсификация выручки по регионам.,,2022,,Обратная сторона ограничения: доля выручки из региона резко сократилась.
taiwan,tsmc,geopolitically_dependent,upstream,100,90,5,false,critical,geopolitical,5y+,"Строительство фабрик в США и Японии снижает, но не снимает концентрацию.",,1987,,Всё передовое производство физически находится на этой территории. Это хвостовой риск с полным обнулением поставок.
taiwan,nvidia,geopolitically_dependent,upstream,95,85,10,false,critical,geopolitical,5y+,Второй фаундри и перенос части производства в США.,,1998,,NVIDIA зависит от территории через фабрику: своих заводов у него нет вовсе.
netherlands,asml,export_controlled_by,upstream,95,80,10,false,high,regulatory,ongoing,Согласование лицензий с правительством; поставки в разрешённые юрисдикции.,,2019,2023,"Голландские правила решают, кто в мире может купить станки для печати передовых чипов."
south-korea,sk-hynix,geopolitically_dependent,upstream,85,70,20,true,high,geopolitical,5y+,Расширение производства памяти в США.,,1983,,Производство быстрой памяти сосредоточено в одной стране рядом с зоной военного риска.
south-korea,samsung,geopolitically_dependent,upstream,80,65,25,true,high,geopolitical,5y+,Строительство фабрик в США.,,1969,,"И память, и производство чипов у этой компании сосредоточены в одной юрисдикции."
japan,shin-etsu,geopolitically_dependent,upstream,70,50,35,true,medium,geopolitical,2-5y,Второй источник пластин и резиста.,,1926,,Материалы для фабрик делают несколько японских компаний; экспортные меры уже применялись.
cfius,mgx,controls_access_to,downstream,80,40,25,true,high,regulatory,ongoing,Структурирование сделок с учётом проверки.,,1975,,Комитет проверяет иностранные инвестиции и может заблокировать сделку суверенного капитала.
cfius,nvidia,controls_access_to,downstream,60,35,40,true,medium,regulatory,ongoing,Согласование сделок заранее.,,1975,,Проверка иностранного участия удлиняет сроки партнёрств и покупок NVIDIA.
eu,nvidia,subject_to_restriction,upstream,40,30,60,true,medium,regulatory,2-5y,Адаптация продуктов и документации под требования регламента.,,2024,,"Европейские правила по ИИ повышают издержки продаж, но не ограничивают производство."
eu-ai-act,openai,subject_to_restriction,downstream,45,35,55,true,medium,regulatory,1-2y,Приведение моделей и документации в соответствие.,,2024,,Требования к моделям ложатся прежде всего на лаборатории и на прикладной слой.
eu,eu-ai-act,standardizes_on,downstream,50,30,50,true,low,regulatory,ongoing,,,2024,,"Регламент — инструмент, которым блок задаёт правила для рынка ИИ."
chips-act,intel,controls_access_to,downstream,55,40,45,true,medium,regulatory,2-5y,Диверсификация источников финансирования стройки.,,2022,,Субсидии меняют экономику строительства фабрик в США и потому усиливают внутреннего производителя.
usa,chips-act,standardizes_on,downstream,60,40,40,true,low,regulatory,ongoing,,,2022,,"Закон — инструмент, которым юрисдикция возвращает производство внутрь страны."
singapore,nvidia,controls_access_to,downstream,45,30,55,true,medium,regulatory,1-2y,Проверка конечного покупателя в цепочке поставок.,,2023,,"Логистический узел, через который проверяют обход экспортных ограничений."
mlcommons,nvidia,sets_benchmark,downstream,55,45,45,true,low,none,ongoing,,,2018,,Общие тесты производительности сделали планку публичной: результатами меряются все производители.
china,deepseek,controls_access_to,downstream,70,50,35,true,high,geopolitical,ongoing,,,2023,,Лаборатория работает под китайской юрисдикцией и под встречными ограничениями.
netherlands,tsmc,controls_access_to,downstream,85,70,15,false,high,regulatory,ongoing,Лицензии выдаются союзным юрисдикциям; поставки продолжаются под контролем.,,2019,2025,"Голландская лицензия решает, может ли фабрика купить станки для передовых узлов. Шлюз стоит выше самой фабрики."
japan,tsmc,controls_access_to,downstream,55,45,45,true,medium,regulatory,2-5y,Материалы можно переквалифицировать у других поставщиков за два-три года.,,2019,,Экспортные меры на материалы для фабрик уже применялись как политический инструмент.
