event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,notes,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,origin_id
2026-08-03,2026-08-03,Sequoia,vc,Valar Atomics Inc.,private,nuclear,smr,funding_round,,0,verified_alpha,3,https://techcrunch.com/2026/08/03/sequoias-shaun-maguire-leads-1b-round-for-nuclear-startup-valar-atomics/,"Series B, Sequoia lead; partner Shaun Maguire joins board; company also lined up a separate $200M credit facility (debt, not counted here).",energy_for_ai,lead,equity,series b,1000000000,,6000000000,"Atreides Management, Point72, Snowpoint Ventures, Apandion, Conviction, Dream Ventures, HOF Capital, Riot Ventures, Valor Equity Partners",
2026-08-11,2026-08-11,Sequoia,vc,Neros Technologies,private,defense-tech,autonomous-systems,funding_round,,0,verified,1,https://www.prnewswire.com/news-releases/neros-raises-250m-series-c-at-2-5b-valuation-to-scale-autonomous-and-interceptor-drone-programs-302848736.html,Series C; Sequoia co-led with American Strategic Technology Fund.,defense_ai,lead,equity,series c,250000000,,2500000000,"American Strategic Technology Fund (co-lead), Interlagos, Valor Equity Partners, Allen & Company, Thiel Capital, Spark Capital, Dylan Field",
2026-08-10,2026-08-10,Sequoia,vc,Corma,private,cybersecurity,agentic-security,funding_round,,0,verified_alpha,3,https://fortune.com/2026/08/10/exclusive-corma-raises-60-million-from-sequoia-for-ai-trained-to-defend-against-cyberattacks/,Seed round; Sequoia lead; Khosla Ventures and Coatue participated (see their own rows for this same round).,cyber_security,lead,equity,seed,60000000,,,"Khosla Ventures, Coatue",
2026-08-12,2026-08-12,Sequoia,vc,Form Energy,private,power-energy,grid-storage,follow_on,,0,verified_alpha,3,https://techcrunch.com/2026/08/12/form-energy-raises-750m-to-build-more-100-hour-batteries-for-the-grid/,Series G led by T. Rowe Price; Sequoia new participant. Coatue also participated as a returning investor (see separate row).,energy_for_ai,participant,equity,series g,750000000,,,"T. Rowe Price (lead), Janus Henderson, Franklin Templeton, PEAK6 Investments, Coatue, and others",
2026-08-12,2026-08-12,Coatue,vc,Form Energy,private,power-energy,grid-storage,follow_on,,0,verified_alpha,3,https://techcrunch.com/2026/08/12/form-energy-raises-750m-to-build-more-100-hour-batteries-for-the-grid/,Series G led by T. Rowe Price; Coatue returning investor. Sequoia also new participant this round (see separate row).,energy_for_ai,participant,equity,series g,750000000,,,"T. Rowe Price (lead), Janus Henderson, Franklin Templeton, PEAK6 Investments, Sequoia, and others",
2026-08-13,2026-08-13,Coatue,vc,Databricks,private,ai-data,data-platform,funding_round,,0,verified_alpha,3,https://www.cnbc.com/2026/08/13/databricks-funding-round-190-billion-valuation.html,"Coatue led alongside Blackstone, MGX, T. Rowe Price and new investor Sixth Street Growth; a16z and Thrive Capital participated as existing investors (see their own rows).",ai_applications,lead,equity,growth,5000000000,,190000000000,"Blackstone, MGX, T. Rowe Price, Sixth Street Growth, Andreessen Horowitz, Thrive Capital, Goldman Sachs Alternatives, BOND, Clearlake Capital, Point72, Premji Invest, TPG, Dragoneer",
2026-08-13,2026-08-13,Andreessen Horowitz,vc,Databricks,private,ai-data,data-platform,follow_on,,0,verified_alpha,3,https://www.cnbc.com/2026/08/13/databricks-funding-round-190-billion-valuation.html,"Existing investor participating in round led by Coatue with Blackstone, MGX, T. Rowe Price, Sixth Street Growth.",ai_applications,participant,equity,growth,5000000000,,190000000000,"Coatue (lead), Blackstone, MGX, T. Rowe Price, Sixth Street Growth, Thrive Capital, Goldman Sachs Alternatives",
2026-08-13,2026-08-13,Thrive Capital,vc,Databricks,private,ai-data,data-platform,follow_on,,0,verified_alpha,3,https://www.cnbc.com/2026/08/13/databricks-funding-round-190-billion-valuation.html,"Existing investor participating in round led by Coatue with Blackstone, MGX, T. Rowe Price, Sixth Street Growth.",ai_applications,participant,equity,growth,5000000000,,190000000000,"Coatue (lead), Blackstone, MGX, T. Rowe Price, Sixth Street Growth, Andreessen Horowitz, Goldman Sachs Alternatives",
2026-08-07,2026-08-07,Coatue,vc,Firmus,private,datacenters,hyperscale-campus,follow_on,,0,verified_alpha,3,https://www.bloomberg.com/news/articles/2026-08-07/ai-data-center-group-firmus-draws-2-billion-from-coatue-nvidia,"AI data-center operator (Project Southgate, Australia/APAC). Coatue returning investor alongside NVIDIA (returning); new investors Blackstone Tactical Opportunities and Jane Street.",ai_infrastructure,participant,equity,,2000000000,,10500000000,"NVIDIA, Blackstone Tactical Opportunities, Jane Street",
2026-08-10,2026-08-10,Khosla Ventures,vc,Corma,private,cybersecurity,agentic-security,funding_round,,0,verified_alpha,3,https://fortune.com/2026/08/10/exclusive-corma-raises-60-million-from-sequoia-for-ai-trained-to-defend-against-cyberattacks/,Seed round led by Sequoia; Khosla Ventures participant alongside Coatue.,cyber_security,participant,equity,seed,60000000,,,"Sequoia (lead), Coatue",
2026-08-19,2026-08-19,Khosla Ventures,vc,Veeda AI,private,ai-labs,world-models,funding_round,,0,verified_alpha,3,https://siliconangle.com/2026/08/19/sanja-fidlers-world-model-startup-veeda-ai-raises-90m-in-seed-funding/,Seed round co-led with Radical Ventures; Khosla partner Sven Strohband joins board. Former NVIDIA researcher Sanja Fidler's world-model startup.,frontier_ai,lead,equity,seed,90000000,,,Radical Ventures (co-lead),
2026-08-04,2026-08-04,Andreessen Horowitz,vc,Volta AI Infra Holdings,private,neocloud,gpu-capacity,funding_round,,0,verified_alpha,3,https://www.bloomberg.com/news/articles/2026-08-04/nvidia-dell-back-ai-cloud-startup-volta-at-2-4-billion-value,Co-led with Altimeter Capital; NVIDIA (returning) and Michael Dell also participated. Tied to a separate $10B/6yr cloud contract and $5B customer financing pool (not capital into Volta itself).,ai_infrastructure,lead,equity,,300000000,,2400000000,"Altimeter Capital (co-lead), NVIDIA, Michael Dell",
2026-08-04,2026-08-04,Altimeter,vc,Volta AI Infra Holdings,private,neocloud,gpu-capacity,funding_round,,0,verified_alpha,3,https://www.bloomberg.com/news/articles/2026-08-04/nvidia-dell-back-ai-cloud-startup-volta-at-2-4-billion-value,Co-led with Andreessen Horowitz; NVIDIA (returning) and Michael Dell also participated.,ai_infrastructure,lead,equity,,300000000,,2400000000,"Andreessen Horowitz (co-lead), NVIDIA, Michael Dell",
2026-08-19,2026-08-19,Andreessen Horowitz,vc,Castelion,private,defense-tech,air-missile-defense,funding_round,,0,verified,1,https://www.prnewswire.com/news-releases/castelion-raises-1-billion-series-c-to-scale-production-of-low-cost-hypersonic-weapons-302855711.html,"Series C: $800M equity plus $250M revolving credit facility (debt, excluded from amount here). Co-led with JPMorganChase Strategic Investment Group and Carlyle funds.",defense_ai,lead,equity,series c,800000000,,13000000000,"JPMorgan Strategic Investment Group (co-lead), Carlyle (co-lead), Altimeter, Lightspeed, Lavrock, General Catalyst, Interlagos, T. Rowe Price Associates account",
2026-08-19,2026-08-19,Altimeter,vc,Castelion,private,defense-tech,air-missile-defense,funding_round,,0,verified,1,https://www.prnewswire.com/news-releases/castelion-raises-1-billion-series-c-to-scale-production-of-low-cost-hypersonic-weapons-302855711.html,"Round co-led by JPMorgan Strategic Investment Group, Andreessen Horowitz, and Carlyle; Altimeter partner Erik Kriessmann quoted in the release confirming participation.",defense_ai,participant,equity,series c,800000000,,13000000000,"JPMorgan Strategic Investment Group, Andreessen Horowitz, Carlyle, Lightspeed, Lavrock, General Catalyst, Interlagos",
2026-08-12,2026-08-12,Altimeter,vc,Thrive Holdings Inc,private,ai-applications,enterprise-ai-agents,funding_round,,0,verified_alpha,3,https://techcrunch.com/2026/08/12/openai-backed-thrive-holdings-raises-2b-to-bring-ai-to-the-enterprise/,New investor alongside D1 Capital Partners and SoftBank Group. Thrive Holdings is an AI-driven roll-up of services businesses founded by Thrive Capital's Josh Kushner but is a DISTINCT legal entity from Thrive Capital (the VC firm) -- Thrive Capital itself is not reported as a direct investor in this round.,ai_applications,participant,equity,,2000000000,,12000000000,"D1 Capital Partners, SoftBank Group",
2026-08-18,2026-08-18,Andreessen Horowitz,vc,Etched,private,semiconductors,inference-asic,follow_on,,0,verified_alpha,3,https://techcrunch.com/2026/08/18/etcheds-valuation-doubles-to-21b-in-a-month/,"Round led by Jane Street (also Etched's first customer); a16z participant alongside Kleiner Perkins, Sequoia (see separate row), Tiger Global, Bain Capital Ventures, Neo, Primary, Stripes, Positive Sum, Blackstone.",ai_infrastructure,participant,,,700000000,,21000000000,"Jane Street (lead), Kleiner Perkins, Sequoia, Tiger Global, Bain Capital Ventures, Neo, Primary, Stripes, Positive Sum, Blackstone",
2026-08-18,2026-08-18,Sequoia,vc,Etched,private,semiconductors,inference-asic,follow_on,,0,verified_alpha,3,https://techcrunch.com/2026/08/18/etcheds-valuation-doubles-to-21b-in-a-month/,"Round led by Jane Street; Sequoia participant alongside Kleiner Perkins, Andreessen Horowitz (see separate row), Tiger Global, Bain Capital Ventures, Neo, Primary, Stripes, Positive Sum, Blackstone.",ai_infrastructure,participant,,,700000000,,21000000000,"Jane Street (lead), Kleiner Perkins, Andreessen Horowitz, Tiger Global, Bain Capital Ventures, Neo, Primary, Stripes, Positive Sum, Blackstone",
2026-08-19,2026-08-19,Andreessen Horowitz,vc,Rillet,private,ai-applications,fintech-ai,funding_round,,0,verified_alpha,3,https://techcrunch.com/2026/08/19/rillet-raises-100m-series-c-at-1b-valuation-2-years-after-emerging-from-stealth/,"Series C led by ICONIQ; a16z participant alongside Sequoia (see separate row), Sequoia Global Equities, Bain Capital Ventures, Oak HC/FT, Battery Ventures, FirstMark, Scale Venture Partners, Creandum.",ai_applications,participant,,series c,100000000,,1000000000,"ICONIQ (lead), Sequoia, Bain Capital Ventures, Oak HC/FT, Battery Ventures, FirstMark, Scale Venture Partners, Creandum",
2026-08-19,2026-08-19,Sequoia,vc,Rillet,private,ai-applications,fintech-ai,funding_round,,0,verified_alpha,3,https://techcrunch.com/2026/08/19/rillet-raises-100m-series-c-at-1b-valuation-2-years-after-emerging-from-stealth/,"Series C led by ICONIQ; Sequoia participant alongside Andreessen Horowitz (see separate row), Bain Capital Ventures, Oak HC/FT, Battery Ventures, FirstMark, Scale Venture Partners, Creandum.",ai_applications,participant,,series c,100000000,,1000000000,"ICONIQ (lead), Andreessen Horowitz, Bain Capital Ventures, Oak HC/FT, Battery Ventures, FirstMark, Scale Venture Partners, Creandum",
