event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,notes,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,origin_id
2026-07-21,2026-08-05,Vinod Khosla,individual,"Khosla Ventures MM SPV, LLC",fund,ai-applications,single-deal-spv,spv,60500000,0,verified,1,https://www.sec.gov/Archives/edgar/data/2148181/000214818126000001/xslFormDX01/primary_doc.xml,"CONFIRM of individuals/candidate. Reached the primary: Form D (CIK 0002148181), accession 0002148181-26-000001, filed 2026-08-05. Rule 506(b) pooled investment fund / venture capital fund, CA. Total offering amount 60,500,000; total amount SOLD 60,500,000 (fully subscribed, 0 remaining); 7 investors; minimum investment 0. Related persons: Vinod Khosla, Samir Kaul, Sven Strohnand, David Weiden, Keith Rabois (all Executive Officers). Underlying portfolio company is NOT named in the Form D - 'MM' is the SPV codename only. Single-deal SPV structure confirmed by the fully-sold, small-investor-count profile.",ai_applications,sole,equity,growth,60500000,,,Samir Kaul; David Weiden; Sven Strohnand; Keith Rabois,
2026-08-04,2026-08-04,NVIDIA,corporate,Volta Infra Holdings,private,neocloud,gpu-cloud-financing,corporate_investment,,0,verified,1,https://volta.com/news/volta-launches-the-utility-of-compute/,"CONFIRM of corporate/verified_alpha (was tier 3, Bloomberg). Reached the primary: Volta's own launch announcement on its corporate site, 2026-08-04, legal name Volta Infrastructure Holdings Ltd. The company PR names Azora, Andreessen Horowitz, Altimeter and NVIDIA as the investors behind the Seed + Series A, with Michael Dell's family office and Matter Venture Partners participating; 2.4bn post-money. NVIDIA is a RETURNING investor (was already in the seed) and Volta is an NVIDIA Cloud Partner, so this is vendor-adjacent equity, not arm's-length. NVIDIA's individual slice is not disclosed. The 300m round total comes from the Businesswire release headline, not from the company page, so treat the round total as press-sourced.",ai_infrastructure,participant,equity,series a,300000000,,2400000000,Azora;Andreessen Horowitz;Altimeter;Michael Dell family office;Matter Venture Partners,
2026-03-11,2026-07-20,NVIDIA,corporate,Nebius Group N.V.,public,neocloud,gpu-cloud,minority_stake,2000000000,1,verified,1,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000062/xslSCHEDULE_13G_X01/primary_doc.xml,"Re-emitted with the actual primary document (corporate agent already had this verified). NVIDIA Schedule 13G on Nebius Group N.V. (CUSIP N97284108), event date 2026-07-13, filed 2026-07-20 under Rule 13d-1(c). NVIDIA reports 22,256,412 Class A ordinary shares = 9.3%, consisting of 1,190,476 shares previously reported on its 13F for Q1 2026 PLUS 21,065,936 shares issuable on a PRE-FUNDED Class A warrant acquired 2026-03-11 under a Securities Purchase Agreement with Nebius. NVIDIA is barred from exercising the warrant or selling the underlying shares before 2026-09-11. So the 2bn figure is the press-reported purchase price, not a figure in the filing - the filing confirms the instrument, the date and the 9.3% position.",ai_infrastructure,participant,equity,,,9.3,,,
,2026-07-21,SoftBank,alt_manager,ABB Robotics,asset,robotics,industrial-robotics-acquisition,acquisition,5375000000,0,verified,1,https://group.softbank/en/news/press/20251008,"PARTIAL CONFIRM of alt-managers/candidate. The 1.75bn figure in the candidate row is the BANK LOAN wrapped around the deal (four-bank syndicate, USD + EUR term loans at S+425 / E+425 OID 98.5) - loan syndications are not filed anywhere, so that number stays press-only (Bloomberg 2026-07-21). What IS Tier-1 confirmable is the UNDERLYING ACQUISITION: SoftBank Group's own press release of 2025-10-08 states USD 5,375,000,000 (approx JPY 818.7bn) for ABB Ltd's robotics business, closing mid-to-late 2026, corroborated by ABB's own release (https://new.abb.com/news/detail/129685). amount_usd here is the acquisition price, NOT the loan. disclosed_date kept at 2026-07-21 to merge with the alt-managers row; the acquisition itself was announced 2025-10-08 and has not closed as of this run.",robotics_embodiment,sole,equity,,5375000000,,,,https://group.softbank/en/news/press/20251008
2026-06-04,2026-07-02,Jeff Bezos,individual,Generalist AI,private,robotics,robot-foundation-models,funding_round,,0,verified_alpha,1,https://www.sec.gov/Archives/edgar/data/2137708/000213770826000003/primary_doc.xml,"PARTIAL CONFIRM of individuals/candidate. Form D for Generalist AI, Inc. (CIK 0002137708), filed 2026-06-05: total offering 399,998,660; total SOLD 363,810,091; 36,188,569 remaining; 39 investors; CA; 'Other Technology'. Related persons are the founders/board only (Peter Florence, Andrew Barry, Andy Zeng, Ellen Chisa, Fraser Kelton, Robert Toews) - Bezos is NOT named, and Form D never names non-control LPs, so this Tier-1 document proves the ROUND (size, timing, that it is real and largely closed) but NOT Bezos's participation. Status therefore stays verified_alpha, not verified. Note the Form D total sold (363.8m) is below the 400m round total the press reported - the round was still filling on 2026-06-05.",robotics_embodiment,participant,equity,growth,400000000,,2000000000,Radical Ventures (lead); NVIDIA; 8VC; Union Square Ventures; Norwest,
2026-08-04,2026-08-04,Andreessen Horowitz,vc,Volta Infra Holdings,private,neocloud,gpu-cloud-financing,funding_round,,0,verified,1,https://volta.com/news/volta-launches-the-utility-of-compute/,"DISCOVERY - the a16z side of the Volta round was not in vc/. Volta's own launch page (legal name Volta Infrastructure Holdings Ltd) names Azora, Andreessen Horowitz, Altimeter and NVIDIA as the investors behind the completed Seed + Series A at a 2.4bn post-money. Volta was founded in 2026 by Ricard Boada and Sofia Gumuzio, both ex-Brookfield infrastructure. The launch is anchored by a 10bn strategic partnership with an unnamed frontier AI lab for a 133MW AI factory in Norway built with Bitdeer on NVIDIA Vera Rubin systems. Per-investor slices are not disclosed.",ai_infrastructure,lead,equity,series a,300000000,,2400000000,Azora;Altimeter;NVIDIA;Michael Dell family office;Matter Venture Partners,
2026-08-04,2026-08-04,Altimeter,vc,Volta Infra Holdings,private,neocloud,gpu-cloud-financing,funding_round,,0,verified,1,https://volta.com/news/volta-launches-the-utility-of-compute/,"DISCOVERY - the Altimeter side of the Volta round was not in vc/. Co-lead per Volta's own launch announcement of 2026-08-04. Same round as the a16z and NVIDIA rows: Seed + Series A completed at 2.4bn post-money, 300m total per the Businesswire headline. Slice not disclosed. Altimeter is also on the Hadrian and Base Power rounds this week - three AI-infrastructure/hard-tech leads in one fortnight.",ai_infrastructure,lead,equity,series a,300000000,,2400000000,Azora;Andreessen Horowitz;NVIDIA;Michael Dell family office;Matter Venture Partners,
2026-08-04,2026-08-04,Azora,alt_manager,Volta AI Infrastructure Program,project,datacenters,non-dilutive-ai-factory-financing,project_finance,5000000000,0,verified,1,https://volta.com/news/volta-launches-the-utility-of-compute/,"DISCOVERY - untracked allocator. Volta's own launch page states Azora is providing 5,000,000,000 of NON-DILUTIVE infrastructure financing for future AI factories under a vehicle called the AI Infrastructure Program, which lets institutional investors invest in Volta projects at cost against long-term contracted cash flows. This is the debt/infra layer sitting under the equity round, and is the more structurally interesting half of the announcement: a European infra manager underwriting GPU-factory capex at scale. Azora is also named as an equity co-lead in the same announcement. Added to discovered_allocators.",ai_infrastructure,sole,debt,,,,,Volta Infrastructure Holdings Ltd,
,2026-08-05,Anthropic,corporate,TeraWulf Justified Data Campus (Kentucky),project,datacenters,ai-lab-capacity-lease,corporate_investment,19000000000,1,verified,1,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000162/a_wulfearningsreleaseq22026.htm,"DISCOVERY - no agent had this. TeraWulf Inc. (WULF) Q2 2026 earnings release, filed as Ex-99.1 to an 8-K on 2026-08-05, discloses under Subsequent Events a 20-YEAR data center lease with Anthropic for approximately 401 MW of critical IT capacity at the Justified Data Campus, representing approximately 19bn of contracted revenue over the initial term and up to approximately 33bn if Anthropic exercises both five-year extension options. This is a firm multi-decade capital commitment by an AI lab to a specific physical build, which is why it is recorded as capital allocation rather than a commercial partnership - but note it is a LEASE OBLIGATION, not an equity outlay, and the 19bn is TeraWulf's contracted-revenue figure, hence amount_estimated=1. Same filing: TeraWulf acquired the gigawatt-scale Muskie Data Campus in Eastern Kentucky with up to 1GW contracted from Kentucky Power, and agreed to sell its entire 50.1% Abernathy JV interest for ~530m.",ai_infrastructure,sole,debt,,33000000000,,,,
,2026-08-05,Brookfield,alt_manager,Brookfield AI Infrastructure strategy,fund,datacenters,ai-infrastructure-flagship,fund_launch,5000000000,0,verified,1,https://www.sec.gov/Archives/edgar/data/1937926/000117184326005272/exh_991.htm,"DISCOVERY - no agent had this. Brookfield Asset Management Q2 2026 earnings release (Ex-99.1 to 8-K, 2026-08-05): 'we held a first close in our AI infrastructure strategy, bringing total commitments to date to $5 billion.' This is a dedicated AI-infrastructure vehicle at first close, distinct from BAM's infrastructure flagship. Same release: infrastructure fundraising of 10bn in the quarter, of which 7.9bn for the infrastructure flagship (first close targeted later in 2026), 900m supercore, 900m infrastructure private wealth. BAM raised a record 77bn in Q2 / 98bn YTD and deployed 21bn across the business in the quarter.",ai_infrastructure,sole,equity,,,,,,
