owner_kind,owner_key,tier,type,title,url,published,quote,confidence
edge,openai__nvidia__customer_of,2,partner_pr,OpenAI + NVIDIA: 10 GW,https://openai.com/index/openai-nvidia-systems-partnership/,2025-09-22,OpenAI to build and deploy at least 10 gigawatts of AI datacenters with,
edge,openai__nvidia__customer_of,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,openai__nvidia__validates_demand,2,partner_pr,OpenAI + NVIDIA: 10 GW,https://openai.com/index/openai-nvidia-systems-partnership/,2025-09-22,OpenAI to build and deploy at least 10 gigawatts of AI datacenters with,
edge,openai__nvidia__validates_demand,2,partner_pr,OpenAI + NVIDIA: 10 GW,https://openai.com/index/openai-nvidia-systems-partnership/,2025-09-22,NVIDIA intends to invest up to $100 billion in OpenAI progressively as each,
edge,nvidia__openai__co_designs,2,partner_pr,OpenAI + NVIDIA: 10 GW,https://openai.com/index/openai-nvidia-systems-partnership/,2025-09-22,OpenAI to build and deploy at least 10 gigawatts of AI datacenters with,
edge,nvidia__openai__co_designs,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,anthropic__nvidia__customer_of,2,sec_filing,Amazon 10-K 2025,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,2026-02-06,"investments in convertible notes from Anthropic, PBC (“Anthropic”), including $2.7 billion we",
edge,anthropic__nvidia__customer_of,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,anthropic__nvidia__validates_demand,2,sec_filing,Amazon 10-K 2025,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,2026-02-06,"investments in convertible notes from Anthropic, PBC (“Anthropic”), including $2.7 billion we",
edge,anthropic__nvidia__validates_demand,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,meta__nvidia__validates_demand,2,sec_filing,Meta 10-K 2025,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,2026-01-29,costs related to our data centers and technical infrastructure as well as other,
edge,meta__nvidia__validates_demand,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,xai__nvidia__customer_of,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,xai__nvidia__customer_of,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,sales to one direct customer represented 22% of total revenue,
edge,xai__nvidia__validates_demand,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,xai__nvidia__validates_demand,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,sales to one direct customer represented 22% of total revenue,
edge,google-deepmind__google__funded_by,2,sec_filing,Alphabet 10-K 2025,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,2026-02-04,"our own custom-built Tensor Processing Units (TPUs), such as Ironwood, our seventh-generation TPU.",
edge,google-deepmind__google__funded_by,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"such as Alibaba Group, Alphabet Inc., Amazon, Inc., or Amazon, Baidu, Inc., Huawei, and",
edge,google-deepmind__nvidia__threatens,2,sec_filing,Alphabet 10-K 2025,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,2026-02-04,"our own custom-built Tensor Processing Units (TPUs), such as Ironwood, our seventh-generation TPU.",
edge,google-deepmind__nvidia__threatens,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"such as Alibaba Group, Alphabet Inc., Amazon, Inc., or Amazon, Baidu, Inc., Huawei, and",
edge,deepseek__nvidia__threatens,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
