id,name,aliases,type,role,sector,primary_layer,layers,phase,ticker,public_private,geo,founded,revenue_usd_b,one_liner,why_irreplaceable,what_breaks_it,geo_risk,geo_risk_note,export_regime,concentration
asml,ASML,ASML Holding,company,producer,fab_equipment,L1,L1,mature,AMS: ASML,public,NL,1984,32.0,"Единственный в мире производитель станков EUV — тех, что печатают самые мелкие элементы чипа.","Компания сама заявляет, что она единственный производитель таких станков. Без них передовую фабрику построить нельзя, а построить свои станки — больше десяти лет.",Рабочая альтернатива EUV или потеря эксклюзивного доступа к оптике Zeiss.,high,Экспорт станков ограничен голландскими и американскими правилами.,NL_EXPORT_CONTROLS,95
zeiss-smt,Carl Zeiss SMT,Zeiss SMT|Carl Zeiss,company,producer,fab_equipment,L1,L1,mature,,private,DE,1990,,"Единственный поставщик оптики для станков EUV: линзы, зеркала, коллекторы.","В отчёте ASML прямо назван единственным поставщиком оптики, с которым действует эксклюзивное соглашение. Это узкое место выше самой ASML.",ASML разрабатывает собственную оптику или квалифицирует второго поставщика.,medium,Производство сосредоточено в одной стране и в одной компании.,,98
applied-materials,Applied Materials,"Applied Materials, Inc.",company,producer,fab_equipment,L1,L1,mature,NASDAQ: AMAT,public,US,1967,27.2,Крупнейший поставщик оборудования для нанесения и травления слоёв на кремниевой пластине.,"Один из трёх поставщиков такого масштаба. Заменить можно, но переквалификация процесса на фабрике занимает годы.",Потеря доступа к крупнейшим фабрикам из-за экспортных ограничений.,medium,Продажи в Китай ограничены американскими правилами.,US_EXPORT_CONTROLS,50
lam-research,Lam Research,Lam Research Corporation,company,producer,fab_equipment,L1,L1,mature,NASDAQ: LRCX,public,US,1980,18.0,Оборудование для травления и осаждения; его клиенты — все крупные производители памяти и фабрики.,"Собственный отчёт называет клиентами Micron, Samsung, SK hynix и TSMC. Альтернативы есть, но смена оборудования означает переквалификацию всей линии.",Клиенты переходят на оборудование Applied Materials или Tokyo Electron.,medium,Продажи в Китай ограничены американскими правилами.,US_EXPORT_CONTROLS,45
tokyo-electron,Tokyo Electron,TEL|Tokyo Electron Limited,company,producer,fab_equipment,L1,L1,mature,TSE: 8035,public,JP,1963,15.0,"Японский производитель оборудования для обработки пластин, третий в мире по масштабу.","Входит в тройку поставщиков оборудования. Часть операций делает только он, но по большинству есть альтернативы.",Японские экспортные меры или потеря позиций в нанесении покрытий.,medium,Экспорт оборудования регулируется японскими правилами.,,55
kla,KLA,KLA Corporation|KLA-Tencor,company,producer,fab_equipment,L1,L1,mature,NASDAQ: KLAC,public,US,1975,12.2,"Оборудование контроля: ищет дефекты на пластине до того, как брак уйдёт дальше.","Доминирует в контроле и метрологии. Без него выход годных на передовых узлах падает, а альтернативы заметно слабее.",Появление сопоставимого по точности контроля у конкурента.,medium,Продажи в Китай ограничены американскими правилами.,US_EXPORT_CONTROLS,50
shin-etsu,Shin-Etsu Chemical,Shin-Etsu,company,producer,materials,L1,L1,mature,TSE: 4063,public,JP,1926,16.0,Крупнейший производитель кремниевых пластин и фоторезиста — расходников любой фабрики.,"Пластины и светочувствительный слой расходуются на каждом чипе. Поставщиков немного, а переквалификация материала на фабрике занимает год и больше.",Потеря лидерства в пластинах в пользу корейских производителей.,medium,Производство сосредоточено в Японии.,,60
synopsys,Synopsys,"Synopsys, Inc.",company,platform,eda,L2,L2,mature,NASDAQ: SNPS,public,US,1986,6.5,"Софт, в котором проектируют микросхемы: без него современный чип не нарисовать.","Дуополия с Cadence. Методология проектирования вшита в процессы инженеров, и смена набора инструментов — это годы переобучения и переписывания.",Появление сопоставимого набора инструментов у третьего поставщика.,medium,Экспорт средств проектирования ограничен для отдельных стран.,US_EXPORT_CONTROLS,45
cadence,Cadence,Cadence Design Systems,company,platform,eda,L2,L2,mature,NASDAQ: CDNS,public,US,1988,5.2,Второй из двух поставщиков софта для проектирования микросхем.,Вторая половина дуополии. Инструменты размещения и трассировки заменить нечем: у третьих поставщиков нет сопоставимого покрытия.,Консолидация рынка или прорыв открытых средств проектирования.,medium,Экспорт средств проектирования ограничен для отдельных стран.,US_EXPORT_CONTROLS,45
arm,Arm,Arm Holdings|ARM,company,platform,chip_ip,L2,L2,mature,NASDAQ: ARM,public,GB,1990,4.0,"Лицензирует набор команд, на котором построены процессоры почти во всех устройствах.",Более 350 миллиардов выпущенных чипов используют эту архитектуру. Переход на другую означает переписывание системного софта у всей отрасли.,Массовый переход отрасли на открытую архитектуру RISC-V.,medium,Британская компания под японским контролем; экспортных ограничений нет.,,40
siemens-eda,Siemens EDA,Mentor Graphics|Siemens Digital Industries Software,company,platform,eda,L2,L2,mature,,private,US,1981,,"Третий поставщик софта для проектирования чипов, слабее двух первых по покрытию.",Занимает отдельные ниши верификации и производственной подготовки. Полноценной заменой первым двум не является.,Потеря нишевых позиций верификации.,low,"Экспортные ограничения те же, что у остальных средств проектирования.",,30
tsmc,TSMC,Taiwan Semiconductor Manufacturing Company|Taiwan Semiconductor,company,producer,foundry,L3,L3,mature,NYSE: TSM,public,TW,1987,90.0,"Фабрика, которая физически делает почти весь передовой кремний для ИИ.","Правила её техпроцесса вшиты в саму топологию чипа, поэтому переход на другую фабрику — это перепроектирование. Равнозначное производство строится семь лет и больше.",Конфликт вокруг Тайваня или успешный передовой узел у конкурента.,critical,Всё передовое производство находится на территории с хвостовым военным риском.,TW_EXPORT_CONTROLS,92
samsung,Samsung,Samsung Electronics|Samsung Foundry,company,producer,dram,L4,L3|L4,mature,KRX: 005930,public,KR,1969,200.0,Одновременно производитель памяти и фабрика — редкое сочетание в одной компании.,"Второй источник и по памяти, и по производству чипов. Ни в одном из двух не первый, но именно поэтому служит страховкой сразу от двух рисков.",Отставание в памяти нового поколения и в передовом техпроцессе одновременно.,high,Производство сосредоточено в Южной Корее.,,70
intel,Intel,Intel Corporation|Intel Foundry,company,producer,foundry,L3,L3,at_risk,NASDAQ: INTC,public,US,1968,53.0,Американская фабрика и разработчик процессоров; пытается стать третьим контрактным производителем.,"Единственная альтернатива передовому производству, расположенная в США. Пока не догнала по объёму и по выходу годных, но геополитически ценна именно поэтому.",Отказ от контрактного производства или отставание ещё на поколение.,low,Производство в США снижает геополитический риск цепочки.,,35
ase,ASE Technology,Advanced Semiconductor Engineering|ASE,company,producer,packaging,L3,L3,mature,NYSE: ASX,public,TW,1984,20.0,Крупнейший независимый подрядчик по упаковке кристаллов и тестированию.,"Упаковка стала узким местом не меньшим, чем сам чип. Подрядчиков такого масштаба два-три, и все на Тайване.",Перевод передовой упаковки внутрь фабрики.,high,Производство сосредоточено на Тайване.,,75
amkor,Amkor Technology,Amkor|Amkor Technologies,company,producer,packaging,L3,L3,mature,NASDAQ: AMKR,public,US,1968,6.7,"Второй независимый подрядчик по упаковке и тестированию, с площадками в США.","Второй источник упаковки и единственный крупный американский. Один заказчик даёт почти треть его выручки, что делает зависимым скорее его.",Потеря крупнейшего заказчика.,medium,"Часть производства перенесена в США, часть остаётся в Азии.",,50
sk-hynix,SK Hynix,SK hynix|SK Hynix Inc.,company,producer,hbm,L4,L4,mature,KRX: 000660,public,KR,1983,45.0,"Ведущий производитель HBM — быстрой памяти, которую ставят вплотную к ускорителю.","Первый в списке поставщиков памяти якоря и лидер по HBM. Память нового поколения квалифицируется годами, поэтому сменить поставщика внутри поколения нельзя.",Проигрыш квалификации на следующем поколении памяти.,high,Производство сосредоточено в Южной Корее.,,78
micron,Micron,"Micron Technology|Micron Technology, Inc.",company,producer,hbm,L4,L4,mature,NASDAQ: MU,public,US,1978,25.1,Третий производитель HBM и единственный американский производитель памяти такого масштаба.,"Второй источник памяти и единственный вне Кореи. Технологически догоняет, но его существование снижает зависимость от одной юрисдикции.",Провал квалификации на новом поколении памяти.,medium,"Производство распределено между США, Японией и Тайванем.",,45
kioxia,Kioxia,Kioxia Holdings,company,producer,storage,L4,L4,mature,TSE: 285A,public,JP,2017,11.0,"Производитель флеш-памяти для дисков, на которых лежат данные обучения.",Хранение — самый заменяемый слой памяти: поставщиков несколько и переключение занимает недели.,Ценовая война на рынке флеш-памяти.,low,"Производство в Японии, поставщиков несколько.",,35
sandisk,SanDisk,SanDisk Corporation,company,producer,storage,L4,L4,scaling,NASDAQ: SNDK,public,US,1988,7.0,"Производитель флеш-памяти и накопителей, выделенный из Western Digital.","Ещё один поставщик хранения. Заменим так же легко, как остальные: ценность в объёме, а не в уникальности.",Ценовая война или потеря доступа к совместному производству.,low,Совместное производство с японским партнёром.,,35
amd,AMD,Advanced Micro Devices,company,producer,foundry,L3,L3,scaling,NASDAQ: AMD,public,US,1969,25.8,"Второй разработчик ускорителей для ИИ; делает их на той же фабрике, что и якорь.","Единственный прямой конкурент по ускорителям с сопоставимым железом. Отстаёт не в кремнии, а в софте: его среда программирования не собрала сопоставимой экосистемы.",Открытая среда программирования догоняет по числу написанного под неё кода.,high,"Производство на той же территории, что и у якоря.",,80
