event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,notes,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,origin_id
2026-07-23,2026-07-23,Peter Thiel,individual,Etched,private,ai-compute,transformer-inference-asic,funding_round,,0,candidate,3,https://techcrunch.com/2026/07/23/ai-chip-startup-etched-defies-skeptics-hits-10-3b-valuation-from-big-name-investors/,"NETWORK: Peter Thiel (paypal_mafia, core). Etched closed a $300M Series C at $10.3B on 2026-07-23, led by Sequoia. CANDIDATE, NOT AN EVENT-GRADE CONFIRM: TechCrunch's exact framing is 'Other backers of the company include names like Peter Thiel, Andrej Karpathy, Dylan Field, Amjad Masad' -- that is the CAP TABLE, not a statement that Thiel wrote a NEW check into this round. Escalation done: Tracxn dates both 'Peter Thiel' and 'Thiel Capital' latest investment to 2026-07-23 / Etched (Tier 2, suggests a new check); tryfundable's weekly table also lists him as a named individual in the round; EDGAR full-text turned up NO Form D naming Thiel 2026-06-20..2026-08-07. Two Tier-2/3 sources but they may share one origin (the round PR), so the circular-reporting guard keeps this at candidate. Amount undisclosed.",ai_infrastructure,participant,equity,series c,300000000,,10300000000,Sequoia (lead); a16z; SK Hynix; Jane Street; Diffusion Capital; Andrej Karpathy; Dylan Field; Amjad Masad; Geoffrey Hinton; Fei-Fei Li; Stanley Druckenmiller,https://techcrunch.com/2026/07/23/ai-chip-startup-etched-defies-skeptics-hits-10-3b-valuation-from-big-name-investors/
2026-07-23,2026-07-23,Dylan Field,individual,Etched,private,ai-compute,transformer-inference-asic,funding_round,,0,candidate,3,https://techcrunch.com/2026/07/23/ai-chip-startup-etched-defies-skeptics-hits-10-3b-valuation-from-big-name-investors/,"*** NETWORK COINVESTMENT FLAG *** Dylan Field (thiel_fellowship, core) named in the SAME Etched cap-table sentence as Peter Thiel (paypal_mafia, core) -- two members of two tracked Thiel-lineage networks in one ai-compute deal. Same evidentiary caveat as the Thiel row: TechCrunch says 'other backers of the company include', which does not distinguish an existing position from a new Series C check. Candidate. Amount undisclosed. This is also the only in-window capital signal found for Field.",ai_infrastructure,participant,equity,series c,300000000,,10300000000,Sequoia (lead); a16z; SK Hynix; Jane Street; Peter Thiel; Andrej Karpathy; Amjad Masad,https://techcrunch.com/2026/07/23/ai-chip-startup-etched-defies-skeptics-hits-10-3b-valuation-from-big-name-investors/
2026-07-23,2026-07-27,Stanley Druckenmiller,individual,Etched,private,ai-compute,transformer-inference-asic,funding_round,,0,candidate,2,https://www.tryfundable.ai/blog/top-funding-rounds-week-of-2026-07-27,"Druckenmiller listed among Etched's named individual investors in tryfundable's week-of-2026-07-20 round table (Tier 2 aggregator) but NOT in the TechCrunch write-up. Single effective source -> candidate. Notable because Druckenmiller is a public-markets macro name and a private AI-silicon position is off-pattern for him; would be worth a Q2 13F cross-check but Q2-2026 13Fs are not due until 2026-08-14, after this run. Amount undisclosed.",ai_infrastructure,participant,equity,series c,300000000,,10300000000,Sequoia (lead); Peter Thiel; Geoffrey Hinton; Andrej Karpathy; Fei-Fei Li,https://techcrunch.com/2026/07/23/ai-chip-startup-etched-defies-skeptics-hits-10-3b-valuation-from-big-name-investors/
2026-07-23,2026-08-06,Reid Hoffman,individual,SkillBench,private,ai-applications,ai-skills-assessment,equity,,0,candidate,1,https://www.sec.gov/Archives/edgar/data/2035925/000203592526000003/primary_doc.xml,"NETWORK: Reid Hoffman (paypal_mafia, core). TIER-1 Form D filed 2026-08-06 by SkillBench, Inc. (CIK 0002035925): $17,144,930 offered, $15,069,899 SOLD, first sale 2026-07-23, industry 'Other Technology'. REID HOFFMAN is one of only three named related persons, alongside founders Matthew Beane and Juho Kim -- so he is a director/officer/promoter of the issuer. WHY CANDIDATE, NOT VERIFIED: a related-person listing proves governance involvement, NOT that Hoffman deployed PERSONAL capital; the position could sit at Greylock, and the filing does not break out investors. This is a genuinely new, unreported find (no press coverage located; Tracxn still shows SkillBench's last round as a $430K seed in Aug 2024, so this ~$15M raise is undisclosed elsewhere). round_total_usd = amount actually sold. Worth re-checking next week for a round announcement.",ai_applications,participant,equity,seed,15069899,,,Matthew Beane; Juho Kim (co-related persons),https://www.sec.gov/Archives/edgar/data/2035925/000203592526000003/primary_doc.xml
2026-07-24,2026-07-24,Reid Hoffman,individual,Prentis,private,ai-labs,computer-use-agents,fund_launch,,0,candidate,3,https://techcrunch.com/2026/07/24/prentis-new-ai-lab-co-founded-by-reid-hoffman-mark-pincus-in-talks-to-raise-100m/,"NETWORK: Reid Hoffman (paypal_mafia). Hoffman CO-FOUNDED Prentis, a new AI lab building computer-use models (Hive-32B), with Mark Pincus and Ritankar Das. Reported 2026-07-24 to be 'in talks to raise $100M at a $1B valuation' -- CAPITAL NOT YET CLOSED, so this is a commitment-in-progress, not a completed allocation. A founder-level personal commitment is implied but is not separately sourced or sized. Kept as candidate; escalation found no Form D for 'Prentis' in the window. Round total and valuation are the REPORTED target, not a closed figure.",frontier_ai,sole,equity,seed,100000000,,1000000000,Mark Pincus; Ritankar Das,https://techcrunch.com/2026/07/24/prentis-new-ai-lab-co-founded-by-reid-hoffman-mark-pincus-in-talks-to-raise-100m/
2026-06-11,2026-07-02,Jeff Bezos,individual,Prometheus,private,robotics,physical-ai,funding_round,,0,candidate,3,https://techcrunch.com/2026/06/11/jeff-bezoss-prometheus-raises-12b-to-build-an-artificial-general-engineer-for-the-physical-world/,"Bezos Expeditions among the backers of Prometheus (Project Prometheus), a $12B Series B at $41B. MAJOR CAVEAT: Bezos is CO-FOUNDER AND CO-CEO of Prometheus, so this is largely self-funding his own physical-AI venture through his family office rather than an external allocation. WINDOW: primary disclosure 2026-06-11 predates the 45-day lookback; his participation was re-consolidated in CNBC's 2026-07-02 family-office roundup (in-window). Candidate on both window and self-founding grounds. Personal amount undisclosed.",robotics_embodiment,participant,equity,series b,12000000000,,41000000000,,https://techcrunch.com/2026/06/11/jeff-bezoss-prometheus-raises-12b-to-build-an-artificial-general-engineer-for-the-physical-world/
2026-06-04,2026-07-02,Jeff Bezos,individual,Generalist AI,private,robotics,robot-foundation-models,funding_round,,0,candidate,2,https://www.bloomberg.com/news/articles/2026-06-04/nvidia-backed-robotics-startup-generalist-ai-valued-at-2-billion,"Bezos Expeditions participated in Generalist AI's $400M round at $2B (robot foundation models), led by Radical Ventures with NVIDIA, 8VC, USV and Norwest. *** NETWORK CO-INVEST FLAG ***: 8VC is Joe Lonsdale's (thiel_extended, core) vehicle -> a tracked individual's family-office money and a tracked network member's firm in the same robotics deal. WINDOW: primary disclosure 2026-06-04 predates the lookback; resurfaced via CNBC's 2026-07-02 Bezos family-office roundup. Candidate on window grounds. Personal check undisclosed.",robotics_embodiment,participant,equity,growth,400000000,,2000000000,Radical Ventures (lead); NVIDIA; 8VC; Union Square Ventures; Norwest,https://www.bloomberg.com/news/articles/2026-06-04/nvidia-backed-robotics-startup-generalist-ai-valued-at-2-billion
2026-06-04,2026-07-02,Jeff Bezos,individual,Flourish,private,ai-labs,brain-inspired-low-power-ai,funding_round,100000000,1,candidate,3,https://techfundingnews.com/bezos-flourish-500m-brain-inspired-ai-power-crisis/,"Bezos personally committed a REPORTED ~$100M (roughly doubling an initial $50M pledge) into Flourish's $500M round at a $2.5B post-money -- brain-inspired, low-power AI models pitched against the AI power crunch. Rare case where a personal figure is actually reported, hence amount_usd populated with amount_estimated=1. WINDOW: primary disclosure ~2026-06-04, outside the 45-day lookback, resurfaced in the CNBC 2026-07-02 roundup. Candidate on window grounds plus single-origin reporting on the $100M figure.",frontier_ai,participant,equity,growth,500000000,,2500000000,Lux Capital; GV; Catalio Capital,https://techfundingnews.com/bezos-flourish-500m-brain-inspired-ai-power-crisis/
2026-07-21,2026-08-05,Vinod Khosla,individual,"Khosla Ventures MM SPV, LLC",fund,ai-applications,single-deal-spv,spv,60500000,0,candidate,1,https://www.sec.gov/Archives/edgar/data/2148181/000214818126000001/primary_doc.xml,"TIER-1 Form D filed 2026-08-05 for a brand-new single-deal SPV, Khosla Ventures MM SPV, LLC (CIK 0002148181, Menlo Park, DE LLC formed 2026): $60,500,000 offered and FULLY SOLD, first sale 2026-07-21. Named related persons: VINOD KHOSLA, Samir Kaul, Sven Strohnand, David Weiden and KEITH RABOIS (paypal_mafia, core) -- two watchlist individuals on one filing. SCOPE CAVEAT / WHY CANDIDATE, NOT AN INDIVIDUAL EVENT: this is FIRM capital (a Khosla Ventures deal SPV), explicitly out of scope for personal-capital attribution; the named persons are managing directors of the managing member, not disclosed personal LPs. Recorded so it is not silently dropped and FLAGGED FOR HANDOFF TO THE VC AGENT. 'MM' target company not identified from the filing; no press coverage located. Sector is a placeholder -- the underlying portfolio company is unknown.",ai_applications,sole,equity,growth,60500000,,,Samir Kaul; David Weiden; Sven Strohnand; Keith Rabois,https://www.sec.gov/Archives/edgar/data/2148181/000214818126000001/primary_doc.xml
2026-05-14,2026-05-14,Peter Thiel,individual,Panthalassa,private,datacenters,wave-powered-ocean-datacenters,funding_round,,0,candidate,3,https://fortune.com/2026/05/14/peter-thiel-leading-investment-ocean-data-center-panthalassa/,"NETWORK: Peter Thiel (paypal_mafia, core). Thiel personally LED Panthalassa's $140M raise at a reported ~$1B valuation -- wave-powered offshore compute nodes, i.e. an energy-for-AI / floating-datacenter bet. Explicitly his PERSONAL fund, not Founders Fund (FF backed the company back in 2018). Well corroborated (Fortune, ESG Today, Tom's Hardware). WINDOW: disclosed 2026-05-14, ~85 days out -- well outside the 45-day lookback, so it is filed as a candidate for thematic continuity rather than as a fresh event. It remains the single best example of Thiel deploying identifiable personal capital in 2026 and anchors the energy_for_ai read on him.",energy_for_ai,lead,equity,growth,140000000,,1000000000,,https://fortune.com/2026/05/14/peter-thiel-leading-investment-ocean-data-center-panthalassa/
,2026-06-15,Patrick Collison,individual,Radical Numerics,private,ai-labs,biological-foundation-models,equity,,0,candidate,1,https://www.businesswire.com/news/home/20260615558179/en/AI-Lab-Radical-Numerics-Launches-with-$50M-Seed-Round-To-Build-General-Biological-Intelligence,"Radical Numerics (general biological intelligence lab, founders ex-Liquid AI / Stanford) launched 2026-06-15 with a $50M seed led by Emergence Capital; the BusinessWire release names PATRICK COLLISON among its PRE-SEED investors. Two reasons this stays a candidate rather than an event: (1) the pre-seed check predates the launch announcement by an unknown interval, so no event_date can be dated honestly -- left blank; (2) the 2026-06-15 disclosure is outside the 45-day lookback. Recorded because it is the only sourceable personal allocation found for either Collison brother in the period. Amount undisclosed.",biotech_ai,participant,equity,pre-seed,50000000,,,"Emergence Capital (lead, seed); Obvious Ventures; Triatomic Capital; Factory; First Spark Ventures",https://www.businesswire.com/news/home/20260615558179/en/AI-Lab-Radical-Numerics-Launches-with-$50M-Seed-Round-To-Build-General-Biological-Intelligence
