event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,notes,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,origin_id
,2026-07-31,Amazon,corporate,OpenAI Group PBC,private,ai-labs,frontier-models,follow_on,21300000000,0,verified,1,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,"Amazon 10-Q (Q2 FY2026, filed 2026-07-31), Note 4 + MD&A: 'Subsequent to June 30, 2026, we invested the remaining $21.3 billion Commitment Amount in shares of Series C Preferred Stock of OpenAI.' Balance-sheet, not a CVC vehicle. Completes the $35.0bn equity commitment letter (total $50bn incl. the Q1 $15.0bn), funded EARLY - the commitment was contingent on an OpenAI IPO or specified milestones, neither publicly confirmed. Exact funding date not disclosed; occurred between 2026-07-01 and 2026-07-31.",frontier_ai,participant,equity,growth,,,852000000000,NVIDIA;SoftBank;Microsoft;Andreessen Horowitz;D. E. Shaw Ventures,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm
2026-06-30,2026-07-31,Amazon,corporate,OpenAI Group PBC,private,ai-labs,frontier-models,follow_on,13700000000,0,verified,1,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,"Amazon 10-Q filed 2026-07-31: 'In Q2 2026, we invested $13.7 billion of the Commitment Amount in Series C Preferred Stock.' Second tranche of the $35bn commitment; FIRST disclosed in this filing. event_date set to quarter-end as the amount is a Q2 aggregate, exact date undisclosed. Carrying value of the OpenAI Series C position was $28.7bn at 2026-06-30.",frontier_ai,participant,equity,growth,,,852000000000,NVIDIA;SoftBank;Microsoft,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm
2026-06-30,2026-07-31,Amazon,corporate,Anthropic,private,ai-labs,frontier-models,follow_on,10000000000,0,verified,1,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,"Amazon 10-Q filed 2026-07-31, MD&A liquidity: 'In Q2 2026, we also invested $10.0 billion in Anthropic nonvoting preferred stock.' Cash deployment first disclosed here; distinct from the previously announced up-to-$25bn/$33bn Anthropic framework and from the separate AWS compute expansion (>$100bn/10yrs). Amazon is capped on ownership and holds NONVOTING preferred + convertible notes. Amazon's private-company equity carrying value (Anthropic + OpenAI) rose to $122.3bn at 2026-06-30. event_date = quarter-end proxy; exact date undisclosed.",frontier_ai,participant,equity,growth,,,,,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm
2026-07-27,2026-07-27,NVIDIA,corporate,NAVER Corporation,public,datacenters,sovereign-ai-factory,minority_stake,1000000000,0,verified,1,https://www.sec.gov/Archives/edgar/data/1937926/000117184326004879/exh_991.htm,"Joint NAVER/NVIDIA/Brookfield press release, filed as Ex-99.1 to a Brookfield Asset Management 8-K (Tier 1): 'NVIDIA plans to invest $1 billion into NAVER Corp. and Brookfield plans to fund up to $9 billion for AI infrastructure.' Balance-sheet, not NVentures. Structured as a NAVER third-party allotment of 7,241,564 new common shares -> ~4.5% and NVIDIA becomes NAVER's #3 shareholder; payment scheduled 2026-10-30, subject to customary closing conditions, so capital is COMMITTED not yet funded. Funds expansion of the NVIDIA DSX AI factory at GAK Sejong from 55MW to 200MW by 2028, path to 1GW.",sovereign_ai,participant,equity,,10000000000,4.5,,Brookfield;NAVER,https://www.sec.gov/Archives/edgar/data/1937926/000117184326004879/exh_991.htm
2026-07-27,2026-07-27,NVIDIA,corporate,Safe Superintelligence,private,ai-labs,superintelligence-research,minority_stake,5000000000,1,verified,1,https://nvidianews.nvidia.com/news/ilya-sutskevers-safe-superintelligence-inc-and-nvidia-announce-long-term-strategic-partnership,"NVIDIA newsroom (Tier 1) confirms the FACT ('NVIDIA has additionally made an investment in SSI') but discloses NO amount. The ~$5bn figure (cash plus Vera Rubin compute) is a Bloomberg report -> amount_estimated=1; treat the size as unconfirmed. Deal gives SSI access to the next-gen Vera Rubin platform to raise compute by an order of magnitude, plus joint work on future NVIDIA compute platforms. Balance-sheet, not NVentures.",frontier_ai,participant,equity,,,,,,https://www.bloomberg.com/news/articles/2026-07-27/nvidia-makes-substantial-investment-in-sutskever-s-ai-startup
2026-03-11,2026-07-20,NVIDIA,corporate,Nebius Group N.V.,public,neocloud,gpu-cloud,minority_stake,2000000000,1,verified,1,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000062/primary_doc.xml,"NVIDIA Schedule 13G (event date 2026-07-13, EDGAR-accepted 2026-07-20): 9.3% of Nebius Class A = 22,256,412 shares (1,190,476 held directly + 21,065,936 underlying a pre-funded warrant acquired 2026-03-11 under a Securities Purchase Agreement). NOT new capital this week - the cash went out in March; this is the first public 13G crossing disclosure, which repriced NBIS ~+19% on 2026-07-21. Warrant not exercisable and underlying shares not saleable before 2026-09-11. $2bn deal size is press-reported, not in the filing -> amount_estimated=1.",ai_infrastructure,participant,equity,,,9.3,,,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000062/primary_doc.xml
2026-07-08,2026-07-08,Meta,corporate,"Sturgeon County data center (Alberta, Canada)",project,datacenters,hyperscale-ai,corporate_investment,9170000000,1,verified,1,https://about.fb.com/news/2026/07/breaking-ground-on-metas-first-data-center-in-canada/,"Meta newsroom (Tier 1): groundbreaking on a 1GW AI-optimized data center in Sturgeon County, Alberta - Meta's first in Canada and 33rd globally - 'an investment of more than CAD $13 billion', plus ~CAD $60m of local road/water infrastructure. Wholly Meta-funded balance-sheet capex (no JV partner, unlike El Paso/Hyperion). amount_usd is a CAD->USD conversion of the CAD 13bn headline (press cited US$9.17bn) -> amount_estimated=1. Reported capacity headroom to 1.8GW. Corroborated by DCD, CBC, Quartz.",ai_infrastructure,sole,equity,,,100,,,https://about.fb.com/news/2026/07/breaking-ground-on-metas-first-data-center-in-canada/
2026-07-13,2026-07-13,Meta,corporate,Richland Parish / Hyperion data center (Louisiana),project,datacenters,hyperscale-ai,follow_on,50000000000,0,verified,1,https://www.opportunitylouisiana.gov/news/meta-commits-more-than-50-billion-for-north-louisiana-project-becoming-one-of-the-largest-data-centers-in-history,"Louisiana Economic Development (state government DB, Tier 1), 2026-07-13: Meta commits MORE THAN $50bn to the Richland Parish 'Hyperion' campus - a ~5x expansion of the original Dec-2024 commitment - taking it to ~10m sq ft and 5GW of IT capacity, ~7,500 peak construction jobs and ~1,000 permanent roles. Recorded as follow_on (incremental capital into an existing project). Bloomberg (2026-07-13) separately puts the campus's ALL-IN lifetime price tag above $250bn - that larger figure is press-only and is NOT the amount recorded here.",ai_infrastructure,sole,equity,,,,,,https://www.opportunitylouisiana.gov/news/meta-commits-more-than-50-billion-for-north-louisiana-project-becoming-one-of-the-largest-data-centers-in-history
2026-07-28,2026-07-28,Meta,corporate,Meta-BlackRock El Paso data center venture,project,datacenters,hyperscale-ai,spv,2300000000,1,verified,1,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/meta-20260630.htm,"Confirmed by BOTH Meta's 10-Q Note 13 (Subsequent Event, filed 2026-07-30) and Meta IR's 2026-07-28 press release. Exclusivity agreement in July 2026 to co-develop a ~1GW El Paso TX campus through a venture in which Meta holds a 20% membership interest; BlackRock-managed funds take 80%. amount_usd = Meta's own contribution: 'approximately $2.3 billion of held-for-sale assets, net of liabilities, consisting mostly of construction in progress and land' (10-Q wording is 'approximately' -> amount_estimated=1). Meta also receives a ~$1bn one-time distribution at close and provides residual value guarantees with max aggregate exposure ~$13bn. round_total_usd = the ~$14bn campus development cost (press estimate). Definitive agreements not yet executed; close expected Q3 2026. Second such structure after the Oct-2025 Louisiana venture (also 20%).",ai_infrastructure,participant,jv,,14000000000,20,,BlackRock,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Announces-New-Strategic-Venture-with-BlackRock-to-Develop-Data-Center-in-El-Paso/default.aspx
2026-07-07,2026-07-07,Alphabet,corporate,Proxima Fusion,private,nuclear,fusion-stellarator,corporate_investment,,0,verified,1,https://www.proximafusion.com/press-news/proxima-fusion-raises-eu411-million-to-build-europes-commercial-fusion-champion,"Proxima Fusion company press release (Tier 1) names Google explicitly as a STRATEGIC INVESTOR in a EUR 411m (~$468m) Series A2 at a EUR 2.4bn (~$2.7bn) valuation - the largest private fusion round in Europe on record. Google's individual cheque size is NOT disclosed -> amount_usd blank. Proceeds fund 'Alpha', a net-energy stellarator demonstrator near Munich. Google is a participant, not a lead (XTX Ventures and East X Ventures led). Corroborated by Bloomberg and Reuters (2026-07-07).",energy_for_ai,participant,equity,series a,468000000,,2700000000,XTX Ventures;East X Ventures;RWE;KfW Capital;SPRIND;Burda Principal Investments;Plural;UVC Partners;Balderton;Cherry Ventures;DST Global Partners;Brevan Howard Macro Venture;Lightspeed;DTCF;redalpine;Leitmotif;Elaia;CDP Venture Capital;Bayern Kapital;EIC Fund,https://www.proximafusion.com/press-news/proxima-fusion-raises-eu411-million-to-build-europes-commercial-fusion-champion
