source,target,edge_type,spine,strength,tech_node,started,evidence_quote,source_url,source_tier,published_date,note
Fabrinet,NVIDIA,supply,physical,35,,,"During fiscal year 2025, NVIDIA Corporation and Cisco Systems, Inc. contributed 27.6% and 18.2%, respectively, of our revenues.",https://www.sec.gov/Archives/edgar/data/1408710/000140871025000039/fn-20250627.htm,filing,2025-08-19,"Со стороны Fabrinet: NVIDIA дала 27,6% его выручки в 2025 финансовом году."
ASE Technology,Broadcom,supply,physical,55,,,"The majority of our front-end wafer manufacturing operations is outsourced to external foundries, including Taiwan Semiconductor Manufacturing Company Limited (“TSMC”). We use third-party CMs for a significant majority of our assembly and test operations, including TSMC, Advanced Semiconductor Engineering, Inc., Foxconn Technology Group, Amkor Technology, Inc. and Siliconware Precision Industries Co., Ltd.",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,filing,2025-12-18,Упаковка и тест для Broadcom.
Foxconn,Broadcom,supply,physical,45,,,"The majority of our front-end wafer manufacturing operations is outsourced to external foundries, including Taiwan Semiconductor Manufacturing Company Limited (“TSMC”). We use third-party CMs for a significant majority of our assembly and test operations, including TSMC, Advanced Semiconductor Engineering, Inc., Foxconn Technology Group, Amkor Technology, Inc. and Siliconware Precision Industries Co., Ltd.",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,filing,2025-12-18,Контрактная сборка и тест для Broadcom.
Amkor Technology,Broadcom,supply,physical,45,,,"The majority of our front-end wafer manufacturing operations is outsourced to external foundries, including Taiwan Semiconductor Manufacturing Company Limited (“TSMC”). We use third-party CMs for a significant majority of our assembly and test operations, including TSMC, Advanced Semiconductor Engineering, Inc., Foxconn Technology Group, Amkor Technology, Inc. and Siliconware Precision Industries Co., Ltd.",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,filing,2025-12-18,Упаковка и тест для Broadcom.
Siliconware Precision Industries,Broadcom,supply,physical,40,,,"The majority of our front-end wafer manufacturing operations is outsourced to external foundries, including Taiwan Semiconductor Manufacturing Company Limited (“TSMC”). We use third-party CMs for a significant majority of our assembly and test operations, including TSMC, Advanced Semiconductor Engineering, Inc., Foxconn Technology Group, Amkor Technology, Inc. and Siliconware Precision Industries Co., Ltd.",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,filing,2025-12-18,Упаковка и тест для Broadcom.
TSMC,Astera Labs,supply,physical,100,,,"We use a fabless manufacturing model and partner with TSMC to fabricate all of our ICs. We use Advanced Semiconductor Engineering and Amkor Technologies to assemble, package, and test our ICs.",https://www.sec.gov/Archives/edgar/data/1736297/000173629726000010/alab-20251231.htm,filing,2026-02-20,Astera Labs — fabless; ВСЕ её микросхемы делает TSMC.
ASE Technology,Astera Labs,supply,physical,60,,,"We use a fabless manufacturing model and partner with TSMC to fabricate all of our ICs. We use Advanced Semiconductor Engineering and Amkor Technologies to assemble, package, and test our ICs.",https://www.sec.gov/Archives/edgar/data/1736297/000173629726000010/alab-20251231.htm,filing,2026-02-20,"Упаковка, сборка и тест микросхем Astera Labs."
Amkor Technology,Astera Labs,supply,physical,60,,,"We use a fabless manufacturing model and partner with TSMC to fabricate all of our ICs. We use Advanced Semiconductor Engineering and Amkor Technologies to assemble, package, and test our ICs.",https://www.sec.gov/Archives/edgar/data/1736297/000173629726000010/alab-20251231.htm,filing,2026-02-20,"Упаковка, сборка и тест микросхем Astera Labs."
TSMC,Credo Technology,supply,physical,100,,2026,"In fiscal year 2026, we exclusively used Taiwan Semiconductor Manufacturing Company Limited (TSMC) for semiconductor wafer production.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,filing,2026-06-15,В 2026 финансовом году Credo использовала ИСКЛЮЧИТЕЛЬНО TSMC.
Amkor Technology,Credo Technology,supply,physical,55,,,"Upon the completion of processing at the foundry, we use third-party contractors for packaging, assembly and testing, including Amkor Technology Inc. (Amkor) and Advanced Semiconductor Engineering, Inc. (ASE) for packaging our IC products, King Yuan Electronics Company (KYEC) and Sigurd Microelectronics Corp. (Sigurd) for testing our IC produ",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,filing,2026-06-15,Упаковка микросхем Credo.
ASE Technology,Credo Technology,supply,physical,55,,,"Upon the completion of processing at the foundry, we use third-party contractors for packaging, assembly and testing, including Amkor Technology Inc. (Amkor) and Advanced Semiconductor Engineering, Inc. (ASE) for packaging our IC products, King Yuan Electronics Company (KYEC) and Sigurd Microelectronics Corp. (Sigurd) for testing our IC produ",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,filing,2026-06-15,Упаковка микросхем Credo.
King Yuan Electronics,Credo Technology,supply,physical,35,,,"Upon the completion of processing at the foundry, we use third-party contractors for packaging, assembly and testing, including Amkor Technology Inc. (Amkor) and Advanced Semiconductor Engineering, Inc. (ASE) for packaging our IC products, King Yuan Electronics Company (KYEC) and Sigurd Microelectronics Corp. (Sigurd) for testing our IC produ",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,filing,2026-06-15,Тестирование микросхем Credo.
Sigurd Microelectronics,Credo Technology,supply,physical,30,,,"Upon the completion of processing at the foundry, we use third-party contractors for packaging, assembly and testing, including Amkor Technology Inc. (Amkor) and Advanced Semiconductor Engineering, Inc. (ASE) for packaging our IC products, King Yuan Electronics Company (KYEC) and Sigurd Microelectronics Corp. (Sigurd) for testing our IC produ",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,filing,2026-06-15,Тестирование микросхем Credo.
NVIDIA,Super Micro Computer,supply,physical,90,cuda,,"We work closely with NVIDIA, Intel and AMD, among others, to develop products that are compatible with the latest generation of industry-standard technologies under development.",https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,filing,2025-08-28,Supermicro проектирует продукты под новые платформы NVIDIA заранее и совместно.
Fabrinet,Cisco Systems,supply,physical,30,,,"During fiscal year 2025, NVIDIA Corporation and Cisco Systems, Inc. contributed 27.6% and 18.2%, respectively, of our revenues.",https://www.sec.gov/Archives/edgar/data/1408710/000140871025000039/fn-20250627.htm,filing,2025-08-19,"Cisco — второй крупнейший заказчик Fabrinet, 18,2% выручки."
Vertiv,NVIDIA,partner,physical,55,,,"Our partnership with NVIDIA supports the development of advanced power and thermal infrastructure aligned with next-generation AI and high-performance computing architectures, while our collaboration with Oklo reflects exploration of alternative energy solutions",https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,filing,2026-02-13,Совместная разработка питания и охлаждения под следующие поколения AI-стоек.
Oklo,Vertiv,partner,physical,15,,,"Our partnership with NVIDIA supports the development of advanced power and thermal infrastructure aligned with next-generation AI and high-performance computing architectures, while our collaboration with Oklo reflects exploration of alternative energy solutions",https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,filing,2026-02-13,Пока только изучение вариантов энергоснабжения — ниже порога отрисовки (20).
