name,suggested_class,seen_with,rationale
Artificial Intelligence Infrastructure Partnership (AIP),alt_manager,MGX,"The vehicle MGX actually invests AI infrastructure through alongside BlackRock/GIP, Microsoft and NVIDIA. Aligned Data Centers ($40bn, closed 21 Jul 2026) is AIP's FIRST investment against a stated initial target of mobilising $30bn of equity and up to $100bn including debt - i.e. ~$95bn of announced-but-undeployed AI infrastructure firepower sitting one layer above MGX. Tracking AIP directly avoids attributing consortium deals wholly to MGX and catches deals where MGX's name does not appear."
Korea Investment Corporation,sovereign,"(standalone; benchmarked against MGX and HUMAIN)","New KRW20tn (~$14bn) strategic account approved 30 Jul 2026 for AI, data centers and strategic industries - the first time KIC may deploy domestically. Operations begin 2027, with a separately reported KRW200tn National Growth Fund for AI and semiconductors in preparation. A fourth major state AI pool alongside MGX, PIF/HUMAIN and QIA/Qai."
Qai (Qatar Investment Authority AI vehicle),sovereign,"MGX, Brookfield","QIA's dedicated AI subsidiary; anchor of a $20bn AI infrastructure JV with Brookfield (Dec 2025) to build compute in Qatar and selected overseas markets, and an investor in xAI's $20bn Series E alongside MGX. Repeatedly benchmarked against MGX in July 2026 coverage as one of the four sovereign AI strategies. Not yet on the watchlist."
HUMAIN,sovereign,Saudi PIF,"PIF's wholly-owned operating AI vehicle and the entity that actually signs Saudi compute deals (AirTrunk ~$3bn campus, Cohere 50MW allocation announced 9 Jul 2026, National Infrastructure Fund $1.2bn framework). PIF-level press releases understate Saudi AI deployment because the capital moves through HUMAIN."
Ayar Third Investment Company,sovereign,Saudi PIF,"The PIF SPV that is the actual counterparty on Lucid's SEC filings (the $800m delayed-draw term loan drawn 6 Jul 2026, and the $550m convertible preferred in Apr 2026). PIF's US deployments are traceable in EDGAR under this name, not under 'Public Investment Fund' - worth adding as an entity alias for the filings agent."
Saudi National Infrastructure Fund (Infra),sovereign,"HUMAIN, Saudi PIF","Saudi state infrastructure fund that signed a framework to provide up to $1.2bn toward ~250MW of HUMAIN AI data center capacity and to explore a joint AI data center investment platform. A second, separate Saudi state balance sheet funding AI infrastructure."
Temasek,sovereign,"MGX, BlackRock GIP","Reported as a backer of the AI Infrastructure Partnership that closed the $40bn Aligned Data Centers purchase, and the most active sovereign by deal count in the period. Not currently on the sovereigns watchlist; flagged with the caveat that its AIP participation is press-sourced, not confirmed in the AIP/Aligned primary release."
G42,corporate,MGX,"Founding partner of MGX alongside Mubadala and the operating counterparty on Stargate UAE (1GW Abu Dhabi cluster with OpenAI, Oracle, NVIDIA, Cisco, SoftBank). Abu Dhabi AI capital routinely lands through G42 rather than MGX."
Affinity Partners,alt_manager,Saudi PIF,"Co-investor in the PIF-led $55bn Electronic Arts take-private that closed 4 Aug 2026 (1.1% of consortium equity). A recurring minority partner in PIF's large US transactions."
I Squared Capital,alt_manager,Saudi PIF,"Signed an MoU on 13 Jul 2026 to invest up to $2bn into PIF portfolio companies, targeting up to $1bn each for DIGITAL INFRASTRUCTURE and district cooling - i.e. third-party capital flowing into Saudi data center assets. Non-binding, but the digital-infrastructure earmark makes it a name to watch on the counterparty side."
Amentum,corporate,US Government,"Selected 20 Jul 2026 by DOE/NNSA to negotiate a phased lease for a 1GW AI data center plus ~2GW of on-site generation at the Savannah River Site. The private capital behind a federal AI datacenter site - the counterparty discloses what the agency does not."
NextEra Energy,corporate,US Government,"Building and owning 2GW of gas-fired generation and up to 2.6GW of battery storage for the DOE Paducah AI/HPC campus (announced 29 Jul 2026). Recurring private power counterparty on federal AI site redevelopments."
