id,name,aliases,type,role,sector,primary_layer,domain,layers,phase,ticker,public_private,geo,founded,revenue_usd_b,one_liner,why_irreplaceable,what_breaks_it,geo_risk,geo_risk_note,export_regime,concentration
cuda,CUDA,NVIDIA CUDA,technology,platform,gpu_platform,L10,,L10,mature,,private,US,2006,,"Среда программирования ускорителей: на ней написан почти весь код, который на них считает.","Отрасль пишет код под неё почти двадцать лет. Перенос установленной базы — это не проект, а смена поколения инженеров. Это и есть главный ров якоря.",Массовый переход на переносимую среду программирования ускорителей.,medium,Экспорт софта ограничен вместе с железом.,US_EXPORT_CONTROLS,95
pytorch,PyTorch,PyTorch Foundation,technology,platform,ml_framework,L10,,L10,mature,,academic,US,2016,,"Библиотека, в которой обучают нейросети: в ней написано большинство исследований.","Дуополия с одним конкурентом, но с несопоставимым перевесом по числу пользователей. Ускорители в ней поддержаны в первую очередь, и это закрепляет связку.",Массовый переход исследователей на конкурирующую библиотеку.,low,Проект передан независимому фонду.,,20
jax,JAX,Google JAX,technology,platform,ml_framework,L10,,L10,scaling,,academic,US,2018,,"Вторая библиотека для обучения нейросетей, развивается вокруг собственного ускорителя облака.","Вторая половина дуополии. Существует и работает, но её экосистема заметно меньше — именно это делает ров первой библиотеки заметным.",Потеря поддержки со стороны владельца.,low,"Проект открытый, ведётся одной компанией.",,25
triton,OpenAI Triton,Triton,technology,platform,compiler,L10,,L10,scaling,,academic,US,2021,,"Язык и компилятор, позволяющий писать вычислительные ядра, не углубляясь в среду ускорителя.","Промежуточный слой, который теоретически ослабляет привязку к среде программирования. Пока он сам работает лучше всего на ней же.",Появление зрелой поддержки чужих ускорителей.,low,Открытый проект.,,20
tensorrt,TensorRT,NVIDIA TensorRT,technology,platform,compiler,L10,,L10,mature,,private,US,2016,,Оптимизатор моделей под ускорители якоря: ускоряет запуск обученной модели.,"Собственный инструмент якоря, работает только на его железе. Поднимает стоимость ухода: перенос модели означает потерю этой оптимизации.",Открытые оптимизаторы догоняют по скорости.,low,Экспорт вместе с железом.,,90
nccl,NCCL,NVIDIA Collective Communications Library,technology,platform,compiler,L10,,L10,mature,,private,US,2015,,Библиотека обмена данными между ускорителями внутри кластера при обучении.,"Обучение на тысячах ускорителей упирается в обмен данными. Эта библиотека — стандарт де-факто, и альтернативы под другое железо заметно слабее.",Зрелая переносимая библиотека коллективных операций.,low,Экспорт вместе с железом.,,90
vllm,vLLM,vLLM project,technology,platform,inference_engine,L11,,L11,scaling,,academic,US,2023,,"Открытый движок, который запускает уже обученные модели быстро и дёшево.","Стал общим знаменателем для запуска моделей. Поддерживает разное железо, и именно поэтому снижает привязку к одному поставщику.",Появление более быстрого открытого движка.,low,Открытый проект многих организаций.,,20
sglang,SGLang,SGLang project,technology,platform,inference_engine,L11,,L11,scaling,,academic,US,2024,,"Второй открытый движок запуска моделей, конкурирует с первым по скорости.","Прямой конкурент первому движку. Существование двух означает, что этот слой конкурентный, а не запертый.",Слияние сообщества вокруг конкурента.,low,Открытый проект.,,20
ray,Ray / Anyscale,Ray|Anyscale,technology,platform,orchestration,L11,,L11,scaling,,private,US,2017,,Оркестрация распределённых вычислений: раскладывает задачу по множеству машин.,"Общий слой для распределённого обучения и инференса. Заменим оркестраторами общего назначения, но специализация под ИИ даёт преимущество.",Вытеснение оркестраторами общего назначения.,low,Открытый проект с коммерческой компанией.,,20
kubernetes,Kubernetes,K8s|CNCF Kubernetes,technology,platform,orchestration,L11,,L11,mature,,academic,US,2014,,Общий стандарт запуска контейнеров: на нём работает почти вся облачная инфраструктура.,Отраслевой стандарт вне зависимости от ИИ. Именно поэтому доступ ускорителей к нему обязателен для всех поставщиков железа.,Смена парадигмы развёртывания приложений.,low,Открытый проект фонда.,,15
huggingface,Hugging Face,HuggingFace,company,platform,model_hub,L11,,L11,scaling,,private,US,2016,0.3,"Хаб, где лежат готовые модели и библиотека, через которую их запускают.","Стал точкой сборки экосистемы моделей: библиотека служит общим знаменателем между обучением и запуском. Уйти от неё технически можно, перенести экосистему — дорого.",Расслоение экосистемы моделей по закрытым платформам.,low,"Компания в США, сообщество мировое.",,20
nim,NVIDIA NIM,NIM|NVIDIA Inference Microservices,technology,platform,inference_engine,L11,,L11,scaling,,private,US,2024,,Готовые контейнеры якоря для запуска моделей: продают инференс как сервис на своём железе.,Способ якоря подняться из железа в слой запуска моделей. Работает только на его ускорителях и потому углубляет привязку.,Открытые движки инференса делают этот слой ненужным.,low,Экспорт вместе с железом.,,90
