allocator,target,event_type,disclosed_date,ticker,company,rationale,confidence
Meta,BlackRock (El Paso Data Center JV),project_finance,2026-07-28,NVDA,NVIDIA Corporation,"1GW AI data center campus with Meta as sole tenant; Meta is one of NVIDIA's largest GPU customers and this capacity is being built explicitly for AI compute workloads",high
Meta,BlackRock (El Paso Data Center JV),project_finance,2026-07-28,VRT,Vertiv Holdings,"Hyperscale AI campus buildout drives demand for Vertiv's liquid-cooling and power infrastructure, its core hyperscale/AI data center product line",high
Meta,BlackRock (El Paso Data Center JV),project_finance,2026-07-28,ETN,Eaton Corporation,"Electrical distribution and switchgear supplier for hyperscale AI data-center campus buildouts",high
Sequoia,Valar Atomics Inc.,funding_round,2026-08-03,LEU,Centrus Energy,"Domestic HALEU/enriched-uranium supplier positioned to fuel next-generation SMRs like Valar Atomics'; scaling SMR deployment for AI power demand directly grows demand for its enrichment capacity",high
Sequoia,Valar Atomics Inc.,funding_round,2026-08-03,BWXT,BWX Technologies,"Leading US manufacturer of nuclear reactor components and fuel; well positioned as a fabrication/manufacturing partner as SMR designs like Valar's move toward commercialization",medium
Sequoia,Valar Atomics Inc.,funding_round,2026-08-03,CCJ,Cameco Corporation,"Uranium miner/supplier; broader SMR buildout for AI power demand supports upstream uranium feedstock demand",low
Sequoia,Neros Technologies,funding_round,2026-08-11,KTOS,Kratos Defense & Security Solutions,"Established low-cost drone, target-system and jet-engine maker; thematic beneficiary of accelerating VC capital into autonomous/interceptor drone production for defense",low
Sequoia,Neros Technologies,funding_round,2026-08-11,AMBA,Ambarella Inc.,"Supplies vision/AI processing chips widely used in drone and autonomous-systems platforms; thematic beneficiary as drone production scales",low
Andreessen Horowitz,Volta AI Infra Holdings,funding_round,2026-08-04,NVDA,NVIDIA Corporation,"Volta is a GPU-cloud/neocloud startup; NVIDIA is a returning investor in this round and the explicit compute supplier behind Volta's GPU capacity buildout",high
Andreessen Horowitz,Volta AI Infra Holdings,funding_round,2026-08-04,DELL,Dell Technologies,"Michael Dell personally participated in this round, tied to Volta's data-center hardware buildout; Dell is a natural server/infrastructure hardware supplier for neocloud capacity expansion",medium
