source,target,edge_type,spine,strength,tech_node,started,evidence_quote,source_url,source_tier,published_date,note
Brookfield,Westinghouse Electric,owns,capital,90,ap1000,2023,"Cameco now owns a 49% interest and Brookfield owns the remaining 51% in Westinghouse, one of the world’s largest nuclear services businesses.",https://www.cameco.com/media/news/cameco-and-brookfield-complete-acquisition-of-westinghouse-electric-company,company_pr,2023-11-07,51% — контроль. Ядерное плечо стройки ИИ находится в руках инфраструктурного фонда.
Cameco,Westinghouse Electric,stake,capital,60,ap1000,2023,"Cameco now owns a 49% interest and Brookfield owns the remaining 51% in Westinghouse, one of the world’s largest nuclear services businesses.",https://www.cameco.com/media/news/cameco-and-brookfield-complete-acquisition-of-westinghouse-electric-company,company_pr,2023-11-07,49% — доля без контроля.
Microsoft,OpenAI,stake,capital,85,,2019,"Microsoft is a major investor in OpenAI and will continue to receive revenue-sharing payments. We hold rights to OpenAI’s intellectual property, including models and infrastructure, for integration into our products.",https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,filing,2026-07-29,Крупнейший инвестор плюс права на ИС и разделение выручки.
NVIDIA,OpenAI,stake,capital,70,,2025,"Strategic partnership enables OpenAI to build and deploy at least 10 gigawatts of AI datacenters with NVIDIA systems representing millions of GPUs for OpenAI’s next-generation AI infrastructure. To support the partnership, NVIDIA intends to invest up to $100 billion in OpenAI progressively as each gigawatt is deployed.",https://openai.com/index/openai-nvidia-systems-partnership/,company_pr,2025-09-22,"До $100 млрд инвестиций, разблокируемых по мере ввода каждого гигаватта."
Amazon,Anthropic,stake,capital,80,,2024,"which primarily reflect investments in convertible notes from Anthropic, PBC (“Anthropic”), including $2.7 billion we invested in 2025",https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,filing,2026-02-06,"Конвертируемые займы, часть которых в 2025 конвертирована в неголосующие привилегированные акции."
Blackstone,QTS Realty Trust,owns,capital,95,,2021,"Blackstone (NYSE: BX) and QTS Realty Trust (NYSE: QTS) today announced that affiliates of Blackstone Infrastructure Partners, Blackstone Real Estate Income Trust, Inc., and Blackstone Property Partners have completed their previously announced acquisition of QTS Realty Trust for approximately $10 billion, including debt.",https://www.blackstone.com/news/press/blackstone-funds-complete-acquisition-of-qts-realty-trust/,company_pr,2021-08-31,Полная покупка QTS фондами Blackstone примерно за $10 млрд с учётом долга.
SoftBank,Stargate,finances,capital,90,,2025,"The initial equity funders in Stargate are SoftBank, OpenAI, Oracle, and MGX.",https://openai.com/index/announcing-the-stargate-project/,company_pr,2025-01-21,Держатель капитала и финансово ответственный партнёр проекта.
OpenAI,Stargate,finances,capital,85,,2025,"The initial equity funders in Stargate are SoftBank, OpenAI, Oracle, and MGX.",https://openai.com/index/announcing-the-stargate-project/,company_pr,2025-01-21,Держатель капитала и операционно ответственный партнёр проекта.
Oracle,Stargate,finances,capital,80,,2025,"The initial equity funders in Stargate are SoftBank, OpenAI, Oracle, and MGX.",https://openai.com/index/announcing-the-stargate-project/,company_pr,2025-01-21,Один из четырёх первоначальных держателей капитала.
MGX,Stargate,finances,capital,70,,2025,"The initial equity funders in Stargate are SoftBank, OpenAI, Oracle, and MGX.",https://openai.com/index/announcing-the-stargate-project/,company_pr,2025-01-21,Один из четырёх первоначальных держателей капитала; капитал из Абу-Даби.
Arm Holdings,Stargate,platform,physical,40,arm-isa,2025,"Arm, Microsoft, NVIDIA, Oracle, and OpenAI are the key initial technology partners.",https://openai.com/index/announcing-the-stargate-project/,company_pr,2025-01-21,Назван среди ключевых первоначальных технологических партнёров.
Microsoft,Stargate,partner,physical,40,,2025,"Arm, Microsoft, NVIDIA, Oracle, and OpenAI are the key initial technology partners.",https://openai.com/index/announcing-the-stargate-project/,company_pr,2025-01-21,Назван среди ключевых первоначальных технологических партнёров.
NVIDIA,Stargate,partner,physical,70,,2025,"Arm, Microsoft, NVIDIA, Oracle, and OpenAI are the key initial technology partners.",https://openai.com/index/announcing-the-stargate-project/,company_pr,2025-01-21,Назван среди ключевых первоначальных технологических партнёров.
