event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,origin_id,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,notes
2026-08-03,2026-08-03,Sequoia,vc,Valar Atomics,private,nuclear,microreactors,funding_round,1000000000,0,verified,1,https://www.valaratomics.com/docs/Announcing-our-1B-Series-B-Led-By-Sequoia,https://www.valaratomics.com/docs/Announcing-our-1B-Series-B-Led-By-Sequoia,energy_for_ai,lead,equity,series b,1000000000,,6000000000,Point72; Atreides Management; Valor Equity Partners; Riot Ventures; HOF Capital; Snowpoint Ventures; Conviction; Dream Ventures; Apandion,"LEAD. Sequoia partner Shaun Maguire joins board. Valuation tripled from ~$2B months earlier. Separate $200M JPMorgan-led credit facility alongside the equity. Factory-built microreactors explicitly targeted at AI datacenter/industrial load. amount_usd = FULL round (Sequoia's slice undisclosed) - see round_total_usd. Corroborated by Bloomberg, TechCrunch, Axios Pro"
2026-07-23,2026-07-23,Sequoia,vc,Etched,private,semiconductors,inference-asic,funding_round,300000000,0,verified,1,https://www.globenewswire.com/news-release/2026/07/23/3332366/0/en/etched-raises-300m-at-a-10-3b-valuation-to-scale-production-of-frontier-scale-inference-hardware.html,https://www.globenewswire.com/news-release/2026/07/23/3332366/0/en/etched-raises-300m-at-a-10-3b-valuation-to-scale-production-of-frontier-scale-inference-hardware.html,ai_infrastructure,lead,equity,series c,300000000,,10300000000,Andreessen Horowitz; Jane Street; Diffusion Capital; SK Hynix,LEAD - company PR states this is the highest valuation ever for a Sequoia-led Series C. Transformer-only inference ASIC (Sohu) + full rack/cooling/interconnect systems. Valuation doubled from $5B in Dec 2025. amount_usd = FULL round; Sequoia's slice undisclosed
2026-07-23,2026-07-23,Andreessen Horowitz,vc,Etched,private,semiconductors,inference-asic,funding_round,300000000,0,verified,1,https://www.globenewswire.com/news-release/2026/07/23/3332366/0/en/etched-raises-300m-at-a-10-3b-valuation-to-scale-production-of-frontier-scale-inference-hardware.html,https://www.globenewswire.com/news-release/2026/07/23/3332366/0/en/etched-raises-300m-at-a-10-3b-valuation-to-scale-production-of-frontier-scale-inference-hardware.html,ai_infrastructure,participant,equity,series c,300000000,,10300000000,Sequoia (lead); Jane Street; Diffusion Capital; SK Hynix,PARTICIPANT. amount_usd = FULL round; a16z slice undisclosed
2026-07-22,2026-07-22,Andreessen Horowitz,vc,Atoms,private,robotics,industrial-automation,funding_round,1700000000,0,verified,1,https://atoms.co/unfinished-business,https://atoms.co/unfinished-business,robotics_embodiment,lead,equity,growth,1700000000,,,Bain Capital; Fifth Wall; Chemistry; K5 Global; SV Angel; Alpha Square Group; Uber,"LEAD; Ben Horowitz joins board. Travis Kalanick industrial/physical-AI holding co (ex-City Storage Systems, absorbed CloudKitchens). Goldman Sachs and JPMorgan providing debt alongside. Valuation not disclosed. amount_usd = FULL equity round; a16z slice undisclosed. Corroborated by TechCrunch, Crunchbase News"
2026-07-22,2026-07-22,Andreessen Horowitz,vc,Cathedral,private,defense-tech,military-cyber,funding_round,,0,verified_alpha,3,https://thenextweb.com/news/cathedral-doge-alumni-military-cyber-startup-1-4-billion,https://www.usnews.com/news/top-news/articles/2026-07-22/exclusive-doge-alumni-launch-military-cyber-startup-with-1-4-billion-valuation,defense_ai,lead,equity,,160000000,,1400000000,Sequoia (co-lead),"CO-LEAD with Sequoia; a16z took a board seat. Stealth military AI offensive/defensive cyber founded by four ex-DOGE staffers (Kliger, Farritor, Elez, Stein); plans to buy or partner for a dedicated datacenter. ESCALATION: press coverage traces to ONE origin (Reuters exclusive, reprinted by US News/TNW/citybiz/pulse2) - not on a16z or Sequoia portfolio pages (company in stealth). Graded verified_alpha because Crunchbase's own deal database independently records the round; would be candidate on press alone | CORRECTION 2026-08-09: co-led $160M round; per-allocator slice undisclosed — amount moved to round_total to avoid double-counting."
2026-07-22,2026-07-22,Sequoia,vc,Cathedral,private,defense-tech,military-cyber,funding_round,,0,verified_alpha,3,https://thenextweb.com/news/cathedral-doge-alumni-military-cyber-startup-1-4-billion,https://www.usnews.com/news/top-news/articles/2026-07-22/exclusive-doge-alumni-launch-military-cyber-startup-with-1-4-billion-valuation,defense_ai,lead,equity,,160000000,,1400000000,Andreessen Horowitz (co-lead),CO-LEAD with a16z; Sequoia took a board seat. Same single-origin caveat as the a16z row - see that row's notes | CORRECTION 2026-08-09: co-led $160M round; per-allocator slice undisclosed — amount moved to round_total to avoid double-counting.
2026-07-22,2026-07-22,Sequoia,vc,Glow,private,ai-applications,ai-agent-endpoint-security,funding_round,180000000,0,verified_alpha,3,https://techcrunch.com/2026/07/22/glow-emerges-from-stealth-at-1-2b-valuation-to-challenge-endpoint-security-in-the-ai-era/,https://techcrunch.com/2026/07/22/glow-emerges-from-stealth-at-1-2b-valuation-to-challenge-endpoint-security-in-the-ai-era/,ai_applications,lead,equity,series a,180000000,,1200000000,Cyberstarts (co-lead); Greenoaks (co-lead); Redpoint Ventures (co-lead); Index Ventures; Swish Ventures; Lux Capital; Operator Collective; Holly Ventures,"CO-LEAD of an all-equity $180M Series A at stealth exit; Tel Aviv; founders ex-Meta/Snowflake/Claroty. Endpoint security for AI-agent-driven risk. Corroborated independently by TechCrunch, Axios Pro, SecurityWeek and Calcalist. Note: some aggregators mis-split this as a separate $100M Series B - TechCrunch and the company frame it as one $180M Series A. amount_usd = FULL round"
2026-07-20,2026-07-20,Andreessen Horowitz,vc,Neo Security,private,ai-applications,agentic-software-security,funding_round,100000000,0,verified,1,https://www.globenewswire.com/news-release/2026/07/20/3329638/0/en/neo-launches-with-100m-to-secure-ai-software-across-the-enterprise.html,https://www.globenewswire.com/news-release/2026/07/20/3329638/0/en/neo-launches-with-100m-to-secure-ai-software-across-the-enterprise.html,ai_applications,lead,equity,series a,100000000,,,Bessemer Venture Partners (co-lead); Craft Ventures; Merlin Ventures,CO-LEAD with Bessemer. $100M total = $75M Series A + a previously undisclosed $25M seed. Boston; founders ex-SentinelOne/Wiz/Palo Alto/Unit 8200. Control plane for enterprise AI agents. amount_usd = FULL disclosed capital; a16z slice undisclosed
2026-07-14,2026-07-13,Sequoia,vc,Chai Discovery,private,ai-applications,ai-drug-discovery,funding_round,400000000,0,verified,1,https://www.businesswire.com/news/home/20260713849009/en/Chai-Discovery-Announces-$400M-Series-C-to-Advance-AI-Driven-Molecular-Design,https://www.businesswire.com/news/home/20260713849009/en/Chai-Discovery-Announces-$400M-Series-C-to-Advance-AI-Driven-Molecular-Design,biotech_ai,participant,equity,series c,400000000,,3800000000,Index Ventures (lead); Kleiner Perkins; Dimension; Bain Capital Ventures; Battery Ventures; Baillie Gifford; BDT & MSD; Sapphire Ventures; Avra Capital; Thrive Capital; OpenAI; Oak HC/FT; Menlo Ventures; General Catalyst; Glade Brook; Avenir; Lachy Groom; Yosemite,"Index led; Sequoia named alongside Kleiner Perkins and Dimension. Valuation tripled in ~7 months. AI molecular design used by Lilly, Novartis, Pfizer. Off-core-taxonomy (bio, not AI buildout) - mapped to ai-applications / biotech_ai theme. amount_usd = FULL round"
2026-07-14,2026-07-13,Thrive Capital,vc,Chai Discovery,private,ai-applications,ai-drug-discovery,follow_on,400000000,0,verified,1,https://www.businesswire.com/news/home/20260713849009/en/Chai-Discovery-Announces-$400M-Series-C-to-Advance-AI-Driven-Molecular-Design,https://www.businesswire.com/news/home/20260713849009/en/Chai-Discovery-Announces-$400M-Series-C-to-Advance-AI-Driven-Molecular-Design,biotech_ai,participant,equity,series c,400000000,,3800000000,Index Ventures (lead); Sequoia; Kleiner Perkins; Dimension; OpenAI; General Catalyst; Menlo Ventures; Bain Capital Ventures; Baillie Gifford,EXISTING investor re-upping (follow_on). amount_usd = FULL round; Thrive slice undisclosed
