entity_id,irreplaceability,lock_in_depth,time_to_replace,strategic_control,why_irreplaceability,why_lock_in,why_time,why_control
asml,95,85,95,30,Собственный отчёт: единственный производитель EUV в мире,"Задевает фабрики, чипы и память",Своё производство станков — больше семи лет,"Прямых отношений с NVIDIA нет, связь через фабрику"
zeiss-smt,95,75,95,10,"Единственный поставщик, эксклюзивное соглашение",Задевает станки и через них фабрики,Своя оптика такого класса — больше семи лет,Отношений с NVIDIA нет
applied-materials,70,60,70,20,Поставщиков такого масштаба три,Задевает фабрики и память,Переквалификация процесса — два-три года,Прямых отношений с NVIDIA нет
lam-research,70,60,70,20,Поставщиков такого масштаба три,Задевает фабрики и память,Переквалификация линии — два-три года,Прямых отношений с NVIDIA нет
tokyo-electron,65,55,70,15,Поставщиков такого масштаба три,Задевает фабрики,Переквалификация — два-три года,Отношений с NVIDIA нет
kla,80,60,75,20,Замены заметно слабее по точности,Задевает фабрики и память,Разработка сопоставимого контроля — три-пять лет,Отношений с NVIDIA нет
shin-etsu,70,55,65,10,Поставщиков пластин и резиста немного,Задевает сырьё и фабрики,Переквалификация материала — год-два,Отношений с NVIDIA нет
synopsys,85,80,85,80,Дуополия: два поставщика на всю отрасль,"Задевает проектирование, фабрики и чипы",Смена методологии проектирования — пять лет,NVIDIA купил долю в компании на 2 млрд долларов
cadence,85,80,85,60,Дуополия: два поставщика на всю отрасль,Задевает проектирование и чипы,Смена методологии — пять лет,Совместная разработка платформы с NVIDIA
arm,85,90,90,45,"Дуополия с открытой архитектурой, но масштаб несопоставим","Задевает чипы, системы, софт и приложения",Смена архитектуры отраслью — больше пяти лет,Партнёрство и совместные продукты без доли
siemens-eda,50,45,50,25,"Альтернативы ясны, преимущество в отдельных нишах",Задевает проектирование,Замена в нише — год-два,Формальных отношений с NVIDIA нет
tsmc,95,90,95,40,Другой фабрики такого класса и объёма нет,"Задевает чипы, упаковку и дорожную карту",Равнозначная фабрика строится семь лет,"Места в совете нет, рычаг — только объём закупки"
samsung,65,75,80,35,Один из трёх по памяти и один из трёх по фабрикам,"Задевает память, фабрики и упаковку",Нарастить долю второму источнику — три-пять лет,"Отношения закупочные, доли нет"
intel,55,50,75,25,"Альтернатива есть, преимущество лидера в инерции",Задевает фабрики и чипы,Догнать по передовому узлу — три-пять лет,Отношений с NVIDIA по производству пока нет
ase,60,55,60,25,Подрядчиков такого масштаба два-три,Задевает упаковку и сборку,Нарастить мощности — год-два,Отношений с NVIDIA напрямую нет
amkor,50,45,55,25,Второй из двух-трёх подрядчиков,Задевает упаковку,Нарастить мощности — год-два,Отношений с NVIDIA напрямую нет
sk-hynix,80,75,80,50,Дуополия по HBM с заметным отрывом,"Задевает память, чипы и системы",Квалификация нового поставщика — три года,Расширенное партнёрство без доли
micron,60,65,75,30,Один из трёх поставщиков памяти,Задевает память и чипы,Нарастить долю — два-три года,Отношения закупочные
kioxia,35,30,30,10,Поставщиков флеш-памяти несколько,Задевает только хранение,Смена поставщика — месяцы,Отношений с NVIDIA нет
sandisk,30,30,30,10,Поставщиков флеш-памяти несколько,Задевает только хранение,Смена поставщика — месяцы,Отношений с NVIDIA нет
amd,60,55,60,0,"Прямой конкурент есть, отставание в софте",Задевает чипы и софт,Догнать по экосистеме софта — три-пять лет,Отношения конкурентные
