entity_id,irreplaceability,lock_in_depth,time_to_replace,strategic_control,why_irreplaceability,why_lock_in,why_time,why_control
nvidia,95,95,95,100,"Ускоритель воспроизводим, среда программирования — нет","Задевает чипы, системы, софт, модели и приложения",Перенос установленной базы кода — десятилетие,Собственная компания: контроль полный
usa,95,95,95,25,Вывести цепочку из-под юрисдикции нельзя,"Решение задевает чипы, системы, облака и модели сразу",Построить цепочку вне американского права — больше семи лет,Рычага у компании нет: только лоббирование и показания
taiwan,95,90,95,20,Другой территории с таким производством нет,"Задевает чипы, память, упаковку и всё, что выше",Равнозначное производство — семь лет и больше,Рычага у компании нет вовсе
china,70,60,70,10,Рынок такого размера один,Задевает выручку и цепочку материалов,Заместить рынок такого масштаба — годы,Отношения скорее враждебные
netherlands,90,80,90,15,Производитель EUV-станков один и он здесь,"Задевает фабрики и всё, что ниже по стеку",Построить производство станков вне страны — больше семи лет,Рычага нет
south-korea,75,70,80,15,Две из трёх компаний по памяти находятся здесь,"Задевает память и всё, что от неё зависит",Перенести производство памяти — пять лет и больше,Рычага нет
japan,65,55,70,15,Поставщиков материалов немного и они здесь,Задевает сырьё и фабрики,Переквалификация материалов — два-три года,Рычага нет
eu,45,40,50,20,Рынков сопоставимого размера несколько,"Задевает продажи, не производство",Адаптация продукта под регулирование — около года,Взаимодействие через отраслевые ассоциации
singapore,40,35,40,20,Логистических узлов несколько,Задевает продажи,Перестроить логистику — до года,Рычага нет
bis,95,90,95,20,Полномочия принадлежат одному ведомству,"Задевает чипы, системы, облака и модели",Режим существует с 2022 года и не сворачивается,Только лоббирование и показания в Конгрессе
cfius,80,60,85,20,Механизм проверки один,Задевает сделки и партнёрства,Режим действует десятилетиями,"Рычага нет, есть только процедура"
chips-act,40,50,60,25,Программы поддержки есть и в других странах,Задевает фабрики и сырьё,Эффект от субсидий проявляется годами,Влияние через отраслевые ассоциации
eu-ai-act,40,35,50,20,Регуляторных режимов несколько,Задевает приложения и модели,Внедрение требований — год-два,Влияние через консультации
mlcommons,55,45,50,40,Признанный набор тестов один,Задевает чипы и системы,Создать признанную альтернативу — два-три года,Участие в консорциуме без контроля
