name,suggested_class,seen_with,rationale
Azora,alt_manager,NVIDIA; Andreessen Horowitz; Altimeter Capital,Spanish asset manager; equity investor in Volta Infra AND arranger of a separate ~$5bn multi-bank financing program to fund AI 'factories' (2026-08-04). Structuring debt for GPU compute alongside NVIDIA - an infra-credit allocator worth tracking.
Michael Dell,individual,NVIDIA; Andreessen Horowitz; Altimeter Capital,"Participated personally (not Dell Technologies) in Volta Infra's $300m round at a $2.4bn valuation, 2026-08-04. Founder-investor deploying personal capital into neocloud/GPU infrastructure."
XTX Ventures,vc,Alphabet; RWE,"Co-led Proxima Fusion's EUR 411m Series A2 (2026-07-07) alongside Alphabet/Google. Venture arm of quant firm XTX Markets; leading, not just following, in fusion."
East X Ventures,vc,Alphabet; RWE,Co-led Proxima Fusion's EUR 411m Series A2 (2026-07-07) alongside Alphabet/Google. European deep-tech lead investor in the largest European fusion round on record.
RWE,corporate,Alphabet,"German utility taking a strategic EQUITY stake in Proxima Fusion (2026-07-07), months after an agreement to co-build a stellarator plant at the former Gundremmingen fission site. A European corporate allocator on the energy_for_ai theme."
NAVER,corporate,NVIDIA; Brookfield,Korea's largest internet company. Not only the target of NVIDIA's $1bn stake - NAVER is explicitly 'funding the remaining amounts' of the ~$10bn+ GAK Sejong AI factory buildout and is scaling toward 1GW. A sovereign-AI corporate allocator in its own right.
Bitdeer Technologies,corporate,NVIDIA; Volta Infra,"Nasdaq-listed bitcoin-miner-turned-DC-operator supplying the 133MW Norway site behind Volta's ~$10bn compute contract, with Texas and Wyoming expansion planned. Capital-deploying DC owner in the NVIDIA orbit."
Burda Principal Investments,vc,Alphabet,Participated in Proxima Fusion's Series A2 (2026-07-07). German corporate-backed growth investor appearing on energy_for_ai deals.
KfW Capital,sovereign,Alphabet,German state development-bank investment arm; participated in Proxima Fusion's Series A2 (2026-07-07). State capital co-investing with a US hyperscaler on European fusion - a sovereign_ai/energy_for_ai signal.
SPRIND,sovereign,Alphabet,German Federal Agency for Disruptive Innovation; participated in Proxima Fusion's Series A2 (2026-07-07). Government agency deploying direct equity alongside Alphabet.
