event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,notes,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,origin_id
2026-07-28,2026-07-28,Brian Singerman,individual,GPx TX LP,fund,ai-labs,frontier-tech-growth-vehicle,fund_launch,,0,verified,1,https://www.sec.gov/Archives/edgar/data/2147127/000123191926000804/primary_doc.xml,"NETWORK: Brian Singerman (thiel_extended, ex-Founders Fund GP). TIER-1 Form D filed 2026-07-28 for a NEW Texas-domiciled pooled investment fund; named related persons are GPx TX GP LLC (General Partner) with Lee Linden and Brian Singerman as Managers of the GP. Offering amount 'Indefinite', total sold $0, first sale YET TO OCCUR -> this is vehicle formation, capital not yet called; amount deliberately blank. Successor/second vehicle to GPx Fund I ($500M, launched Jul 2025, closed Oct 2025) in which PETER THIEL (paypal_mafia) was reported a lead LP -- a Thiel personal LP re-up into this vehicle is PLAUSIBLE BUT NOT CONFIRMED and is not recorded as an event. SECTOR FLAG: generalist frontier/late-stage vehicle, ai-labs used as closest canonical slug.",frontier_ai,sole,equity,growth,,,,Lee Linden,https://www.sec.gov/Archives/edgar/data/2147127/000123191926000804/primary_doc.xml
2026-07-28,2026-07-28,Brian Singerman,individual,Quiet Select TX LP,fund,ai-labs,late-stage-select-vehicle,fund_launch,,0,verified,1,https://www.sec.gov/Archives/edgar/data/2147584/000123191926000805/primary_doc.xml,"NETWORK: Brian Singerman (thiel_extended). SECOND Tier-1 Form D filed the same day (2026-07-28) by the same filer agent: Quiet Select TX LP, related persons Quiet Select TX GP LLC (GP) with Lee Linden and Brian Singerman as Managers of the GP. Indefinite offering, $0 sold, first sale yet to occur. Reads as the Quiet Capital-side companion vehicle to GPx TX LP -- two new Singerman/Linden vehicles registered on one day is the cleanest new-vehicle signal in this class this window. Amount blank by design. SECTOR FLAG: generalist vehicle, ai-labs used as closest.",frontier_ai,participant,equity,growth,,,,Lee Linden,https://www.sec.gov/Archives/edgar/data/2147584/000123191926000805/primary_doc.xml
2026-08-07,2026-08-07,David Sacks,individual,"Craft Ventures V, LP",fund,ai-applications,enterprise-ai-venture-fund,fund_launch,,0,verified,1,https://www.sec.gov/Archives/edgar/data/2140032/000214003226000001/primary_doc.xml,"NETWORK: David Sacks (paypal_mafia, core). TIER-1 Form D filed 2026-08-07 (today) for Craft Ventures V, LP; related-person chain is Craft Ventures GP V, LP -> Craft Ventures UGP V, LLC -> DAVID SACKS as Managing Member. Companion filing Craft Ventures Feeder V, LP (CIK 0002140033) same day. Offering 'Indefinite', $0 sold, first sale yet to occur. CAVEAT / SCOPE: this is Sacks' FIRM vehicle, not a personal angel check -- his personal GP commitment is implied by the structure but is not disclosed, so amount is blank. Flagged for possible VC-agent overlap; kept here because networks.yaml lists Craft Ventures as his associated vehicle and the filing confirms he is personally still the controlling principal.",ai_applications,sole,equity,series a,,,,,https://www.sec.gov/Archives/edgar/data/2140032/000214003226000001/primary_doc.xml
2026-08-05,2026-08-05,Jeff Bezos,individual,LifeMine Therapeutics,private,ai-applications,ai-drug-discovery,funding_round,,0,verified_alpha,3,https://www.biospace.com/business/lifemine-raises-263m-in-mission-to-improve-organ-transplant-aftercare,"NEW THIS WEEK and the strongest personal-capital event in the window. Bezos Expeditions (family office) came in as a NEW investor in LifeMine's $188M Series E, led by Milky Way Investments and announced 2026-08-05/06; a $75M Series D closed alongside it for $263M total. Fierce Biotech headlines it as 'how LifeMine won over Gates and Bezos', i.e. personal/family-office money rather than a fund. NETWORK/CO-INVEST FLAG: Gates Frontier (Bill Gates' family office) in the same round -- Bezos x Gates family-office convergence, second time in this window after their separate AI-for-science bets. Corroborated by BioSpace, Fierce Biotech, techstartups, finsmes, BioPharma Dive. Personal check size undisclosed -> blank. No SEC Form D found for LifeMine in the window (Delaware/Watertown MA issuer, likely Reg D exempt filing outside window or 4(a)(2)). SECTOR FLAG: clinical-stage biopharma on a 'digital genomics' AI discovery platform -- no clean canonical slug; ai-applications used as closest, theme biotech_ai.",biotech_ai,participant,equity,series e,188000000,,,Milky Way Investments (lead); Gates Frontier (Bill Gates); RA Capital; GV; GSK; ARCH Venture Partners; Invus; LoLa Capital,https://www.fiercebiotech.com/biotech/lifemines-frozen-platform-thawed-263m-fundraise-backed-gates-and-bezos
2026-07-20,2026-07-20,Jeff Bezos,individual,CuspAI,private,ai-labs,ai-materials-discovery,funding_round,,0,verified_alpha,3,https://techfundingnews.com/cuspai-400m-series-b-2-6b-valuation-bezos-materials-search/,"Bezos Expeditions CO-LED CuspAI's $450M Series B at a $2.6B valuation (up ~5x from $520M in nine months), announced 2026-07-20. CuspAI builds AI foundation models for materials discovery and launched an 'AI Materials Foundry' of 45+ partners incl. NVIDIA and Meta; ASML, Meta, Samsung and Hyundai already use the search engine -> direct chipmaking-materials read-through. Corroborated by techfundingnews, citybiz, thesaasnews, Sifted, Yahoo Finance, Qz. Vehicle: Bezos Expeditions. Individual co-investor JOHN DOERR also named (see discovered_allocators). No SEC Form D (UK/Cambridge issuer). Personal slice undisclosed -> blank. SECTOR FLAG: AI-for-science lab with semiconductor-materials application; ai-labs used, semiconductors-adjacent.",ai_applications,lead,equity,series b,450000000,,2600000000,Kleiner Perkins (co-lead); NEA (co-lead); Lux Capital; AMD Ventures; Glade Brook; StepStone; Temasek; Prosus; Northzone; John Doerr; UK Sovereign AI Venture Fund,https://techfundingnews.com/cuspai-400m-series-b-2-6b-valuation-bezos-materials-search/
2026-06-25,2026-06-25,Jeff Bezos,individual,General Intuition,private,ai-labs,spatial-ai-world-models,funding_round,,0,verified_alpha,3,https://techcrunch.com/2026/06/25/general-intuitions-2-3b-bet-that-video-games-can-train-ai-agents-for-the-real-world/,"Personal participation in General Intuition's $320M Series A at $2.3B, led by Khosla Ventures. TechCrunch names the participants as 'General Catalyst, Jeff Bezos, Eric Schmidt, Nico Rosberg, and researchers at Google DeepMind and MIT'. Vehicle: Bezos Expeditions. CO-INVEST FLAG: two watchlist individuals (Bezos + Eric Schmidt) in the same round -- not a network coinvestment under networks.yaml (neither is a listed network member) but a genuine individual-class cluster in world-models/spatial AI. A Form D exists for the feeder 'AVSF - General Intuition 2026, LLC' (CIK 0002120303, filed 2026-04-06) but it names no individual related person, so it does NOT upgrade this to verified. Check size undisclosed.",frontier_ai,participant,equity,series a,320000000,,2300000000,Khosla Ventures (lead); General Catalyst; Eric Schmidt; Nico Rosberg; Google DeepMind & MIT researchers,https://techcrunch.com/2026/06/25/general-intuitions-2-3b-bet-that-video-games-can-train-ai-agents-for-the-real-world/
2026-06-25,2026-06-25,Eric Schmidt,individual,General Intuition,private,ai-labs,spatial-ai-world-models,funding_round,,0,verified_alpha,3,https://techcrunch.com/2026/06/25/general-intuitions-2-3b-bet-that-video-games-can-train-ai-agents-for-the-real-world/,"Personal participation in General Intuition's $320M Series A ($2.3B val). TechCrunch names Eric Schmidt alongside Jeff Bezos among individual backers; some coverage routes his check through Hillspire (his family office). This is Schmidt's ONLY sourceable in-window personal deployment -- his other 2026 activity (Bolt Data and Energy, the West Texas AI-datacenter vehicle with Texas Pacific Land, $150M initial capital) dates to Jan 2026 and is out of the ~45-day window; the live Google/Bolt 250MW discussion is a commercial talk, not capital committed. Check size undisclosed.",frontier_ai,participant,equity,series a,320000000,,2300000000,Khosla Ventures (lead); General Catalyst; Jeff Bezos; Nico Rosberg,https://techcrunch.com/2026/06/25/general-intuitions-2-3b-bet-that-video-games-can-train-ai-agents-for-the-real-world/
2026-06-30,2026-07-07,Garry Tan,individual,Monogram,private,ai-applications,visual-ai-interface,funding_round,,0,verified_alpha,2,https://www.thesaasnews.com/news/monogram-raises-40m-seed/,"Personal angel check in Monogram's $40M seed -- Eren Bali's (Udemy, Carbon Health) visual-AI-interface startup, out of stealth 2026-07-07, co-led by DST Global and Lux Capital. Garry Tan named in the angel list alongside Arthur Mensch (Mistral), Logan Green (Lyft), Karim Atiyeh (Ramp), Pete Flint (Trulia), Mario Schlosser (Oscar Health). Corroborated by thesaasnews, Dealroom and techstartups. Personal, size undisclosed. SECTOR FLAG: consumer AI UI/interface -> ai-applications.",ai_applications,participant,equity,seed,40000000,,,DST Global (co-lead); Lux Capital (co-lead); Conviction; SOMA Capital; Gradient Ventures; e2vc; Maxitech; Arthur Mensch; Logan Green; Karim Atiyeh; Pete Flint; Mario Schlosser,https://www.thesaasnews.com/news/monogram-raises-40m-seed/
2026-06-17,2026-06-17,Elad Gil,individual,Odyssey,private,ai-labs,world-models,funding_round,,0,verified_alpha,3,https://techcrunch.com/2026/06/17/world-model-maker-odyssey-nabs-1-45b-valuation-backed-by-amazon-and-other-big-names/,"Personal angel participation in Odyssey's $310M Series B at $1.45B, led by Natural Capital. TechCrunch, verbatim: 'These include Jeff Dean, Elad Gil, Garry Tan, Guillermo Rauch, and Cruise founder Kyle Vogt.' Corroborated by Yahoo Finance and Morningstar/BusinessWire. WINDOW CAVEAT: disclosed 2026-06-17, i.e. 51 days before the run date -- just OUTSIDE the strict 45-day lookback; retained because it is Elad Gil's only sourceable personal deployment in the period (trackers still list Odyssey as his latest investment as of 2026-08). Check size undisclosed.",frontier_ai,participant,equity,series b,310000000,,1450000000,Natural Capital (lead); Amazon; AMD Ventures; GV; Jeff Dean; Garry Tan; Guillermo Rauch; Kyle Vogt,https://techcrunch.com/2026/06/17/world-model-maker-odyssey-nabs-1-45b-valuation-backed-by-amazon-and-other-big-names/
2026-06-17,2026-06-17,Garry Tan,individual,Odyssey,private,ai-labs,world-models,funding_round,,0,verified_alpha,3,https://techcrunch.com/2026/06/17/world-model-maker-odyssey-nabs-1-45b-valuation-backed-by-amazon-and-other-big-names/,"Personal angel participation in Odyssey's $310M Series B ($1.45B val). Garry Tan (YC CEO) named in the same TechCrunch angel sentence as Elad Gil. Multi-source (TechCrunch + Yahoo + Morningstar/BusinessWire). CO-INVEST FLAG: Gil + Tan in the same round, and Tan appears TWICE in this window (Odyssey, Monogram) -- he is the most repeat-active pure angel on the watchlist this period. WINDOW CAVEAT: 2026-06-17 is just outside the strict 45-day lookback. Personal, size undisclosed.",frontier_ai,participant,equity,series b,310000000,,1450000000,Natural Capital (lead); Amazon; AMD Ventures; GV; Jeff Dean; Elad Gil; Guillermo Rauch; Kyle Vogt,https://techcrunch.com/2026/06/17/world-model-maker-odyssey-nabs-1-45b-valuation-backed-by-amazon-and-other-big-names/
