id,name,aliases,type,role,sector,primary_layer,domain,layers,phase,ticker,public_private,geo,founded,revenue_usd_b,one_liner,why_irreplaceable,what_breaks_it,geo_risk,geo_risk_note,export_regime,concentration
nvidia,NVIDIA,Nvidia|NVIDIA Corporation,company,platform,gpu_platform,L10,nvidia.com,L5|L8|L10,mature,NASDAQ: NVDA,public,US,1993,130.5,"Центр карты: делает ускорители для ИИ и владеет CUDA — средой, на которой пишет вся отрасль.","Заменить можно чип, но не среду: код отрасли написан под неё, а переписывание стоит лет. Плюс сеть и системы продаются одним комплектом.",Массовый переход облаков на собственные чипы вместе с переносимой средой программирования.,high,"Производство сосредоточено на Тайване, продажи в Китай ограничены экспортными правилами США.",US_EXPORT_CONTROLS,85
usa,США,United States,geopolitical,state,jurisdiction,L0,,L0,mature,,government,US,1776,,"Домашняя юрисдикция NVIDIA и главный шлюз: решает, кому NVIDIA имеет право продавать.","Из-под американского права цепочку не вывести: правила тянутся за технологией в любую страну, где её применяют.","Полная отмена экспортного режима — сценарий, которого сейчас не видно.",critical,"Экспортные правила меняются быстрее, чем годовой отчёт, и бьют по выручке сразу.",US_EXPORT_CONTROLS,100
taiwan,Тайвань,Taiwan,geopolitical,state,jurisdiction,L0,,L0,mature,,government,TW,1949,,"Территория, где физически делают почти весь передовой кремний для ИИ.","Равнозначная фабрика строится семь–десять лет. Перенос производства объявлен, но передовые узлы остаются здесь.",Военный конфликт или блокада — сценарий с хвостовой вероятностью и полным обнулением поставок.,critical,Хвостовой риск: конфликт вокруг статуса территории обрывает поставку передовых чипов целиком.,TW_EXPORT_CONTROLS,92
china,Китай,China|PRC,geopolitical,state,jurisdiction,L0,,L0,at_risk,,government,CN,1949,,"Рынок, закрытый экспортными правилами США, и одновременно родина DeepSeek и Huawei.","Второй по величине рынок, куда продавать нельзя без лицензии. Заместить его выручкой из других стран пока не получилось.","Снятие ограничений или, наоборот, полный запрет — оба сценария меняют картину резко.",critical,Рынок закрыт лицензионными требованиями; в ответ ограничен вывоз редких металлов.,CN_EXPORT_CONTROLS,70
netherlands,Нидерланды,Netherlands,geopolitical,state,jurisdiction,L0,,L0,mature,,government,NL,1815,,"Юрисдикция, откуда экспортируют станки для печати самых сложных чипов.","Единственный производитель этих станков находится здесь, поэтому голландские экспортные правила определяют, кто в мире может строить передовые фабрики.",Появление станков такого класса вне юрисдикции.,high,Экспортные правила на литографию согласуются с США и меняются вместе с ними.,NL_EXPORT_CONTROLS,95
south-korea,Южная Корея,South Korea|Korea,geopolitical,state,jurisdiction,L0,,L0,mature,,government,KR,1948,,Юрисдикция двух из трёх мировых производителей быстрой памяти для ускорителей.,"Память HBM (стековая память рядом с чипом) делают три компании, две из них здесь. Перенос производства памяти — это годы и десятки миллиардов.",Региональный конфликт или потеря обеими компаниями технологического лидерства.,high,Концентрация производства памяти в одной стране рядом с зоной военного риска.,,80
japan,Япония,Japan,geopolitical,state,jurisdiction,L0,,L0,mature,,government,JP,1947,,"Юрисдикция поставщиков химии, материалов и части оборудования для фабрик.","Особо чистая химия и материалы для упаковки делаются здесь узким кругом компаний. Замена возможна, но требует переквалификации процесса.",Утрата позиций в материалах в пользу корейских и американских поставщиков.,medium,Экспортные меры по материалам уже применялись как политический инструмент.,,60
eu,Европейский союз,European Union|EU,geopolitical,state,jurisdiction,L0,,L0,mature,,government,EU,1993,,Регуляторный блок: правила по ИИ и данным меняют условия продаж на большом рынке.,"Требования к моделям и к данным влияют на то, как продукты продаются в Европе, но не ограничивают производство.","Смягчение регулирования или, наоборот, запрет отдельных применений.",medium,"Регулирование ИИ повышает издержки соответствия, но не перекрывает поставки.",EU_AI_ACT,35
singapore,Сингапур,Singapore,geopolitical,state,jurisdiction,L0,,L0,scaling,,government,SG,1965,,"Узел перепродажи и логистики, за которым отдельно следят из-за обхода ограничений.","Через регион идут значимые объёмы отгрузок, поэтому он попал в фокус проверок на реэкспорт.",Ужесточение правил происхождения конечного покупателя.,medium,Точка риска по обходу экспортных ограничений через третьи страны.,,45
bis,Bureau of Industry and Security,BIS|Bureau of Industry and Security,agency,state,export_authority,L15,,L15,mature,,government,US,1987,,"Американское ведомство, которое пишет экспортные правила на чипы и оборудование.","Один опубликованный документ этого ведомства закрывает или открывает целый рынок. Обойти его нельзя, можно только соответствовать.",Передача полномочий или отмена режима — сейчас не просматривается.,critical,Правила меняются в течение квартала и действуют немедленно.,US_EXPORT_CONTROLS,100
