name,suggested_class,seen_with,rationale
Apollo Global Management,alt_manager,Blackstone; KKR,Took part of the 49% ($5.34bn) Williams Power Innovation JV alongside Blackstone and KKR (Jul 13). Separately LED the $35bn Broadcom AI XPV chip-backed SPV for Anthropic with Blackstone (Jun 9) and the $3.5bn Valor/xAI GPU lease (Jan). Now arguably the single largest private-credit underwriter of AI compute - a material gap in the alt_manager watchlist.
Stonepeak,alt_manager,(standalone),"Form D 2026-07-17: Stonepeak Asia Infrastructure Fund II shows $1.559bn already sold across the LP/feeder stack. Runs Montera Infrastructure, a $1.5bn equity-backed hyperscale data-centre platform in North America. Pure-play infra manager building AI capacity - promote."
Macquarie Asset Management,alt_manager,BlackRock/GIP; MGX,"Seller of Aligned Data Centers in the $40bn Jul 21 close, so it is recycling the largest data-centre exit on record into new capacity; Macquarie Data Centres is separately planning an A$3bn / 200MW Sydney campus. Both a source and a deployer of buildout capital."
"JEXI (Japan Extensive Infrastructure, Limited)",alt_manager,DigitalBridge,Co-sponsor with DigitalBridge of Nippon Gateway Infrastructure (Jul 1) and joint buyer of the NEC data-centre assets in March 2026. The local partner through which non-Japanese capital is reaching Japanese colocation.
Affinius Capital,alt_manager,(standalone),"Raised $905.5m toward a $1bn target for Digital Economy Real Estate Partners, a hyperscale data-centre development fund; first close Jan 2026, already deploying, La Caisse disclosed as an LP (reported Jul 7 2026). Mid-market data-centre fund formation."
DTCP (Deutsche Telekom Capital Partners),alt_manager,(standalone),Hit a EUR 1bn first close on its latest European digital infrastructure fund during the window. The European leg of digital-infra fundraising is otherwise unrepresented on the watchlist.
Kuwait Investment Authority,sovereign,KKR; Brookfield; BlackRock/GIP,"Anchor LP in KKR's $10bn+ Helix Digital Infrastructure, a backer of Brookfield's AI Infrastructure Fund, and a member of the AI Infrastructure Partnership behind Aligned. Appears on three of the largest vehicles in this window but is not on the sovereign watchlist."
NextEra Energy,corporate,Brookfield,"DOE-selected partner on the Paducah campus (Jul 29): will build and own up to 2GW of gas plus 2.6GW of battery storage dedicated to the site. The generation counterparty in the emerging 'dedicated generation, no interconnect queue' template."
Vistra,corporate,KKR,"Equity partner alongside KKR, KIA and NVIDIA in Helix Digital Infrastructure - the power company sitting inside the capital vehicle rather than selling to it."
SK Inc.,corporate,KKR,"JV partner in the $1.3bn Korea renewables platform (Jul 1); contributed assets from SK Innovation, SK ecoplant and SK eternix and retains a future option on control."
Silver Lake,alt_manager,DigitalBridge,"Long-running co-lead with DigitalBridge on Vantage Data Centers ($9.2bn equity). No in-window event, logged because it recurs as DigitalBridge's structural co-sponsor in hyperscale."
