name,layers,sector,role,tier,ticker,public_private,geo,f_share,f_alternatives,f_switch_time,f_barrier,share_note,one_liner,what_breaks_it,dc_node
ASML,L2,Litho Tools,producer,anchor,AMS: ASML,Pub,NL,5,5,5,5,ASML is currently the world’s only manufacturer of EUV lithography systems.,"Единственный в мире производитель EUV-сканеров — станков, без которых не печатают чипы ниже 7 нм.",Рабочая альтернатива EUV или потеря эксклюзивного доступа к оптике Carl Zeiss SMT.,litho
Carl Zeiss SMT,L2,Litho Tools,producer,core,,Pvt,DE,5,5,5,5,"The number of lithography systems we are able to produce is limited by the production capacity of one of our key suppliers, Carl Zeiss SMT, our sole supplier of lenses, mirrors, illuminators, collectors and other critical optical components (which we refer to as optics).","Единственный поставщик оптики (линзы, зеркала, коллекторы) для EUV-сканеров ASML.",ASML разрабатывает собственную оптику или квалифицирует второго поставщика — обоего пока нет.,litho
Lam Research,L2,Litho Tools,producer,core,NASDAQ: LRCX,Pub,US,3,2,3,4,"Our most significant customers during the fiscal years ending June 28, 2026, June 29, 2025, and June 30, 2024 included Micron Technology, Inc., Samsung Electronics Company, Ltd., SK hynix Inc., and Taiwan Semiconductor Manufacturing Company.","Оборудование травления и осаждения; клиенты — Micron, Samsung, SK hynix и TSMC.",Клиенты переходят на конкурирующее оборудование Applied Materials или Tokyo Electron.,litho
TSMC,L3:primary|L5,AI Silicon,producer,anchor,NYSE: TSM,Pub,TW,5,4,5,5,"Our largest customer in 2023 , 2024 and 2025 accounted for 25% , 22% and 19% of our net revenue in the respective year.",Крупнейший контрактный производитель чипов; делает физически почти весь передовой AI-кремний.,Военно-политический разрыв поставок с Тайваня либо успешный передовой узел у Samsung или Intel.,silicon
NVIDIA,L3:primary|L10,AI Silicon,producer,anchor,NASDAQ: NVDA,Pub,US,5,4,4,5,"For fiscal year 2026, sales to one direct customer represented 22% of total revenue and sales to another direct customer represented 14% of total revenue, all of which were primarily attributable to the Compute & Networking segment.",Ускорители для ИИ вместе с сетью и софтом CUDA — де-факто стандарт обучения моделей.,Массовый переход гиперскейлеров на собственные ASIC или прорыв конкурента в софтовом слое.,silicon
Broadcom,L3:primary|L8,Custom ASIC,producer,anchor,NASDAQ: AVGO,Pub,US,4,4,4,4,"During fiscal years 2025, 2024 and 2023, one customer accounted for 32 %, 28 % and 21 % of our net revenue, respectively.",Проектирует кастомные AI-ускорители для гиперскейлеров и делает сетевые чипы для кластеров.,Гиперскейлеры забирают дизайн ASIC внутрь или уходят к Marvell и дизайн-хаусам.,asic
Samsung Electronics,L4:primary|L3,DRAM,producer,core,KRX: 005930,Pub,KR,3,3,4,5,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers. We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung. We utilize CoWoS technology for semiconductor packaging. We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.","Память и фаундри в одной компании: DRAM, HBM и передовое производство чипов.","Отставание в HBM закрепляется, и доля в памяти для ИИ уходит к SK hynix и Micron.",dram
SK Hynix,L4,HBM,producer,anchor,KRX: 000660,Pub,KR,4,4,4,5,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers. We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung. We utilize CoWoS technology for semiconductor packaging. We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.","Ведущий поставщик HBM — стековой памяти, стоящей вплотную к ускорителю.",Samsung или Micron проходят квалификацию на следующее поколение HBM раньше.,hbm
Micron Technology,L4,HBM,producer,core,NASDAQ: MU,Pub,US,3,3,4,5,Revenue from one customer was 17 % (primarily included in the CMBU segment) of total revenue for 2025.,Третий поставщик HBM и DRAM; единственный американский производитель памяти такого масштаба.,Провал квалификации на следующем поколении HBM у ключевого заказчика.,hbm
Arm Holdings,L2,IP/Bonding,platform,core,NASDAQ: ARM,Pub,GB,5,4,4,4,Набор команд Arm лицензирован практически всеми разработчиками CPU для AI-платформ; компания названа ключевым технологическим партнёром Stargate.,"Лицензирует набор команд и готовые блоки, на которых строят CPU в AI-платформах.",Массовый переход отрасли на RISC-V в серверном сегменте.,ip
