owner_kind,owner_key,tier,type,title,url,published,quote,confidence
edge,nventures__nvidia__funded_by,2,sec_filing,Arista Networks 10-K 2025,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/anet-20251231.htm,2026-02-13,Nvidia has made significant investments in several AI Neoclouds.,
edge,nventures__nvidia__funded_by,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,nvidia__coreweave__hedges_against,2,sec_filing,Arista Networks 10-K 2025,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/anet-20251231.htm,2026-02-13,Nvidia has made significant investments in several AI Neoclouds.,
edge,nvidia__coreweave__hedges_against,2,sec_filing,CoreWeave 10-K 2025,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,all of the GPUs used in our infrastructure today are NVIDIA GPUs.,
edge,nvidia__coreweave__hedges_against,2,sec_filing,CoreWeave 10-K 2025,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,"approximately 67% of our revenue from our top customer, Microsoft,",
edge,nvidia__nebius__hedges_against,2,sec_filing,Arista Networks 10-K 2025,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/anet-20251231.htm,2026-02-13,Nvidia has made significant investments in several AI Neoclouds.,
edge,nvidia__nebius__hedges_against,2,sec_filing,Nebius 20-F 2025,https://www.sec.gov/Archives/edgar/data/1513845/000110465926052948/nbis-20251231x20f.htm,2026-04-30,We currently rely on Nvidia for the GPU chips we use,
edge,nvidia__nebius__hedges_against,2,sec_filing,Nebius 20-F 2025,https://www.sec.gov/Archives/edgar/data/1513845/000110465926052948/nbis-20251231x20f.htm,2026-04-30,we are providing Microsoft access to dedicated GPU infrastructure capacity in clusters,
edge,nvidia__lambda__hedges_against,2,sec_filing,Arista Networks 10-K 2025,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/anet-20251231.htm,2026-02-13,Nvidia has made significant investments in several AI Neoclouds.,
edge,nvidia__lambda__hedges_against,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,nvidia__crusoe__hedges_against,2,sec_filing,Arista Networks 10-K 2025,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/anet-20251231.htm,2026-02-13,Nvidia has made significant investments in several AI Neoclouds.,
edge,nvidia__crusoe__hedges_against,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"including sufficient energy for powering data centers using our products,",
edge,nvidia__huggingface__hedges_against,2,product_doc,Hugging Face Transformers README,https://raw.githubusercontent.com/huggingface/transformers/main/README.md,2026-08-01,"is the pivot across frameworks: if a model definition is supported, it will",
edge,nvidia__huggingface__hedges_against,2,sec_filing,Arista Networks 10-K 2025,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/anet-20251231.htm,2026-02-13,Nvidia has made significant investments in several AI Neoclouds.,
edge,nvidia__huggingface__hedges_against,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the foundational NVIDIA CUDA development platform that runs on all NVIDIA GPUs,",
edge,nvidia__synopsys__invests_in,2,sec_filing,Synopsys 10-K FY2025,https://www.sec.gov/Archives/edgar/data/883241/000088324125000028/snps-20251031.htm,2025-12-22,"we entered into a securities purchase agreement for a private placement with NVIDIA Corporation,",
edge,nvidia__synopsys__invests_in,2,sec_filing,Synopsys 10-K FY2025,https://www.sec.gov/Archives/edgar/data/883241/000088324125000028/snps-20251031.htm,2025-12-22,We work closely with major foundries to ensure that our,
edge,nvidia__openai__invests_in,2,partner_pr,OpenAI + NVIDIA: 10 GW,https://openai.com/index/openai-nvidia-systems-partnership/,2025-09-22,NVIDIA intends to invest up to $100 billion in OpenAI progressively as each,
edge,nvidia__openai__invests_in,2,partner_pr,OpenAI + NVIDIA: 10 GW,https://openai.com/index/openai-nvidia-systems-partnership/,2025-09-22,OpenAI to build and deploy at least 10 gigawatts of AI datacenters with,
