event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,notes,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,origin_id
2026-07-21,2026-07-21,BlackRock,alt_manager,Aligned Data Centers,private,datacenters,hyperscale-colocation,acquisition,40000000000,0,verified,1,https://aligneddc.com/press-release/aip-mgx-and-blackrocks-gip-close-acquisition-of-aligned-data-centers/,"CLOSED Jul 21 2026. BlackRock's Global Infrastructure Partners (GIP) led a consortium with MGX and the AI Infrastructure Partnership (AIP) acquiring 100% of the equity of Aligned from Macquarie Asset Management. ~$40bn enterprise value = consortium total, attributed to the lead sponsor here (individual slices not disclosed). 50+ campuses, >5GW operational+planned across US and LatAm. AIP/GIP/MGX also provided $5bn of additional expansion capital at close. Largest data-centre acquisition on record. Sovereign agent logs the same deal from the MGX side - dedupe downstream.",ai_infrastructure,lead,equity,buyout,40000000000,100,,MGX; AI Infrastructure Partnership (AIP); Microsoft; NVIDIA; Kuwait Investment Authority; Temasek; xAI,
2026-07-28,2026-07-28,BlackRock,alt_manager,Project Sopaipilla Holdings (Meta El Paso data center JV),project,datacenters,hyperscale-jv-1GW,project_finance,4900000000,0,verified,1,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Announces-New-Strategic-Venture-with-BlackRock-to-Develop-Data-Center-in-El-Paso/default.aspx,"Primary confirm (Meta IR / PRNewswire Jul 28). amount_usd = BlackRock's committed CASH contribution at financial close (~$4.9bn) for an 80% interest; Meta contributes ~$2.3bn of land + construction-in-progress for 20% and leases the campus. round_total_usd = ~$14bn of total development cost the parties fund pro rata. DEBT BEHIND IT: ~$12.5bn raise arranged by JPMorgan/Morgan Stanley; the ~$12bn Sopaipilla bond priced in late Jul at yields above 7% - materially wider than the $27bn Blue Owl/Meta Hyperion (Louisiana) package nine months earlier, the clearest AI-debt repricing datapoint of the window. 1GW compute campus, online 2028. Second use of the hyperscaler-carve-out-to-private-capital template.",ai_infrastructure,lead,jv,,14000000000,80,,Meta Platforms (20%),
2026-07-14,2026-07-14,BlackRock,alt_manager,Summit Ridge Energy,private,power-energy,community-commercial-solar-storage,acquisition,,0,verified,1,https://www.globenewswire.com/news-release/2026/07/14/3326975/0/en/global-infrastructure-partners-agrees-to-acquire-summit-ridge-energy.html,"Amount undisclosed. BlackRock's Global Infrastructure Partners (GIP mid-market funds, Mark Florian) agreed to acquire a majority and CONTROLLING interest in Summit Ridge Energy plus fresh growth capital. 275+ facilities, >3GW of solar PV + storage operating or in development across Midwest/Mid-Atlantic/New England, serving 60,000+ customers. Capital is to retain more projects on balance sheet and fund larger acquisition vehicles. Distributed generation rather than a data-centre deal directly - included because it is GIP adding dispatchable/behind-the-grid electrons into the same load-growth thesis; flagged so downstream can down-weight.",energy_for_ai,lead,equity,buyout,,,,,
,2026-07-13,Blackstone,alt_manager,"Williams Power Innovation JV (Socrates, Apollo, Aquila, Socrates the Younger, Neo)",project,power-energy,behind-the-meter-gas-generation,minority_stake,5340000000,0,verified,1,https://www.sec.gov/Archives/edgar/data/0000107263/000119312526301533/d152507dex991.htm,"TIER-1 via Williams 8-K EX-99.1 (filed 2026-07-13) + Blackstone press release. $5.34bn of COMMITTED capital led by funds managed by Blackstone Credit & Insurance, in partnership with Apollo and insurance vehicles/accounts managed by KKR, for a 49% noncontrolling equity interest in five behind-the-meter Power Innovation projects. Split: ~$4.4bn = 49% of expected total growth capex, plus ~$0.9bn of additional consideration to Williams. Williams keeps 51% plus commercial and operational control, with a buyout right in years 7-14 at Blackstone's outstanding investment balance. Consortium total attributed to the lead - Apollo and KKR slices are NOT disclosed (see the separate KKR row with amount blank; do not double count). Socrates (200MW, New Albany OH) serves a Meta campus and is near completion; Neo is 682MW online 2H28.",energy_for_ai,lead,equity,,5340000000,49,,Apollo Global Management; KKR,
,2026-07-13,KKR,alt_manager,"Williams Power Innovation JV (Socrates, Apollo, Aquila, Socrates the Younger, Neo)",project,power-energy,behind-the-meter-gas-generation,minority_stake,,0,verified,1,https://www.sec.gov/Archives/edgar/data/0000107263/000119312526301533/d152507dex991.htm,KKR side of the same Williams JV. amount_usd deliberately BLANK - KKR participates through insurance vehicles and accounts it manages but its slice of the $5.34bn consortium commitment is not disclosed. round_total_usd carries the consortium total; the Blackstone row carries the attributed amount. Do not double count.,energy_for_ai,participant,equity,,5340000000,,,Blackstone Credit & Insurance (lead); Apollo Global Management,
2026-08-03,2026-08-03,KKR,alt_manager,KKR Global Infrastructure Investors V,fund,datacenters,core-plus-infrastructure-fund,fund_launch,19200000000,0,verified,1,https://www.businesswire.com/news/home/20260803095185/en/KKR-Closes-$19.2-Billion-Infrastructure-Fund,"FINAL CLOSE (not a target) - $19.2bn, KKR's largest infrastructure fund to date; takes the KKR infra platform toward ~$120bn. Core+ mandate across North America and Western Europe. Already committed >$9bn, including data-centre company Global Technical Realty and colocation operator Gulf Data Hub. Mapped to `datacenters` because the named deployments are digital infra, but the mandate is DIVERSIFIED infrastructure - down-weight for sector-swarm purposes.",ai_infrastructure,sole,equity,growth,19200000000,,,,
,2026-06-30,KKR,alt_manager,EDF power solutions North America,asset,power-energy,renewables-solar-wind-storage,acquisition,4200000000,0,verified,1,https://www.businesswire.com/news/home/20260630667572/en/KKR-to-Acquire-EDF-power-solutions-North-American-Operations-for-$4.2-Billion,"Signed agreement to acquire EDF power solutions' US and Canadian operations and assets from EDF group. ~$4.2bn equity value plus up to ~$0.39bn of contingent additional payments. Adds ~5.6GW of renewables capacity; top-10 US owner of renewable capacity. KKR's largest single clean-energy investment to date. Explicit rationale from KKR MD Cecilio Velasco: US power demand growth from data-centre expansion, manufacturing reshoring and electrification. At the very edge of the 30-day window (announced Jun 30, picked up Jul 1) - kept because it is the largest power acquisition of the period.",energy_for_ai,lead,equity,buyout,4590000000,,,,
2026-07-01,2026-07-01,KKR,alt_manager,SK-KKR Korea renewable energy platform,private,power-energy,korea-renewables-fuel-cell,acquisition,1300000000,1,verified_alpha,3,https://www.cnbc.com/2026/07/01/kkr-sk-launch-1-3-billion-south-korea-renewable-energy-platform-ai-data-centers.html,"amount_estimated=1: KRW 2tn (~$1.3bn) is the PLATFORM value, not KKR's disclosed cheque. Funds managed by KKR and SK Inc. consolidated renewable assets from SK Innovation, SK ecoplant and SK eternix into one vehicle; KKR initially takes MANAGEMENT CONTROL, SK stays an equity investor with a future option on control. ~1.7GW operating, pipeline to 10GW (solar, onshore/offshore wind, fuel cells). Funded primarily out of KKR's Asia-Pacific infrastructure strategy. Explicitly framed against Korean load growth from AI data centres and fabs. Corroborated independently by Bloomberg, CNBC, ESG Today and deal counsel Davis Polk's own transaction page - hence verified_alpha rather than candidate.",energy_for_ai,lead,jv,,,,,SK Inc.,https://www.bloomberg.com/news/articles/2026-07-01/kkr-invests-in-sk-renewable-assets-to-form-1-3-billion-platform
,2026-06-30,Brookfield,alt_manager,Bloom Energy,public,power-energy,fuel-cell-onsite-power,project_finance,25000000000,1,verified,1,https://investor.bloomenergy.com/press-releases/press-release-details/2026/Brookfield-and-Bloom-Energy-Expand-AI-Infrastructure-Partnership-to-25-Billion-Fivefold-Increase-to-Build-and-Finance-Rapid-Power-for-AI-Infrastructure/default.aspx,"FRAMEWORK, NOT A COMMITTED CLOSE - amount_estimated=1. Brookfield expanded its financing framework fivefold, from $5bn (Oct 2025) to $25bn, to build and finance Bloom fuel-cell onsite power for AI data centres and hyperscalers that cannot wait for grid interconnection. Sits inside Brookfield's AI Infrastructure Fund (BAIIF). Kept from Jun 30 for continuity - it is the cleanest statement of the window's thesis that capital is chasing deployable electrons ahead of the interconnect queue.",energy_for_ai,sole,debt,,,,,,
,2026-07-22,Brookfield,alt_manager,Aypa Power,private,power-energy,battery-energy-storage,acquisition,3000000000,0,verified,1,https://www.globenewswire.com/news-release/2026/07/22/3331786/0/en/brookfield-to-acquire-aypa-power-the-leading-north-american-battery-storage-platform-from-blackstone-energy-transition-partners.html,"Signed Jul 22 2026. amount_usd = ~$3bn EQUITY value; valuation_usd = ~$7bn enterprise value at closing. Brookfield acquires Aypa's operating, under-construction and contracted portfolio plus the development platform and ~200-person team - the largest standalone battery-storage developer in North America. SELLER is Blackstone Energy Transition Partners, so this is simultaneously a Blackstone exit; confirmed by BOTH sponsors' own press releases (dual Tier-1). Storage is the flexibility layer that makes behind-the-meter and grid-constrained data-centre power work.",energy_for_ai,lead,equity,buyout,,,7000000000,Blackstone Energy Transition Partners (seller),
