event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,notes,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,origin_id
,2026-07-27,NVIDIA,corporate,OpenAI southern Ohio 10GW data center,project,datacenters,hyperscale-ai,corporate_investment,250000000000,1,candidate,3,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001045810&type=8-K&dateb=&owner=include&count=40,"FILINGS SWEEP FOUND NOTHING - candidate stands. Independently re-ran the primary hunt on NVIDIA's EDGAR record (CIK 0001045810) via data.sec.gov/submissions. NVIDIA's most recent 8-K is dated 2026-07-02 (nvda-20260628.htm, officer matters), with nothing filed after it; the only NVIDIA filings between 2026-07-02 and 2026-08-07 are a Form 3 (2026-07-15), a Form 4 (2026-07-06) and the Nebius Schedule 13G (2026-07-20). No 8-K item 1.01/2.01, no S-3/424B tied to a guarantee, and NVIDIA's FY27 Q2 10-Q - where an off-balance-sheet guarantee of this size would have to appear - is not due until late August 2026. A lease/debt GUARANTEE is contingent credit support and would not trigger an 8-K on signature in any case. Origin remains the single 2026-07-27 WSJ scoop; the five downstream outlets are one source, not five. WATCH: NVIDIA 10-Q guarantee/off-balance-sheet footnote, late Aug 2026.",ai_infrastructure,participant,debt,,500000000000,,,SoftBank;OpenAI,https://www.wsj.com/tech/ai/nvidia-openai-data-center-financing
,2026-07-16,Coatue,vc,Databricks,private,ai-data,data-ai-platform,funding_round,3000000000,1,candidate,1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001587468&type=D&dateb=&owner=include&count=40,"FILINGS SWEEP FOUND NOTHING - candidate stands. Databricks, Inc. is CIK 0001587468 and files its own Form Ds. Its full filing history was pulled from data.sec.gov: the most recent Form D filings are TWO dated 2025-12-31, then 2025-09-23 (x2) and 2025-01-02 (x2). There is NO 2026 Form D and no Form D/A, so the reported 3bn round has not been filed with the SEC as of 2026-08-07. Form D is due 15 days after first sale, which is consistent with the term-sheet-only status the vc agent reported - if the round had closed in mid-July a Form D would be overdue. Nine other EDGAR entities carry 'Databricks' in the name but all are third-party SPV series (CGF2021 LLC, Moreno VC LLC, The Gate Strategic Opportunities LLC) that buy secondaries, not the issuer. WATCH: a Databricks, Inc. Form D - that is the single cleanest confirmation trigger.",ai_applications,lead,equity,growth,3000000000,,188000000000,"new and existing investors, unnamed in the company PR",
,2026-07-22,Andreessen Horowitz,vc,Cathedral,private,cybersecurity,military-ai-cyber,funding_round,,0,verified_alpha,3,https://efts.sec.gov/LATEST/search-index?q=%22Cathedral%22&forms=D,"FILINGS SWEEP FOUND NOTHING - stays at verified_alpha, no Tier-1 upgrade. EDGAR full-text search for 'Cathedral' restricted to Form D over 2026-06-01..2026-08-07 returns ZERO hits, and an EDGAR company-name search for 'Cathedral' returns only unrelated filers (Cathedral Energy Services Ltd, Cathedral Group LLC, three Cathedral Lake CLOs, Cathedral Productions LLC, Cathedral Real Estate Opportunity Fund I). The startup is not an EDGAR filer yet - unsurprising for a company that launched from stealth in July and may still be inside the 15-day Form D window or relying on a 4(a)(2) private placement. No company website press release located either. The claim is corroborated across citybiz, pulse2, Dealroom, executivebiz and thenextweb, but those all trace to the same 2026-07-22 exclusive, so the circular-reporting guard applies. Founders per the reporting: Gavin Kliger, Luke Farritor, Marko Elez, Jack Stein (ex-DOGE); a16z and Sequoia each took a board seat. WATCH: a Cathedral Form D, or a DoD/GSA contract award. | CORRECTION 2026-08-09: co-led $160M round; per-allocator slice undisclosed — amount moved to round_total to avoid double-counting.",defense_ai,lead,equity,,160000000,,1400000000,,
,2026-07-22,Blackstone,alt_manager,AirTrunk SYD3 (Western Sydney),project,datacenters,hyperscale-australia-construction-loan,project_finance,3000000000,1,candidate,3,https://efts.sec.gov/LATEST/search-index?q=%22AirTrunk%22,"FILINGS SWEEP FOUND NOTHING - candidate stands. EDGAR full-text search for 'AirTrunk' across 2026-06-01..2026-08-07 returns exactly ONE document, a Blackstone Infrastructure Strategies (TE) L.P. Form 10-12G/A dated 2026-06-23, which is a registration statement mentioning the asset, not a financing disclosure. A syndicated construction loan to an unlisted Australian portfolio company generates no SEC filing at all - Blackstone would only surface it in aggregate. The financing is still described as being underwritten/finalised (A$4.3bn five-year facility, 400+MW SYD3), so capital is not yet drawn. Correct primary sources would be Australian: an ASIC charge registration or a PPSR security interest against the AirTrunk SPV. Not reachable from EDGAR - flagging as the right next escalation step rather than dropping the lead.",ai_infrastructure,sole,debt,,3000000000,,,,
,2026-06-30,Blackstone,alt_manager,Japan AI data centers (programme),project,datacenters,japan-buildout-programme,project_finance,30000000000,1,candidate,3,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001393818&type=8-K&dateb=&owner=include&count=40,"FILINGS SWEEP FOUND NOTHING - candidate stands, and arguably should not become an event at all. Blackstone Inc. (CIK 0001393818) filing history checked: its only 8-Ks in the window are 2026-06-23 and 2026-07-23 (Q2 earnings), and no Q2 2026 10-Q had been filed as of 2026-08-07 (last 10-Q is 2026-05-08 for Q1). Nothing discloses a Japan programme. The origin is an interview: Blackstone President/COO Jonathan Gray told Nikkei the firm plans to invest ~30bn in Japanese AI data centres over the NEXT THREE TO FIVE YEARS and is 'exploring' projects above 1GW. Per the scope rules a stated multi-year intention with no signed commitment is not capital allocated - it is guidance. Keep as candidate and only promote when specific site-level JVs or financings are announced.",ai_infrastructure,sole,equity,,,,,,
,2026-08-06,Mubadala,sovereign,Akita 500MW AI data center (Japan),project,datacenters,japan-sovereign-ai-dc,sovereign_investment,6300000000,1,candidate,3,https://efts.sec.gov/LATEST/search-index?q=%22Mubadala%22,"FILINGS SWEEP FOUND NOTHING - candidate stands. EDGAR full-text search for 'Mubadala' over 2026-07-15..2026-08-07 returns 9 documents, none related: a China-UAE Investment Cooperation Fund 13F-HR, plus incidental mentions in Aris Mining, Clear Channel, Inseego, GlobalFoundries and NextDecade filings. A UAE sovereign investing in a Japanese greenfield project would not file with the SEC in any event. The underlying language is explicitly non-committal - Bloomberg reports Mubadala 'weighs' up to JPY 1 trillion (~6.3bn) for a 500MW Akita site developed by US startup BitGrid with Japanese IT firm S2, targeting early-2030s operation, with Mubadala declining to comment and the information described as not public. Exposure would run through MGX. Nothing is committed; do not promote. WATCH: Akita prefecture permitting records and any BitGrid/S2 announcement.",sovereign_ai,participant,equity,,,,,MGX;BitGrid;S2,
,2026-07-21,SoftBank,alt_manager,ABB Robotics acquisition financing,asset,robotics,acquisition-term-loan,project_finance,1750000000,0,candidate,3,https://group.softbank/en/news/press/20251008,"FILINGS SWEEP FOUND NOTHING FOR THE LOAN ITSELF - candidate stands, but see the paired verified row for the underlying acquisition. The 1.75bn is a four-bank syndicated term-loan package (dollar tranche increased by 200m to 800m; euro tranche cut to EUR 825m, ~940m equivalent; priced ~425bp over benchmarks at 98.5 OID) raised to fund SoftBank's purchase of ABB's robotics business. Loan syndications are private credit-market events - there is no SEC, ABB or SoftBank filing that discloses the tranche structure, and neither borrower is a US registrant for this vehicle. Only Bloomberg (2026-07-21) carries the terms, so it stays single-source. The ACQUISITION it funds (USD 5.375bn) IS Tier-1 confirmed via SoftBank's and ABB's own press releases and is emitted separately in verified_events.csv - do not double-count the 1.75bn as acquisition consideration.",robotics_embodiment,sole,debt,,5375000000,,,,
,2026-07-23,Khosla Ventures,vc,Khosla Ventures 2026 fund family,fund,ai-applications,multi-stage-venture-fund,fund_launch,5500000000,1,candidate,3,https://www.sec.gov/Archives/edgar/data/2074230/000207423025000001/primary_doc.xml,"FILINGS SWEEP PARTIALLY CONTRADICTS THE HEADLINE - candidate stands at tier 3. Enumerated all 34 'Khosla Ventures' EDGAR entities and pulled the fund-level Form Ds. The current vintage vehicles are: Khosla Ventures IX, L.P. (CIK 0002074230, Form D 2025-07-02, offering 1,950,000,000), Khosla Ventures Opportunity III, L.P. (CIK 0002074231, 2025-07-02, offering 1,250,000,000), Khosla Ventures IX Strategic, L.P. (CIK 0002097668, 2025-11-26, offering 31,580,000) and Khosla Ventures Seed G, L.P. (CIK 0002074203, 2025-07-02). TWO problems with the 5.5bn/2026 framing: (a) every one of these Form Ds was filed in 2025, not 2026, so the family was registered a year before the 2026-07-23 press announcement; (b) the registered offering amounts sum to roughly 3.2bn plus Seed G, not 5.5bn, and all show amount-sold 0 with 'first sale yet to occur' (Form D offering amounts are ceilings, not raises). No 2026 Form D or D/A exists for any of them. The 5.5bn number is press-sourced and unverified. WATCH: Form D/A amendments on CIKs 2074230 / 2074231 / 2074203 reporting amounts actually sold.",ai_applications,sole,equity,,5500000000,,,,
,2026-07-17,Coatue,vc,Coatue retail fund,fund,ai-applications,retail-evergreen-tech-fund,fund_launch,8000000000,1,candidate,3,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002044519&type=&dateb=&owner=include&count=40,"FILINGS SWEEP FOUND THE VEHICLE BUT NOT THE 8BN - candidate stands. Coatue Innovative Strategies Fund (CIK 0002044519) is the registered retail-facing vehicle and is actively filing: 424B3 supplement 2026-07-08, SC TO-I tender offer 2026-06-16 with an amendment 2026-07-23, NPORT-P/A 2026-06-16, and two 40-APP exemptive applications (2026-06-30 and 2026-07-07) filed jointly with Coatue Management LLC. Philippe Laffont is named CEO of the fund. The 2026-07-08 424B3 that was read end-to-end is a Statement of Additional Information supplement covering ONLY the appointment of Heather Shaffer as Chief Compliance Officer - it carries no AUM or fund-size figure, so nothing in the filings corroborates the reported 8bn. Note also the SC TO-I: an interval/tender-offer structure means the fund repurchases shares periodically, so any 'size' number is a moving net-asset figure rather than a closed commitment. Separately, the 1.31bn of J.P. Morgan-promoted Coatue Growth Fund VI feeders found this week (see verified_events.csv) are a DIFFERENT wealth-channel vehicle - do not merge them into this row. WATCH: the fund's next N-CSR/NPORT-P for net assets.",ai_applications,sole,equity,,8000000000,,,,
,2026-07-06,Altimeter,vc,Thrive Holdings,private,ai-applications,ai-services-rollup,minority_stake,2000000000,1,candidate,3,https://efts.sec.gov/LATEST/search-index?q=%22Thrive+Holdings%22,"FILINGS SWEEP FOUND NOTHING - candidate stands. EDGAR full-text search for 'Thrive Holdings' over 2026-06-01..2026-08-07 returns 6 documents, all false positives: four Fidelity NPORT-P holdings reports and two Morgan Stanley Direct Lending 424B2s. An EDGAR company-name search for 'Thrive Holdings' returns no filer. The one Form D that surfaced under a 'Thrive' name search - Thrive ManagementCo, LLC (CIK 0001885926, filed 2026-07-22) - was pulled and read and is NOT related: its industry classification is 'Other Health Care' and its directors (Max Lin, Alex Ward, Johnny Kim et al.) have no overlap with Thrive Capital. So no Form D exists for the reported raise. WATCH: a Thrive Holdings Form D, or a 13D if the rollup takes control of a listed services business.",ai_applications,participant,equity,growth,2000000000,,,SoftBank; D1 Capital Partners; OpenAI (reported stake + talent),
