owner_kind,owner_key,tier,type,title,url,published,quote,confidence
edge,microsoft__coreweave__customer_of,2,sec_filing,CoreWeave 10-K 2025,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,"We recognized an aggregate of approximately 67% of our revenue from our top customer,",
edge,microsoft__coreweave__customer_of,2,sec_filing,CoreWeave 10-K 2025,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,approximately 77% of our revenue from our top two customers for the year ended,
edge,microsoft__coreweave__customer_of,2,sec_filing,CoreWeave 10-K 2025,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,"approximately 73% of our revenue for the year ended December 31, 2023, from",
edge,openai__coreweave__customer_of,2,sec_filing,CoreWeave 10-K 2025,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,"committed to pay us up to approximately $6.5 billion through May 31, 2031",
edge,openai__coreweave__customer_of,2,sec_filing,CoreWeave 10-K 2025,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,"In May 2025, we entered into a master services agreement with OpenAI OpCo, LLC",
edge,nvidia__coreweave__supplies,2,sec_filing,CoreWeave 10-K 2025,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,"for the year ended December 31, 2025, three suppliers accounted for 23%, 20%, and",
edge,nvidia__coreweave__supplies,2,sec_filing,CoreWeave 10-K 2025,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,"three suppliers accounted for 23%, 20%, and 17% of total purchases,",
edge,nvidia__coreweave__supplies,2,sec_filing,CoreWeave 10-K 2025,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,"for the year ended December 31, 2024, three suppliers accounted for 46%, 16%, and",
edge,tsmc__nvidia__manufactures,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,"Our largest customer in 2023 , 2024 and 2025 accounted for 25% , 22%",
edge,tsmc__nvidia__manufactures,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,"and 2025 accounted for 25% , 22% and 19% of our net revenue",
edge,tsmc__nvidia__manufactures,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,"ten largest customers in 2023 , 2024 and 2025 accounted for approximately, 70%",
edge,tsmc__nvidia__manufactures,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,"accounted for approximately, 70% , 76% and 78% of our net revenue in",
edge,microsoft__nvidia__customer_of,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"For fiscal year 2026, sales to one direct customer represented 22% of total revenue",
