id,name,aliases,type,role,sector,primary_layer,domain,layers,phase,ticker,public_private,geo,founded,revenue_usd_b,one_liner,why_irreplaceable,what_breaks_it,geo_risk,geo_risk_note,export_regime,concentration
openai,OpenAI,OpenAI OpCo|OpenAI Global,company,demand,frontier_lab,L12,openai.com,L12,scaling,,private,US,2015,13.0,"Лаборатория, которая обучает передовые модели и заказывает вычисления гигаваттами.","Своим существованием доказала отрасли, что спрос на ускорители настоящий: под неё строятся площадки на гигаватты. Но как источник спроса она заменима другими лабораториями.",Модель конкурента заметно лучше при сопоставимой цене ответа.,medium,Зависит от американских площадок и от партнёров по капиталу.,,35
anthropic,Anthropic,Anthropic PBC,company,demand,frontier_lab,L12,anthropic.com,L12,scaling,,private,US,2021,5.0,Лаборатория передовых моделей после OpenAI; её главный инфраструктурный партнёр — Amazon.,"Доказывает, что спрос не сосредоточен в одной лаборатории. Это снижает риск для всей конструкции: если бы покупатель был один, вся стройка висела бы на нём.",Потеря доступа к мощности партнёра или отставание поколения.,medium,Зависит от американских облаков.,,35
meta,Meta,Meta Platforms|Facebook,company,demand,frontier_lab,L12,meta.com,L12|L10,mature,NASDAQ: META,public,US,2004,164.5,"Одновременно крупный покупатель ускорителей, автор открытых моделей и родитель главной библиотеки обучения.","Единственный покупатель, который отдал отрасли библиотеку обучения. Это делает его и клиентом, и совладельцем замка: библиотека закрепляет связку с ускорителями.",Перевод обучения на собственные чипы вместе с уходом библиотеки на другое железо.,low,Инфраструктура преимущественно в США.,,25
xai,xAI,X.AI Corp,company,demand,frontier_lab,L12,,L12,scaling,,private,US,2023,1.0,"Молодая лаборатория, построившая один из крупнейших кластеров ускорителей за рекордный срок.","Доказала, что кластер на сотни тысяч ускорителей можно собрать за месяцы. Это важное доказательство скорости для всей отрасли.",Нехватка финансирования на следующий цикл обучения.,medium,"Площадки в США, энергия ограничивает ввод площадок.",,30
mistral,Mistral AI,Mistral,company,demand,open_model,L12,mistral.ai,L12,scaling,,private,FR,2023,0.3,"Европейская лаборатория, выпускающая модели с открытыми весами.","Показывает, что передовые модели делают не только в США. Для карты важна как доказательство географической распределённости спроса.",Отставание от американских лабораторий на поколение.,medium,"Европейская юрисдикция, зависит от американского железа.",,30
deepseek,DeepSeek,DeepSeek AI,company,demand,open_model,L12,,L12,scaling,,private,CN,2023,,"Китайская лаборатория, показавшая обучение сильной модели при меньших затратах вычислений.","Прямой вызов допущению, что качество модели пропорционально закупленным ускорителям. Именно поэтому она подтачивает спрос сильнее конкурентов.",Ограничение доступа к железу или к данным.,high,Работает под китайской юрисдикцией и под экспортными ограничениями США.,US_EXPORT_CONTROLS,60
google-deepmind,Google DeepMind,DeepMind,research_org,demand,frontier_lab,L12,,L12,mature,,private,GB,2010,,"Исследовательская лаборатория внутри крупного облака, обучает модели на собственных чипах.","Единственная передовая лаборатория, которая может обучать на собственном железе владельца. Это делает её и клиентом, и доказательством альтернативы.","Полный переход на собственные чипы, обнуляющий закупки.",low,Часть корпорации с инфраструктурой в США и Европе.,,25
databricks,Databricks,"Databricks, Inc.",company,operator,enterprise_ai,L13,databricks.com,L13,scaling,,private,US,2013,3.0,"Платформа, на которой компании готовят данные и обучают модели под свои задачи.","Доказывает, что на вычислениях зарабатывают не только лаборатории: корпоративные заказчики окупают их на собственных данных.",Гиперскейлеры встраивают ту же функциональность в свои облака.,low,Работает поверх основных облаков.,,20
servicenow,ServiceNow,"ServiceNow, Inc.",company,operator,enterprise_ai,L13,,L13,mature,NYSE: NOW,public,US,2004,11.0,"Корпоративная платформа рабочих процессов, встраивающая модели в повседневную работу компаний.","Доказательство окупаемости в корпоративном сегменте: модели встроены в процессы, за которые компании уже платят.",Корпоративные заказчики отказываются доплачивать за встроенные модели.,low,Работает поверх основных облаков.,,15
salesforce,Salesforce,"Salesforce, Inc.",company,operator,enterprise_ai,L13,,L13,mature,NYSE: CRM,public,US,1999,38.0,Крупнейшая платформа управления продажами; встраивает модели в работу отделов продаж.,"Ещё одно доказательство корпоративной окупаемости, в другом сегменте. Массовость важнее уникальности.",Отказ корпоративных заказчиков от доплаты за модели.,low,Работает поверх основных облаков.,,15
