event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,notes,capital_role,instrument,stage,round_total_usd,valuation_usd,co_investors
2026-09-15,2026-09-15,Sequoia,vc,Profound,private,ai-applications,vertical-saas-ai,funding_round,,0,verified_alpha,1,https://www.globenewswire.com/news-release/2026/09/15/3362180/0/en/profound-raises-180m-series-d-at-1-8b-valuation-to-build-the-ai-platform-for-marketing-teams.html,"Sequoia co-led Profound's $180M Series D (AI answer-engine-optimization/marketing platform) with Kleiner Perkins, at a $1.8B valuation -- up from ~$1B seven months earlier. Sequoia's own slice not disclosed; amount_usd left blank, full round in round_total_usd. Khosla Ventures also participated as an existing investor (companion row). Corroborated by TechCrunch, Dealroom, Wilson Sonsini, TechFundingNews, TheAIInsider (2026-09-15/16). Official company newsroom (tryprofound.com) and this GlobeNewswire PR cite the same figures; this run's WebFetch tool was blocked for every domain tried (see summary.md), so graded verified_alpha rather than verified despite citing an official-PR-distribution URL.",lead,equity,series d,180000000,1800000000,Kleiner Perkins (co-lead); Khosla Ventures; Lightspeed Venture Partners; Saga Ventures; South Park Commons; Evantic (new)
2026-09-15,2026-09-15,Khosla Ventures,vc,Profound,private,ai-applications,vertical-saas-ai,funding_round,,0,verified_alpha,1,https://www.globenewswire.com/news-release/2026/09/15/3362180/0/en/profound-raises-180m-series-d-at-1-8b-valuation-to-build-the-ai-platform-for-marketing-teams.html,Continuing/existing-investor participant (not lead) in Profound's $180M Series D co-led by Sequoia and Kleiner Perkins at a $1.8B valuation. Companion row: Sequoia (co-lead).,participant,equity,series d,180000000,1800000000,Sequoia (co-lead); Kleiner Perkins (co-lead); Lightspeed Venture Partners; Saga Ventures; South Park Commons; Evantic
2026-09-14,2026-09-14,Khosla Ventures,vc,Nara Health,private,ai-applications,healthcare-ai,funding_round,,0,verified_alpha,1,https://www.morningstar.com/news/business-wire/20260914180305/nara-health-raises-14m-to-reinvent-health-insurance-through-ai-benefits-administration-and-alternative-health-plans,"Khosla Ventures led Nara Health's combined pre-seed + seed ($14M total), an AI-native third-party administrator (agentic AI benefits administration, claims processing, care orchestration) for self-insured employer health plans. Khosla's own slice not disclosed; amount_usd blank, full raise in round_total_usd. Corroborated by MedCity News, HIT Consultant, Yahoo Finance, Rutland Herald (all 2026-09-14), all mirroring the same Business Wire release. WebFetch blocked this session -- see summary.md -- so capped at verified_alpha rather than verified.",lead,equity,seed,14000000,,Long Journey Ventures; Superior Studios
2026-09-15,2026-09-15,Khosla Ventures,vc,Factory,private,ai-applications,enterprise-ai-agents,funding_round,,0,verified_alpha,3,https://siliconangle.com/2026/09/15/factory-raises-200m-for-its-self-improving-software-development-platform/,"Khosla Ventures participated (no single lead named across coverage) in Factory's $200M growth round for its autonomous/self-improving AI software-engineering platform ('Droids'), at a $5B valuation -- more than tripled from $1.5B five months earlier. Amount_usd left blank (Khosla's slice not disclosed), full round in round_total_usd. Companion row: Sequoia (same round). Corroborated by TechFundingNews, Pulse2, TheNextWeb, WOWTALE, NewsBreak (all 2026-09-15/16).",participant,equity,growth,200000000,5000000000,Blackstone; Sequoia Capital; Insight Partners; Evantic Capital; Sound Ventures; NEA; Mantis VC; Clearlake Capital
2026-09-15,2026-09-15,Sequoia,vc,Factory,private,ai-applications,enterprise-ai-agents,funding_round,,0,verified_alpha,3,https://siliconangle.com/2026/09/15/factory-raises-200m-for-its-self-improving-software-development-platform/,Sequoia participated (no single lead named across coverage) in Factory's $200M growth round at a $5B valuation. Companion row: Khosla Ventures (same round).,participant,equity,growth,200000000,5000000000,Blackstone; Khosla Ventures; Insight Partners; Evantic Capital; Sound Ventures; NEA; Mantis VC; Clearlake Capital
2026-09-17,2026-09-17,Khosla Ventures,vc,Mazama Energy,private,power-energy,baseload-generation,funding_round,,0,verified_alpha,1,https://www.globenewswire.com/news-release/2026/09/17/3364060/0/en/mazama-energy-raises-135-million-to-scale-the-world-s-hottest-engineered-geothermal-system.html,"Khosla Ventures gave repeat/existing-investor participation (not lead) in Mazama Energy's oversubscribed $135M Series B for its superhot-rock enhanced-geothermal-system technology (750F/400C wells, up to 10x conventional-EGS power). Led by Centaurus Capital and Doerr Capital, with ConocoPhillips and Shell Ventures new. Amount_usd left blank, full round in round_total_usd. Corroborated by TechCrunch, Yahoo Finance, Energy Digital, Bend Bulletin, American Bazaar Online (all 2026-09-17/18).",participant,equity,series b,135000000,,Centaurus Capital (co-lead); Doerr Capital (co-lead); ConocoPhillips; Shell Ventures; Gates Frontier; SiteGround Capital; H. Barton Asset Management
2026-09-08,2026-09-08,Khosla Ventures,vc,Split Pay,private,ai-applications,fintech-ai,funding_round,,0,verified_alpha,3,https://www.axios.com/2026/09/08/split-pay-khosla-125-million,"Khosla Ventures led back-to-back Series A and Series B rounds totaling $125M for Split Pay (fka Rent.app), which fronts renters'/mortgage-holders' full bill and collects in installments. AI-driven underwriting is standard in this niche (instant split-payment approval decisions) but this run could not independently confirm Split Pay's own product is AI-core -- sector fit (ai-applications/fintech-ai) is the closest bucket, flagged per CONTEXT.md's unknown-sector rule rather than dropped. Amount_usd left blank (Khosla's own slice of the combined $125M not broken out), round_total_usd covers both the A and B tranches. Thrive Capital and Max Levchin also participated (companion row: Thrive Capital). Corroborated by Refresh Miami, Pulse2/AlphaMaven, TheSaaSNews, WRE News, FundraiseInsider (2026-09-08/09).",lead,equity,series a/b,125000000,,Thrive Capital; Max Levchin; MetaProp; Alpaca VC; Moderne Ventures; Intuit Ventures; SciFi VC
2026-09-08,2026-09-08,Thrive Capital,vc,Split Pay,private,ai-applications,fintech-ai,funding_round,,0,verified_alpha,3,https://www.axios.com/2026/09/08/split-pay-khosla-125-million,"Participant alongside lead Khosla Ventures and angel Max Levchin in Split Pay's combined $125M Series A+B. Same sector-fit caveat as the Khosla Ventures row -- filed under closest bucket (ai-applications/fintech-ai) rather than dropped, per CONTEXT.md's unknown-sector rule.",participant,equity,series a/b,125000000,,Khosla Ventures (lead); Max Levchin; MetaProp; Alpaca VC; Moderne Ventures; Intuit Ventures; SciFi VC
2026-08-26,2026-08-26,Founders Fund,vc,Voya Energy,private,power-energy,energy-infrastructure,funding_round,,0,verified_alpha,1,https://www.financialcontent.com/article/bizwire-2026-8-26-voya-energy-unveils-metal-fuels-energy-system-closes-35-million-series-a,"Founders Fund participated (not lead) in Voya Energy's $35M Series A, closing out its metal-fuels (aluminum-based) power-generation system -- combustion-free electricity from recycled metal via an electrochemical process. Led by Energy Impact Partners (also led Voya's Nov-2025 $13M seed, in which Founders Fund also participated). Amount_usd left blank, full round in round_total_usd. Corroborated by ESG Today, InvestMETS, and Voya's own newsroom (voya.energy/news).",participant,equity,series a,35000000,,Energy Impact Partners (lead); Overmatch; Seven Stars; Mantis; StepStone Group
2026-08-27,2026-08-27,Founders Fund,vc,REGENT Craft,private,defense-tech,defense-manufacturing,funding_round,,0,verified_alpha,1,https://www.regentcraft.com/news/regent-secures-240-million-series-b-funding-to-scale-seaglider-manufacturing-and-transform-maritime-mobility,"Founders Fund participated (not lead) in REGENT Craft's $240M Series B ($120M equity + $120M debt from Erebor Bank) for its electric Seaglider -- a maritime/defense autonomous-mobility platform with new military partnerships pending; Lockheed Martin Ventures and Japan Airlines also participated. Co-led by Mare Liberum and AE Ventures. Amount_usd left blank (equity slice not disclosed), round_total_usd set to the full $240M (equity+debt combined per the company's own release) -- debt component flagged here rather than a separate line. Sector filed as defense-tech (closest fit given the military-partnership/Lockheed Martin Ventures angle) rather than pure robotics/transport. Corroborated by PBN, Tectonic Defense, Defence Blog, VentureBurn (all 2026-08-27/28).",participant,equity,series b,240000000,,Mare Liberum (co-lead); AE Ventures (co-lead); DCVC; Caffeinated Capital; Lockheed Martin Ventures; Japan Airlines; Erebor Bank (debt)
