name,layers,sector,role,tier,ticker,public_private,geo,f_share,f_alternatives,f_switch_time,f_barrier,share_note,one_liner,what_breaks_it,dc_node
ASE Technology,L5,Adv Packaging,producer,core,NYSE: ASX,Pub,TW,3,3,3,4,"The majority of our front-end wafer manufacturing operations is outsourced to external foundries, including Taiwan Semiconductor Manufacturing Company Limited (“TSMC”). We use third-party CMs for a significant majority of our assembly and test operations, including TSMC, Advanced Semiconductor Engineering, Inc., Foxconn Technology Group, Amkor Technology, Inc. and Siliconware Precision Industries Co., Ltd.",Крупнейший независимый подрядчик по упаковке и тестированию чипов.,Заказчики переводят передовую упаковку внутрь фаундри (CoWoS у TSMC).,pkg
Amkor Technology,L5,Adv Packaging,producer,core,NASDAQ: AMKR,Pub,US,2,2,3,4,"In 2025, 2024 and 2023 one customer accounted for 29.8 %, 30.8 % and 27.7 % of total net sales, respectively.",Второй независимый подрядчик по упаковке и тестированию; сильные позиции в США.,"Потеря крупнейшего заказчика, дающего почти треть выручки.",pkg
Siliconware Precision Industries,L5,Adv Packaging,producer,core,,Pub,TW,2,2,2,3,"The majority of our front-end wafer manufacturing operations is outsourced to external foundries, including Taiwan Semiconductor Manufacturing Company Limited (“TSMC”). We use third-party CMs for a significant majority of our assembly and test operations, including TSMC, Advanced Semiconductor Engineering, Inc., Foxconn Technology Group, Amkor Technology, Inc. and Siliconware Precision Industries Co., Ltd.","Тайваньский подрядчик по упаковке и тестированию, входит в группу ASE.",Консолидация упаковки внутри фаундри.,pkg
King Yuan Electronics,L2,Test,producer,core,,Pub,TW,2,2,2,3,"Upon the completion of processing at the foundry, we use third-party contractors for packaging, assembly and testing, including Amkor Technology Inc. (Amkor) and Advanced Semiconductor Engineering, Inc. (ASE) for packaging our IC products, King Yuan Electronics Company (KYEC) and Sigurd Microelectronics Corp. (Sigurd) for testing our IC produ",Подрядчик по тестированию микросхем для fabless-разработчиков.,Заказчики переносят тест к упаковщику или внутрь фаундри.,test
Sigurd Microelectronics,L2,Test,producer,core,,Pub,TW,1,1,2,2,"Upon the completion of processing at the foundry, we use third-party contractors for packaging, assembly and testing, including Amkor Technology Inc. (Amkor) and Advanced Semiconductor Engineering, Inc. (ASE) for packaging our IC products, King Yuan Electronics Company (KYEC) and Sigurd Microelectronics Corp. (Sigurd) for testing our IC produ",Небольшой тайваньский подрядчик по тестированию микросхем.,Уход одного-двух заказчиков — база клиентов узкая.,test
Astera Labs,L8,Network Silicon,producer,emerging,NASDAQ: ALAB,Pub,US,3,3,3,4,"We use a fabless manufacturing model and partner with TSMC to fabricate all of our ICs. We use Advanced Semiconductor Engineering and Amkor Technologies to assemble, package, and test our ICs.",Ретаймеры и фабрика связности внутри AI-стойки — соединяет ускорители с CPU и памятью.,Функцию ретаймера втягивают в коммутаторный чип или в сам ускоритель.,netsilicon
Credo Technology,L8,Network Silicon,producer,emerging,NASDAQ: CRDO,Pub,US,2,2,2,3,"In fiscal 2026, sales to our top 10 customers accounted for approximately 90% of our total revenue.",Активные электрические кабели и SerDes для соединения стоек в AI-кластере.,Переход кластеров на оптику вместо активной меди.,netsilicon
Fabrinet,L8,Optical Modules,producer,core,NYSE: FN,Pub,TH,3,2,2,3,"During fiscal year 2025, NVIDIA Corporation and Cisco Systems, Inc. contributed 27.6% and 18.2%, respectively, of our revenues.",Контрактный производитель оптических модулей и сборок; крупнейший заказчик — NVIDIA.,NVIDIA или Cisco переводят сборку к другому подрядчику.,transceivers
Cisco Systems,L8,Network Silicon,producer,core,NASDAQ: CSCO,Pub,US,2,1,2,3,"Второй по величине заказчик Fabrinet — 18,2% его выручки в 2025 финансовом году (10-K Fabrinet).",Сетевое оборудование для дата-центров и корпоративных сетей.,Гиперскейлеры окончательно переходят на белые коробки и собственный сетевой кремний.,netsilicon
Foxconn,L9,Server Systems,producer,anchor,TWSE: 2317,Pub,TW,4,2,2,3,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers. We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung. We utilize CoWoS technology for semiconductor packaging. We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",Крупнейший в мире контрактный сборщик; собирает AI-серверы и стойки.,"Заказчики распределяют объёмы между Quanta, Wistron и Inventec.",server
Wistron,L9,Server Systems,producer,core,TWSE: 3231,Pub,TW,2,1,1,2,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers. We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung. We utilize CoWoS technology for semiconductor packaging. We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",Тайваньский ODM-сборщик серверов и AI-модулей.,Перераспределение заказов к Foxconn или Quanta — переключение почти мгновенное.,server
Super Micro Computer,L9,Server Systems,producer,core,NASDAQ: SMCI,Pub,US,2,1,1,2,Four customers each accounted for 10% or more of our net sales in fiscal year 2025,"Собирает AI-серверы и стойки под новые платформы NVIDIA, Intel и AMD.",Потеря раннего доступа к новым платформам NVIDIA.,server
Vertiv,L9:primary|L7,Liquid Cooling,producer,core,NYSE: VRT,Pub,US,3,2,3,3,"Our partnership with NVIDIA supports the development of advanced power and thermal infrastructure aligned with next-generation AI and high-performance computing architectures, while our collaboration with Oklo reflects exploration of alternative energy solutions",Питание и жидкостное охлаждение дата-центров; партнёр NVIDIA по стоечной инфраструктуре.,Гиперскейлеры стандартизируют собственный дизайн охлаждения и отдают его дешёвым подрядчикам.,liquid
