source,target,edge_type,spine,strength,tech_node,started,evidence_quote,source_url,source_tier,published_date,note
TSMC,NVIDIA,supply,physical,95,cowos,2007,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers. We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung. We utilize CoWoS technology for semiconductor packaging. We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,filing,2026-02-25,"Пластины NVIDIA делают внешние фаундри; TSMC назван первым, упаковка — CoWoS."
Samsung Electronics,NVIDIA,supply,physical,45,,,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers. We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung. We utilize CoWoS technology for semiconductor packaging. We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,filing,2026-02-25,"Второй фаундри в списке NVIDIA — источник резервирования, не основной."
SK Hynix,NVIDIA,supply,physical,90,hbm,,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers. We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung. We utilize CoWoS technology for semiconductor packaging. We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,filing,2026-02-25,HBM для ускорителей: NVIDIA называет SK Hynix первым из трёх поставщиков памяти.
Micron Technology,NVIDIA,supply,physical,55,hbm,,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers. We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung. We utilize CoWoS technology for semiconductor packaging. We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,filing,2026-02-25,Второй источник HBM и DRAM для NVIDIA.
Foxconn,NVIDIA,supply,physical,70,,,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers. We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung. We utilize CoWoS technology for semiconductor packaging. We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,filing,2026-02-25,"Сборка, тест и упаковка готовых изделий NVIDIA."
Wistron,NVIDIA,supply,physical,45,,,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers. We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung. We utilize CoWoS technology for semiconductor packaging. We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,filing,2026-02-25,Второй ODM-подрядчик NVIDIA по сборке и тесту.
Fabrinet,NVIDIA,supply,physical,35,,,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers. We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung. We utilize CoWoS technology for semiconductor packaging. We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,filing,2026-02-25,Сборка и тест — в основном оптические модули и сборки.
Carl Zeiss SMT,ASML,supply,physical,100,euv,,"The number of lithography systems we are able to produce is limited by the production capacity of one of our key suppliers, Carl Zeiss SMT, our sole supplier of lenses, mirrors, illuminators, collectors and other critical optical components (which we refer to as optics).",https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,filing,2026-02-25,Единственный поставщик оптики; у ASML с ним эксклюзивное соглашение.
ASML,TSMC,supply,physical,95,euv,,"In November 2025, we were honored to receive the TSMC Supplier ‘Excellence in Green Manufacturing’ Award",https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,filing,2026-02-25,ASML — поставщик TSMC; в ноябре 2025 получил от него награду поставщика.
Lam Research,TSMC,supply,physical,60,,,"Our most significant customers during the fiscal years ending June 28, 2026, June 29, 2025, and June 30, 2024 included Micron Technology, Inc., Samsung Electronics Company, Ltd., SK hynix Inc., and Taiwan Semiconductor Manufacturing Company.",https://www.sec.gov/Archives/edgar/data/707549/000070754926000037/lrcx-20260628.htm,filing,2026-08-07,TSMC назван среди самых значимых клиентов Lam.
