edge_id,detail_ru,detail_en
microsoft__coreweave__customer_of,"Один заказчик даёт 67% выручки облака за последний отчётный год; годом раньше на двух крупнейших приходилось 77%, ещё годом раньше на трёх — 73%. Концентрация снижается, но остаётся той величиной, при которой уход одного клиента ставит вопрос о существовании бизнеса. Зависимость односторонняя: для гиперскейлера это одна из нескольких внешних площадок.","A single customer accounts for 67% of the cloud's latest full-year revenue; a year earlier the top two made up 77%, and the year before that the top three made up 73%. The concentration is easing but remains at the level where losing one client puts the business itself in question. The dependence runs one way: for the hyperscaler this is one external site among several."
openai__coreweave__customer_of,"Рамочное соглашение мая 2025 года и последующий заказ обязывают лабораторию заплатить до 6,5 млрд долларов к 31 мая 2031 года. Для облака это второй NVIDIA контракт после гиперскейлера и единственный, который заметно снижает концентрацию на одном заказчике. Срок в шесть лет означает, что мощность резервируется заранее, а не покупается по мере надобности.","A master services agreement from May 2025 and a subsequent order commit the lab to pay up to $6.5 billion through May 31, 2031. For the cloud this is the second NVIDIA contract after the hyperscaler, and the only one that materially dilutes its single-customer concentration. A six-year term means capacity is reserved up front rather than bought as needed."
nvidia__coreweave__supplies,"Все ускорители в инфраструктуре облака — этого поставщика, и это записано в контрактах с его собственными клиентами, то есть закреплено не закупочной политикой, а обязательствами перед третьей стороной. В 2025 году три поставщика дали 23%, 20% и 17% всех закупок; годом раньше первый из них давал 46%. Смена платформы означала бы пересмотр клиентских договоров, а не только тендер.","Every accelerator in the cloud's infrastructure comes from this supplier, and that is written into the contracts with its own customers — locked in by third-party obligations, not by procurement policy. Three suppliers accounted for 23%, 20% and 17% of total purchases, and a year earlier the largest of them for 46%. Switching platform would mean renegotiating customer contracts, not just running a tender."
tsmc__nvidia__manufactures,"Со стороны фабрики: крупнейший заказчик дал 25%, 22% и 19% её выручки в 2023, 2024 и 2025 годах, а десять крупнейших — 70%, 76% и 78%. Со стороны разработчика зависимость полная: собственных заводов у него нет, все пластины делают внешние фабрики. Концентрация обоюдная, но асимметричная по последствиям: фабрика теряет долю выручки, разработчик — возможность выпускать продукт.","From the foundry's side: its largest customer accounted for 25%, 22% and 19% of net revenue in 2023, 2024 and 2025, and its ten largest for 70%, 76% and 78%. From the designer's side the dependence is total — it owns no fabs and every wafer comes from outside. The concentration is mutual but the consequences are not: the foundry would lose a share of revenue, the designer would lose the ability to ship at all."
microsoft__nvidia__customer_of,"В 2026 финансовом году один прямой заказчик дал 22% выручки поставщика, второй — 14%. На конец периода три прямых заказчика держали 25%, 18% и 13% дебиторской задолженности, то есть концентрация видна не только в продажах, но и в том, кто сколько должен. Имён отчётность не называет, поэтому распределение между облаками остаётся оценкой.","In fiscal 2026 one direct customer accounted for 22% of the supplier's revenue and another for 14%. At year-end three direct customers held 25%, 18% and 13% of accounts receivable, so the concentration shows up not only in sales but in who owes how much. The filing names no one, so the split between clouds remains an inference."
nvidia__openai__invests_in,"Заявлено до 100 млрд долларов, раскрываемых постепенно — по мере ввода каждого гигаватта из десяти. Это не разовый чек, а привязка денег к физическому графику стройки: не построено — не выплачено. Поставщик финансирует собственного крупнейшего покупателя, то есть создаёт спрос на свой же товар.","Up to $100 billion is committed, released progressively as each of the ten gigawatts comes online. This is not a single cheque but money tied to a physical build schedule: nothing built, nothing paid. The supplier is financing its own largest buyer — manufacturing demand for its own product."
openai__nvidia__customer_of,"Соглашение покрывает не менее 10 гигаватт систем поставщика, что на сегодняшних плотностях означает миллионы ускорителей. Встречно поставщик обязался вложить в лабораторию до 100 млрд долларов по мере ввода мощностей, поэтому закупка и финансирование закупки идут одним пакетом.","The agreement covers at least 10 gigawatts of the supplier's systems — millions of accelerators at today's densities. In return the supplier committed up to $100 billion to the lab as that capacity comes online, so the purchase and the financing of the purchase travel as one package."
microsoft__openai__invests_in,"Партнёрство заключено в 2019 году и продлевалось дважды — в октябре 2025-го и в апреле 2026-го. Гиперскейлер остаётся крупнейшим инвестором, получает долю выручки и держит права на интеллектуальную собственность лаборатории, включая модели и инфраструктуру. Это не портфельная позиция: права на ИС встроены в продукты инвестора.","The partnership dates to 2019 and has been extended twice — in October 2025 and April 2026. The hyperscaler remains the largest investor, takes a share of revenue and holds rights to the lab's intellectual property, including models and infrastructure. This is not a portfolio position: those IP rights are built into the investor's own products."
microsoft__nebius__customer_of,"Соглашение вступило в силу 7 сентября 2025 года: выделенные кластеры на площадке в Вайнленде, Нью-Джерси, на пятилетний срок. Полная стоимость контракта оценена до 17,4 млрд долларов до 2031 года, поставка идёт траншами — первый в ноябре 2025-го, второй в феврале 2026-го. Для гиперскейлера это аренда чужой мощности при нехватке собственной.","The agreement took effect on September 7, 2025: dedicated clusters at the Vineland, New Jersey site on a five-year term. Total contract value is estimated at up to $17.4 billion through 2031, delivered in tranches — the first in November 2025, the second in February 2026. For the hyperscaler this is renting someone else's capacity when its own runs short."
google-cloud__anthropic__supplies,"Лаборатория объявила о расширении до одного миллиона ускорителей облака. Сделка оценена в десятки миллиардов долларов и должна дать заметно больше гигаватта мощности в 2026 году. Лаборатория при этом намеренно держит три платформы чипов сразу, поэтому даже контракт такого размера не делает поставщика единственным.","The lab announced an expansion to up to one million of the cloud's accelerators. The deal is worth tens of billions of dollars and is expected to bring well over a gigawatt of capacity online in 2026. The lab deliberately runs three chip platforms at once, so even a contract this size does not make the supplier exclusive."
