source,target,type,direction,strength,lock_in_depth,substitutability,is_reversible,risk_level,risk_type,risk_timeline,risk_mitigation,tech_node,formed,strengthened,note
tsmc,nvidia,manufactures,upstream,95,90,5,false,critical,geopolitical,2-5y,Второй фаундри как страховка; вынос части мощностей в США.,n3,1998,2020,Все ускорители NVIDIA делает внешняя фабрика: собственных заводов у него нет. Правила процесса вшиты в топологию чипа.
nvidia,tsmc,co_designs,bidirectional,85,85,15,false,high,geopolitical,2-5y,Совместная дорожная карта процесса на несколько поколений вперёд.,n3,2010,2022,"Дорожная карта техпроцесса согласуется совместно: чип проектируют под будущий процесс, а процесс — под будущий чип."
tsmc,nvidia,packages,upstream,90,85,10,false,high,technical,1-2y,Расширение мощностей упаковки и подключение независимых подрядчиков.,cowos,2016,2023,"Упаковку CoWoS, соединяющую кристалл с памятью, делают два-три подрядчика — ограничение отдельно от самого производства."
asml,tsmc,supplies,upstream,95,85,5,false,critical,regulatory,2-5y,Закупка станков заранее; альтернативы литографии такого класса нет.,euv,2010,2019,Станки для печати самых мелких элементов делает одна компания в мире. Без них передовой фабрики не существует.
zeiss-smt,asml,supplies,upstream,100,80,0,false,high,technical,5y+,Совместное владение мощностями и долгосрочное соглашение.,euv,1990,2016,"Единственный поставщик оптики для станков, с эксклюзивным соглашением. Ограничение лежит выше самого производителя станков."
lam-research,tsmc,supplies,upstream,65,55,35,true,medium,substitution,2-5y,Три поставщика оборудования делят рынок.,,1990,,Оборудование травления и осаждения; фабрика названа среди самых значимых клиентов.
lam-research,sk-hynix,supplies,upstream,65,50,35,true,medium,substitution,2-5y,Три поставщика оборудования делят рынок.,,1990,,Производитель памяти назван среди самых значимых клиентов поставщика оборудования.
lam-research,micron,supplies,upstream,65,50,35,true,medium,substitution,2-5y,Три поставщика оборудования делят рынок.,,1990,,Второй производитель памяти назван среди значимых клиентов.
lam-research,samsung,supplies,upstream,60,50,40,true,medium,substitution,2-5y,Три поставщика оборудования делят рынок.,,1990,,Третий производитель памяти назван среди значимых клиентов.
applied-materials,tsmc,supplies,upstream,65,55,35,true,medium,substitution,2-5y,Три поставщика оборудования делят рынок.,,1990,,"Оборудование нанесения слоёв; концентрация клиентов раскрыта без имён, но фабрика входит в первую двойку."
applied-materials,samsung,supplies,upstream,60,45,40,true,medium,substitution,2-5y,,,1990,,Второй крупный клиент поставщика оборудования по раскрытой концентрации.
kla,tsmc,supplies,upstream,75,55,25,true,medium,substitution,2-5y,Альтернативы контроля заметно слабее по точности.,,1990,,Оборудование поиска дефектов: без него выход годных на передовых узлах падает.
tokyo-electron,tsmc,supplies,upstream,60,45,40,true,medium,substitution,2-5y,,,1990,,Японское оборудование обработки пластин; поставщиков такого класса три.
shin-etsu,tsmc,supplies,upstream,65,45,35,true,medium,geopolitical,2-5y,Второй поставщик пластин и резиста.,,1990,,Пластины и светочувствительный слой расходуются на каждом чипе; поставщиков немного.
synopsys,nvidia,enables,upstream,85,80,15,false,high,substitution,5y+,Дуополия средств проектирования; смена методологии стоит лет.,,1993,2025,Без софта для проектирования современный чип не нарисовать. Дуополия делает зависимость структурной.
cadence,nvidia,enables,upstream,80,75,20,false,high,substitution,5y+,Дуополия средств проектирования.,,1993,2025,Вторая половина дуополии: размещение и трассировка миллиардов транзисторов.
nvidia,cadence,co_designs,bidirectional,70,60,30,true,medium,technical,2-5y,,,2024,2025,Совместно созданная вычислительная платформа для инженерного моделирования: софт проектирования сам считает на ускорителях.
synopsys,tsmc,optimizes_for,downstream,70,60,30,true,medium,technical,2-5y,,,1993,,Средства проектирования настраиваются под правила конкретного техпроцесса фабрики.
arm,nvidia,supplies,upstream,65,70,35,true,medium,substitution,2-5y,Собственные процессорные ядра и открытая архитектура как альтернатива.,arm-isa,2010,2024,"Набор команд, на котором построены процессоры в платформах ускорителей."
tsmc,arm,standardizes_on,upstream,70,60,30,true,low,technical,5y+,,arm-isa,1990,,Более 350 миллиардов выпущенных чипов используют эту архитектуру — общий знаменатель для фабрик.
sk-hynix,nvidia,supplies,upstream,90,80,15,false,high,market,1-2y,Три поставщика памяти вместо одного; долгосрочные соглашения.,hbm,2016,2023,"Быстрая память, которую ставят вплотную к ускорителю. Названа первой в списке поставщиков памяти."
micron,nvidia,supplies,upstream,60,60,40,true,medium,market,1-2y,Второй и третий источник памяти.,hbm,2020,2024,Третий поставщик памяти и единственный вне Кореи: снижает зависимость от одной юрисдикции.
samsung,nvidia,supplies,upstream,55,55,45,true,medium,market,1-2y,"Второй источник и по памяти, и по производству чипов.",hbm,2016,,"Поставляет и память, и производственные мощности — редкое сочетание в одной компании."
nvidia,samsung,diversifies_supply,downstream,60,50,40,true,medium,geopolitical,2-5y,Второй фаундри снижает зависимость от одной территории.,,2020,,Второй производитель чипов держится именно как страховка от концентрации на одной территории.
nvidia,micron,diversifies_supply,downstream,55,45,45,true,medium,geopolitical,1-2y,Третий поставщик памяти вне Кореи.,,2020,,Американский поставщик памяти держится как страховка от концентрации памяти в одной стране.
ase,nvidia,packages,upstream,55,45,45,true,medium,market,1-2y,Несколько независимых подрядчиков упаковки.,cowos,2016,,Независимая упаковка кристаллов помимо фабричной; подрядчиков такого масштаба два-три.
amkor,nvidia,packages,upstream,45,40,55,true,low,market,1-2y,Несколько независимых подрядчиков упаковки.,,2016,,"Второй независимый подрядчик упаковки, с площадками в США."
intel,nvidia,diversifies_supply,upstream,35,40,65,true,low,substitution,2-5y,Американская альтернатива производству остаётся запасным вариантом.,,2024,,"Единственная передовая фабрика в США: ценна геополитически, пока не по объёму."
intel,tsmc,competes_with,lateral,50,40,50,true,medium,substitution,2-5y,,,2021,,Пытается стать третьим контрактным производителем передовых чипов.
