owner_kind,owner_key,tier,type,title,url,published,quote,confidence
edge,foxconn__nvidia__integrates,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,We engage with independent subcontractors and contract manufacturers such as Hon Hai,
edge,foxconn__nvidia__integrates,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,wistron__nvidia__integrates,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,We engage with independent subcontractors and contract manufacturers such as Hon Hai,
edge,wistron__nvidia__integrates,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,fabrinet__nvidia__integrates,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,We engage with independent subcontractors and contract manufacturers such as Hon Hai,
edge,fabrinet__nvidia__integrates,2,sec_filing,Fabrinet 10-K FY2025,https://www.sec.gov/Archives/edgar/data/1408710/000140871025000039/fn-20250627.htm,2025-08-19,"NVIDIA Corporation and Cisco Systems, Inc. contributed 27.6% and 18.2%, respectively, of our revenues.",
edge,quanta__nvidia__integrates,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,We engage with independent subcontractors and contract manufacturers such as Hon Hai,
edge,quanta__nvidia__integrates,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,nvidia__supermicro__supplies,2,sec_filing,Supermicro 10-K FY2025,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,2025-08-28,"We work closely with NVIDIA, Intel and AMD, among others, to develop products",
edge,nvidia__supermicro__supplies,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
