owner_kind,owner_key,tier,type,title,url,published,quote,confidence
edge,nvidia__cuda__enables,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the foundational NVIDIA CUDA development platform that runs on all NVIDIA GPUs,",
edge,nvidia__cuda__enables,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,"If you want to compile with CUDA support, [select a supported version",
edge,cuda__pytorch__locks_in_developers,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,"If you want to compile with CUDA support, [select a supported version",
edge,cuda__pytorch__locks_in_developers,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,Tensor computation (like NumPy) with strong GPU acceleration,
edge,pytorch__cuda__path_dependent_on,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,"If you want to compile with CUDA support, [select a supported version",
edge,pytorch__cuda__path_dependent_on,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,Tensor computation (like NumPy) with strong GPU acceleration,
edge,cuda__nvidia__locks_in_platforms,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the foundational NVIDIA CUDA development platform that runs on all NVIDIA GPUs,",
edge,cuda__nvidia__locks_in_platforms,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,"If you want to compile with CUDA support, [select a supported version",
edge,pytorch__nvidia__validates_demand,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,Tensor computation (like NumPy) with strong GPU acceleration,
edge,pytorch__nvidia__validates_demand,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,"If you want to compile with CUDA support, [select a supported version",
edge,meta__pytorch__funded_by,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,Tensor computation (like NumPy) with strong GPU acceleration,
edge,meta__pytorch__funded_by,2,sec_filing,Meta 10-K 2025,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,2026-01-29,costs related to our data centers and technical infrastructure as well as other,
edge,jax__cuda__path_dependent_on,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,"If you want to compile with CUDA support, [select a supported version",
edge,jax__cuda__path_dependent_on,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,Tensor computation (like NumPy) with strong GPU acceleration,
edge,jax__pytorch__competes_with,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,Tensor computation (like NumPy) with strong GPU acceleration,
edge,jax__pytorch__competes_with,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,"If you want to compile with CUDA support, [select a supported version",
