owner_kind,owner_key,tier,type,title,url,published,quote,confidence
edge,tsmc__google__manufactures,4,analyst,TrendForce: чипы Google на 3 нм TSMC,https://www.trendforce.com/news/2025/10/21/news-googles-axion-cpu-reportedly-built-on-tsmcs-3nm-set-to-drive-foundrys-data-center-revenue-growth/,2025-10-21,Google’s First Arm-Based CPU Axion Reportedly Built on TSMC 3nm with GUC Design,
edge,arm__intel__competes_with,2,sec_filing,Intel 10-K 2025,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,2026-01-29,ARM-based products and the ARM ecosystem have seen increased development and adoption in,
edge,google__anthropic__supplies,2,partner_pr,Anthropic: расширение использования Google Cloud TPU,https://www.anthropic.com/news/expanding-our-use-of-google-cloud-tpus-and-services,2025-10-23,"we plan to expand our use of Google Cloud technologies, including up to one",
edge,google__anthropic__supplies,2,partner_pr,Anthropic: раунд Series H,https://www.anthropic.com/news/series-h,2026-05-01,"with Google and Broadcom for five gigawatts of next-generation TPU capacity, and",
edge,amd__pytorch__enables,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,"AMD ROCm Support If you want to compile with ROCm support, install",
edge,amd__pytorch__enables,2,sec_filing,AMD 10-K 2025,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/amd-20251227.htm,2026-02-03,We continue to invest in software capabilities and the open ecosystem through the AMD,
edge,amd__cuda__is_alternative_to,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,"AMD ROCm Support If you want to compile with ROCm support, install",
edge,taiwan__usa__geopolitically_dependent,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,the Creating Helpful Incentives to Produce Semiconductors and Science Act of 2022,
edge,brookfield__amazon__supplies,2,partner_pr,Brookfield и AWS: облако и зелёная энергия,https://press.aboutamazon.com/2022/11/Brookfield-Asset-Management-Selects-AWS-to-Enhance-Its-Renewable-Energy-Operations,2022-11-30,Brookfield Renewable agrees to provide clean energy capacity to power Amazon’s operations,
edge,cadence__synopsys__competes_with,2,sec_filing,Cadence 10-K 2025,https://www.sec.gov/Archives/edgar/data/813672/000081367226000016/cdns-20251231.htm,2026-02-19,"Key competitors include Synopsys, Inc., Ansys, Inc. (acquired by Synopsys), Siemens EDA, and",
edge,amazon__anthropic__supplies,2,partner_pr,Anthropic: раунд Series H,https://www.anthropic.com/news/series-h,2026-05-01,"We signed agreements with Amazon for up to five gigawatts of new capacity,",
edge,brookfield__anthropic__invests_in,2,partner_pr,Anthropic: раунд Series H,https://www.anthropic.com/news/series-h,2026-05-01,"Significant investors in this round include AMP PBC, Baillie Gifford, Blackstone, Brookfield, D.E.",
edge,blackstone__anthropic__invests_in,2,partner_pr,Anthropic: раунд Series H,https://www.anthropic.com/news/series-h,2026-05-01,"Significant investors in this round include AMP PBC, Baillie Gifford, Blackstone, Brookfield, D.E.",
edge,vllm__openai__enables_interop,2,product_doc,vLLM README,https://raw.githubusercontent.com/vllm-project/vllm/main/README.md,2026-08-01,"OpenAI-compatible API server, plus Anthropic Messages API and gRPC support -",
edge,vllm__anthropic__enables_interop,2,product_doc,vLLM README,https://raw.githubusercontent.com/vllm-project/vllm/main/README.md,2026-08-01,"OpenAI-compatible API server, plus Anthropic Messages API and gRPC support -",
edge,google-cloud__google__funded_by,2,partner_pr,Anthropic выбирает Google Cloud,https://www.anthropic.com/news/anthropic-partners-with-google-cloud,2023-02-03,"an AI safety and research company, has selected Google Cloud",
edge,google-cloud__anthropic__supplies,2,partner_pr,Anthropic выбирает Google Cloud,https://www.anthropic.com/news/anthropic-partners-with-google-cloud,2023-02-03,"an AI safety and research company, has selected Google Cloud",
edge,google-cloud__anthropic__supplies,2,partner_pr,Anthropic: расширение использования Google Cloud TPU,https://www.anthropic.com/news/expanding-our-use-of-google-cloud-tpus-and-services,2025-10-23,"we plan to expand our use of Google Cloud technologies, including up to one",
edge,anthropic__google-cloud__customer_of,2,partner_pr,Anthropic: расширение использования Google Cloud TPU,https://www.anthropic.com/news/expanding-our-use-of-google-cloud-tpus-and-services,2025-10-23,"we plan to expand our use of Google Cloud technologies, including up to one",
edge,google-cloud__google-deepmind__enables,2,partner_pr,Anthropic выбирает Google Cloud,https://www.anthropic.com/news/anthropic-partners-with-google-cloud,2023-02-03,"an AI safety and research company, has selected Google Cloud",
edge,google-cloud__microsoft__competes_with,2,partner_pr,Anthropic: раунд Series H,https://www.anthropic.com/news/series-h,2026-05-01,"We signed agreements with Amazon for up to five gigawatts of new capacity,",
edge,google-cloud__amazon__competes_with,2,partner_pr,Anthropic: раунд Series H,https://www.anthropic.com/news/series-h,2026-05-01,"We signed agreements with Amazon for up to five gigawatts of new capacity,",
edge,google-cloud__amazon__competes_with,2,partner_pr,Anthropic: раунд Series H,https://www.anthropic.com/news/series-h,2026-05-01,"with Google and Broadcom for five gigawatts of next-generation TPU capacity, and",
entity,google-cloud,2,partner_pr,Anthropic выбирает Google Cloud,https://www.anthropic.com/news/anthropic-partners-with-google-cloud,2023-02-03,"an AI safety and research company, has selected Google Cloud",
