owner_kind,owner_key,tier,type,title,url,published,quote,confidence
edge,cuda__nvidia__defines_category,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the foundational NVIDIA CUDA development platform that runs on all NVIDIA GPUs,",
edge,nvidia__openai__hedges_against,2,partner_pr,OpenAI + NVIDIA: 10 GW,https://openai.com/index/openai-nvidia-systems-partnership/,2025-09-22,NVIDIA intends to invest up to $100 billion in OpenAI progressively as each,
edge,nvidia__openai__hedges_against,2,partner_pr,OpenAI + NVIDIA: 10 GW,https://openai.com/index/openai-nvidia-systems-partnership/,2025-09-22,OpenAI to build and deploy at least 10 gigawatts of AI datacenters with,
edge,nvidia__arm__diversifies_supply,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,suppliers of Arm-based CPUs and companies that incorporate hardware and software for CPUs,
edge,nvidia__arm__diversifies_supply,2,sec_filing,Arm 20-F FY2026,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,2026-05-26,more than 350 billion Arm-based chips were reported as shipped cumulatively.,
edge,nvidia__cuda__standardizes_on,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the foundational NVIDIA CUDA development platform that runs on all NVIDIA GPUs,",
edge,nvidia__cuda__standardizes_on,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,"If you want to compile with CUDA support, [select a supported version",
edge,nvidia__cuda__standardizes_on,2,product_doc,PyTorch README,https://raw.githubusercontent.com/pytorch/pytorch/main/README.md,2026-08-01,Tensor computation (like NumPy) with strong GPU acceleration,
edge,nvidia__mlcommons__sets_benchmark,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,nvidia__mlcommons__sets_benchmark,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the foundational NVIDIA CUDA development platform that runs on all NVIDIA GPUs,",
edge,openai__microsoft__validates_demand,2,sec_filing,Microsoft 10-K FY2026,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,2026-07-29,Microsoft is a major investor in OpenAI and will continue to receive revenue-sharing,
edge,openai__microsoft__validates_demand,2,sec_filing,Microsoft 10-K FY2026,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,2026-07-29,"We hold rights to OpenAI’s intellectual property, including models and infrastructure,",
