entity_id,irreplaceability,lock_in_depth,time_to_replace,strategic_control,why_irreplaceability,why_lock_in,why_time,why_control
eaton,60,55,65,25,Поставщиков питания такого класса три-четыре,Задевает энергию и площадки,Очередь на оборудование — два года,Отношений с якорем напрямую нет
schneider,55,50,60,25,Поставщиков питания несколько,Задевает энергию и площадки,Очередь на оборудование — два года,Отношений с якорем напрямую нет
ge-vernova,70,55,75,15,Производителей больших турбин три,Задевает энергию и площадки,Очередь на турбину — три-пять лет,Отношений с якорем нет
siemens-energy,65,50,70,15,Производителей больших турбин три,Задевает энергию,Очередь на оборудование — три года,Отношений с якорем нет
delta-electronics,50,45,50,45,Поставщиков питания стойки несколько,Задевает энергию и системы,Разработка под новую стойку — год,Совместная разработка без доли
constellation,65,50,80,15,Владельцев действующих АЭС такого масштаба немного,Задевает энергию и площадки,Новая станция строится больше семи лет,Отношений с якорем нет
bloom-energy,55,45,50,30,Поставщиков локальной генерации несколько,Задевает энергию и площадки,Развернуть сопоставимый парк — два года,Отношений с якорем нет
brookfield,40,55,55,25,Инфраструктурных управляющих несколько,"Задевает энергию, площадки и капитал",Заместить капитал такого масштаба — два-три года,Отношений с якорем напрямую нет
vertiv,65,60,60,55,"Поставщиков охлаждения стоек несколько, но заточка отличается","Задевает энергию, охлаждение и системы",Переделать охлаждение площадки — два года,"Совместная разработка, объявленное партнёрство"
nvent,45,40,45,25,Поставщиков охлаждения несколько,Задевает только охлаждение,Замена решения — год,Отношений с якорем напрямую нет
boyd,40,35,40,30,Поставщиков теплоотвода несколько,Задевает только охлаждение,Квалификация нового материала — до года,Отношения закупочные
lite-on,25,30,30,15,Поставщиков блоков питания много,Задевает только питание стойки,Смена поставщика — месяцы,Отношений с якорем нет
oklo,5,20,80,25,Построенных станций нет вовсе,Задевает только энергию,Атомная станция строится больше семи лет,"Партнёрства объявлены, денег якоря нет"
