name,suggested_class,seen_with,rationale
Bill Gates,individual,"Jeff Bezos (LifeMine Therapeutics Series E, 2026-08-05)","Gates Frontier, his personal investment vehicle, entered LifeMine's $188M Series E as a new investor alongside Bezos Expeditions. Gates Frontier also appears in the 2026-08-06 funding roundups independently. A repeat family-office co-investor with Bezos across AI-for-science and energy; the most obvious missing name on the individuals watchlist."
Milky Way Investments,individual,"Jeff Bezos (LifeMine Therapeutics Series E, 2026-08-05)",LED the $188M LifeMine Series E -- a low-profile private vehicle that outbid conventional crossover funds and pulled both Bezos Expeditions and Gates Frontier in behind it. Unidentified principal; worth resolving because a lead-check family office that sets terms for Bezos and Gates is a high-signal allocator.
John Doerr,individual,"Jeff Bezos (CuspAI Series B, 2026-07-20)",Named as an INDIVIDUAL investor (separate from Kleiner Perkins the firm) in CuspAI's $450M Series B that Bezos Expeditions co-led. Personal checks from Doerr into AI-for-materials are a distinct signal from KP's fund activity.
Lee Linden,individual,"Brian Singerman (GPx TX LP + Quiet Select TX LP Form Ds, 2026-07-28)",Co-manager of the GP on BOTH new Singerman vehicles filed 2026-07-28; co-founder of Quiet Capital. He is the other half of the most notable new-vehicle formation in the Thiel-extended orbit this window and is not currently tracked.
Lachy Groom,individual,"Ambrook $30M Series B, 2026-08-04",LED a $30M Series B as a named individual (not a firm) -- solo-GP-scale lead checks. Consistently ranked among the most active US angels in 2026 tracker data; a natural addition to the solo-investor watchlist.
Lip-Bu Tan,individual,"Sail Research $80M Seed+Series A, 2026-06-25","Intel's CEO writing a PERSONAL angel check into AI-agent inference infrastructure (Sail Research, $450M valuation) alongside John Hennessy and Tri Dao. A sitting semiconductor CEO angel-investing in the inference stack is a direct private-to-public read-through."
John Hennessy,individual,"Sail Research $80M Seed+Series A, 2026-06-25","Alphabet chairman, named personal angel in Sail Research's inference-efficiency round. Same rationale as Lip-Bu Tan: a public-company chair's personal AI-infrastructure position."
Andrej Karpathy,individual,"Peter Thiel / Dylan Field (Etched Series C, 2026-07-23)","Recurring named individual on the Etched cap table alongside two tracked network members, and appears in multiple frontier-AI angel lists in 2026. High-frequency technical angel in ai-compute."
Nico Rosberg,individual,"Jeff Bezos, Eric Schmidt (General Intuition Series A, 2026-06-25)",Named individual participant in the $320M General Intuition round beside Bezos and Schmidt. Non-obvious European family-office money showing up in US world-model labs.
Kyle Vogt,individual,"Elad Gil, Garry Tan (Odyssey Series B, 2026-06-17)","Cruise founder, named angel in Odyssey's $310M Series B alongside two watchlist individuals. Founder-turned-angel in world models / robotics-adjacent AI."
Guillermo Rauch,individual,"Elad Gil, Garry Tan (Odyssey Series B, 2026-06-17)","Vercel CEO, named in the same Odyssey angel sentence as Gil and Tan; also appears across 2026 developer-tooling angel lists. Repeat founder-angel."
Jeff Dean,individual,"Elad Gil, Garry Tan (Odyssey Series B, 2026-06-17)","Google chief scientist, named personal angel in Odyssey. A sitting hyperscaler research lead taking personal positions in world-model labs is a distinctive signal."
Arthur Mensch,individual,"Garry Tan (Monogram $40M seed, 2026-07-07)",Mistral CEO writing personal angel checks into US consumer-AI interface startups; frontier-lab founder cross-investing into the application layer.
Mark Pincus,individual,"Reid Hoffman (Prentis AI lab, 2026-07-24)",Co-founder with Hoffman of the new Prentis computer-use AI lab reportedly raising $100M at $1B. Long-running Hoffman co-investor; would let the engine see the pair as a unit.
Chamath Palihapitiya,individual,"individual-class round sweep (8090 Solutions $135M, week of 2026-06-27)",Named individual principal on a $135M round in the same sweep window. Adjacent to the PayPal-mafia orbit and an active personal allocator; not currently on the watchlist.
