id,name,aliases,type,role,sector,primary_layer,domain,layers,phase,ticker,public_private,geo,founded,revenue_usd_b,one_liner,why_irreplaceable,what_breaks_it,geo_risk,geo_risk_note,export_regime,concentration
eaton,Eaton,Eaton Corporation|Eaton Corporation plc,company,producer,grid_power,L6,,L6,mature,NYSE: ETN,public,IE,1911,24.9,"Оборудование, которое доводит электричество от сети до стойки: щиты, шины, защита.","Ставит оборудование питания на площадках для ИИ. Поставщиков такого класса три-четыре, но очередь на поставку измеряется годами.",Сокращение сроков поставки у конкурентов и потеря очереди.,low,Производство распределено между Северной Америкой и Европой.,,30
schneider,Schneider Electric,Schneider,company,producer,grid_power,L6,,L6,mature,EPA: SU,public,FR,1836,41.0,"Крупный поставщик оборудования питания для площадок, второй после Eaton.","Прямой аналог первого поставщика питания. Наличие двух-трёх делает слой конкурентным, а ограничение — не выбор, а срок поставки.",Сокращение спроса на стройку площадок.,low,Производство распределено по многим странам.,,30
ge-vernova,GE Vernova,GE Vernova Inc.,company,producer,generation,L6,,L6,scaling,NYSE: GEV,public,US,2024,35.0,Газовые турбины и сетевое оборудование — самый быстрый способ дать площадке много энергии.,"Турбин такого класса в мире делают три компании, и очередь на них расписана на годы вперёд. Это ограничивает скорость стройки сильнее цены.",Переход площадок на другие источники генерации.,medium,Производство в США и Европе.,,45
siemens-energy,Siemens Energy,Siemens Energy AG,company,producer,generation,L6,,L6,scaling,ETR: ENR,public,DE,2020,38.0,"Производитель больших турбин и сетевого оборудования, второй после GE Vernova.","Вторая из трёх компаний, умеющих делать большие турбины и трансформаторы. Ограничение — производственные мощности, а не технология.",Сокращение спроса на генерацию у площадок.,medium,Производство в Европе.,,45
delta-electronics,Delta Electronics,"Delta Electronics, Inc.",company,producer,rack_power,L7,,L6|L7,mature,TWSE: 2308,public,TW,1971,13.0,"Блоки питания и преобразователи, которые раздают электричество внутри стойки.","Питание внутри стойки становится сложнее с каждым поколением. Поставщиков несколько, но заточка под конкретную стойку требует совместной работы.",Смена архитектуры питания стойки.,medium,Производство на Тайване и в материковом Китае.,,55
constellation,Constellation Energy,Constellation,company,operator,generation,L6,,L6,mature,NASDAQ: CEG,public,US,2022,24.0,Крупнейший в США владелец действующих атомных станций; продаёт выработку дата-центрам.,"Продаёт безуглеродную выработку по долгим контрактам напрямую. Построить новую станцию нельзя быстро, поэтому ценность именно в действующих.",Регуляторный запрет на прямые контракты станция — дата-центр.,low,Активы в США.,,20
bloom-energy,Bloom Energy,Bloom Energy Corporation,company,producer,generation,L6,bloomenergy.com,L6,scaling,NYSE: BE,public,US,2001,1.9,"Топливные элементы: дают электричество прямо на площадке, не дожидаясь подключения к сети.","Решает главную проблему стройки — очередь на подключение. Технология не уникальна, но развёрнутых мощностей у конкурентов меньше.",Подключение к сети дешевеет и ускоряется.,low,Производство в США.,,25
brookfield,Brookfield,Brookfield Asset Management|Brookfield Infrastructure,company,capital,generation,L6,brookfield.com,L6|L14,mature,NYSE: BN,public,CA,1899,25.0,"Управляющий инфраструктурным капиталом: владеет энергетикой и площадками, на которых стоят вычисления.","Капитал, который создаёт активы, а не покупает акции. Владеет генерацией и площадками одновременно, поэтому дотягивается в стек через собственность.",Разворот цикла на рынке инфраструктурного капитала.,low,Активы в Северной Америке и Европе.,,20
vertiv,Vertiv,Vertiv Holdings|Vertiv Holdings Co,company,producer,cooling,L7,,L6|L7,mature,NYSE: VRT,public,US,2016,8.0,Питание и жидкостное охлаждение стоек; проектирует их заранее под новые поколения ускорителей.,"Совместно разрабатывает питание и охлаждение под будущие платформы. Это не поставка железа, а согласование теплового профиля до выхода продукта.",Гиперскейлеры стандартизуют собственный дизайн охлаждения.,low,"Производство в США, Европе и Азии.",,30
nvent,nVent,nVent Electric,company,producer,cooling,L7,,L7,scaling,NYSE: NVT,public,GB,2018,3.4,Шкафы и жидкостное охлаждение для стоек высокой плотности.,"Второй поставщик жидкостного охлаждения. Наличие нескольких делает слой конкурентным, а ограничение — сроки поставки.",Ценовое давление и приход азиатских производителей.,low,Производство в США и Европе.,,25
boyd,Boyd Corporation,Boyd,company,producer,thermal_materials,L7,,L7,mature,,private,US,1928,,"Теплоотводящие материалы и пластины, снимающие тепло прямо с кристалла.","Работает на уровне корпуса чипа, а не площадки. Поставщиков несколько, квалификация занимает месяцы.",Смена конструкции корпуса ускорителя.,low,Производство в США и Азии.,,30
lite-on,LiteOn Technology,Lite-On,company,producer,rack_power,L7,,L7,mature,TWSE: 2301,public,TW,1975,7.0,"Блоки питания для серверов и стоек, один из тайваньских поставщиков.",Взаимозаменяемый поставщик питания. Именно такие компании и должны получать низкую оценку: их несколько и переключение быстрое.,Ценовое давление со стороны других тайваньских поставщиков.,medium,Производство на Тайване и в материковом Китае.,,55
oklo,Oklo,Oklo Inc.,company,producer,generation,L6,,L6,emerging,NYSE: OKLO,public,US,2013,0.0,Разработчик малых атомных реакторов; продаёт будущую энергию по долгим соглашениям.,"Ни одного построенного реактора и ни одного обязывающего договора на поставку энергии. На карте это ставка, а не поставщик, и рубрика обязана это показать.",Отказ регулятора в лицензировании конструкции.,medium,"Площадки в США, лицензирование не пройдено.",,30
