owner_kind,owner_key,tier,type,title,url,published,quote,confidence
edge,vertiv__nvidia__co_designs,2,sec_filing,Vertiv 10-K 2025,https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,2026-02-13,Our partnership with NVIDIA supports the development of advanced power and thermal infrastructure,
edge,vertiv__nvidia__co_designs,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"including sufficient energy for powering data centers using our products,",
edge,vertiv__microsoft__supplies,2,sec_filing,Vertiv 10-K 2025,https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,2026-02-13,Our partnership with NVIDIA supports the development of advanced power and thermal infrastructure,
edge,vertiv__microsoft__supplies,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"including sufficient energy for powering data centers using our products,",
edge,vertiv__coreweave__supplies,2,sec_filing,Vertiv 10-K 2025,https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,2026-02-13,Our partnership with NVIDIA supports the development of advanced power and thermal infrastructure,
edge,vertiv__coreweave__supplies,2,sec_filing,CoreWeave 10-K 2025,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,all of the GPUs used in our infrastructure today are NVIDIA GPUs.,
edge,oklo__vertiv__strategic_partner,2,sec_filing,Vertiv 10-K 2025,https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/vrt-20251231.htm,2026-02-13,our collaboration with Oklo reflects exploration of alternative energy solutions,
edge,nvent__nvidia__optimizes_for,2,sec_filing,nVent 10-K 2025,https://www.sec.gov/Archives/edgar/data/1720635/000162828026008608/nvt-20251231.htm,2026-02-20,We are an enclosures and liquid cooling leader in the U.S. and globally.,
edge,nvent__nvidia__optimizes_for,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"including sufficient energy for powering data centers using our products,",
edge,nvent__microsoft__supplies,2,sec_filing,nVent 10-K 2025,https://www.sec.gov/Archives/edgar/data/1720635/000162828026008608/nvt-20251231.htm,2026-02-20,We are an enclosures and liquid cooling leader in the U.S. and globally.,
edge,nvent__microsoft__supplies,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"including sufficient energy for powering data centers using our products,",
edge,boyd__nvidia__supplies,2,sec_filing,nVent 10-K 2025,https://www.sec.gov/Archives/edgar/data/1720635/000162828026008608/nvt-20251231.htm,2026-02-20,We are an enclosures and liquid cooling leader in the U.S. and globally.,
edge,boyd__nvidia__supplies,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"including sufficient energy for powering data centers using our products,",
edge,lite-on__supermicro__supplies,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,We engage with independent subcontractors and contract manufacturers such as Hon Hai,
edge,lite-on__supermicro__supplies,2,sec_filing,Supermicro 10-K FY2025,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,2025-08-28,"We work closely with NVIDIA, Intel and AMD, among others, to develop products",
edge,delta-electronics__nvidia__optimizes_for,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"including sufficient energy for powering data centers using our products,",
edge,delta-electronics__nvidia__optimizes_for,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,We engage with independent subcontractors and contract manufacturers such as Hon Hai,
edge,eaton__microsoft__supplies,2,sec_filing,Eaton 10-K 2025,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,2026-02-26,"We make products for the data center, utility, industrial, commercial, machine building,",
edge,eaton__microsoft__supplies,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"including sufficient energy for powering data centers using our products,",
edge,eaton__equinix__supplies,2,sec_filing,Eaton 10-K 2025,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,2026-02-26,"We make products for the data center, utility, industrial, commercial, machine building,",
edge,eaton__equinix__supplies,2,sec_filing,Equinix 10-K 2025,https://www.sec.gov/Archives/edgar/data/1101239/000110123926000032/eqix-20251231.htm,2026-02-11,"digital infrastructure company, shortening the path to boundless connectivity anywhere",
edge,schneider__microsoft__supplies,2,sec_filing,Eaton 10-K 2025,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,2026-02-26,"We make products for the data center, utility, industrial, commercial, machine building,",
edge,schneider__microsoft__supplies,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"including sufficient energy for powering data centers using our products,",
edge,schneider__digital-realty__supplies,2,sec_filing,Eaton 10-K 2025,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,2026-02-26,"We make products for the data center, utility, industrial, commercial, machine building,",
edge,schneider__digital-realty__supplies,2,sec_filing,Digital Realty 10-K 2025,https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/dlr-20251231x10k.htm,2026-02-13,colocation and interconnection solutions for customers across a variety of industry verticals.,
