entity_id,irreplaceability,lock_in_depth,time_to_replace,strategic_control,why_irreplaceability,why_lock_in,why_time,why_control
openai,70,80,75,85,"Лабораторий несколько, спрос подхватят другие","Задевает облака, платформу, модели и приложения",Занять её место — два-три года,Объявлены вложения NVIDIA до 100 млрд долларов
anthropic,60,70,70,40,Лабораторий несколько,"Задевает облака, модели и приложения",Занять её место — два-три года,Публичное партнёрство без доли NVIDIA
meta,65,80,70,40,Покупателей такого масштаба несколько,"Задевает софт, модели, облака и приложения",Заместить такой объём спроса — два года,Совместная работа над открытым софтом без доли
xai,45,55,55,50,Лабораторий несколько,Задевает облака и модели,Занять её место — год-два,Публичное партнёрство без доли
mistral,40,45,50,25,Лабораторий несколько,Задевает модели и приложения,Занять её место — год-два,Отношений с NVIDIA формально нет
deepseek,45,55,55,0,"Лабораторий несколько, но подход отличается","Задевает модели, спрос и платформу",Повторить подход — год,"Отношения враждебные, доступ ограничен"
google-deepmind,55,60,65,20,Лабораторий несколько,"Задевает чипы, модели и облака",Занять её место — два-три года,Отношения конкурентные
databricks,55,55,55,60,Платформ данных несколько,"Задевает данные, инференс и приложения",Заместить — два года,Инвестиции NVIDIA и совместные продукты
servicenow,45,45,50,50,Корпоративных платформ несколько,Задевает приложения и инференс,Заместить — год-два,Объявленное партнёрство без доли
salesforce,40,40,45,40,Корпоративных платформ несколько,Задевает приложения,Заместить — год-два,Публичное партнёрство без доли
snowflake,45,45,50,45,Хранилищ данных несколько,Задевает данные и приложения,Заместить — год-два,Публичное партнёрство без доли
recursion,40,35,45,60,Отраслевых применений несколько,Задевает только приложения,Заместить — год,Суперкомпьютер построен совместно с NVIDIA
siemens,40,40,50,45,Промышленных применений несколько,Задевает только приложения,Заместить — год-два,Публичное партнёрство без доли
schrodinger,35,30,40,35,Отраслевых применений несколько,Задевает только приложения,Заместить — год,Отношения закупочные
