id,name,aliases,type,role,sector,primary_layer,layers,phase,ticker,public_private,geo,founded,revenue_usd_b,one_liner,why_irreplaceable,what_breaks_it,geo_risk,geo_risk_note,export_regime,concentration
foxconn,Foxconn,Hon Hai|Hon Hai Precision Industry|Foxconn Technology Group,company,producer,server_odm,L5,L5,mature,TWSE: 2317,public,TW,1974,215.0,Крупнейший в мире контрактный сборщик; собирает готовые серверы и стойки для ИИ.,"Масштаб и квалификация под конкретные платформы дают преимущество, но сборка как таковая воспроизводима: объёмы перераспределяются между тремя-четырьмя подрядчиками за квартал.",Перераспределение заказов к Quanta или Wistron.,high,Основные мощности на Тайване и в материковом Китае.,,70
wistron,Wistron,Wistron Corporation,company,producer,server_odm,L5,L5,mature,TWSE: 3231,public,TW,2001,35.0,"Тайваньский сборщик серверов и модулей, второй источник для крупных заказов.",Прямая альтернатива первому сборщику. Именно наличие второго и третьего подрядчика делает этот слой заменяемым.,Потеря квалификации на новом поколении систем.,high,Производство на Тайване и в материковом Китае.,,65
quanta,Quanta Computer,Quanta,company,producer,server_odm,L5,L5,mature,TWSE: 2382,public,TW,1988,45.0,"Тайваньский сборщик, один из трёх основных подрядчиков по серверам для ИИ.","Третий источник сборки. Существование трёх подрядчиков — это причина, по которой ни один из них не критичен.",Потеря квалификации на новом поколении систем.,high,Производство на Тайване.,,65
supermicro,Supermicro,Super Micro Computer|SMCI,company,producer,rack_integration,L5,L5,scaling,NASDAQ: SMCI,public,US,1993,22.0,"Собирает серверы и стойки, проектируя их заранее под новые поколения ускорителей.",Ценность в скорости вывода: продукты проектируются совместно с производителями процессоров до выхода платформы. Но собрать стойку умеют и другие.,Потеря раннего доступа к новым платформам.,medium,Сборка в США и на Тайване.,,45
dell,Dell,Dell Technologies,company,producer,rack_integration,L5,L5,mature,NYSE: DELL,public,US,1984,95.6,Собирает и продаёт корпоративные серверы для ИИ через собственный канал продаж.,"Канал продаж в корпоративный сегмент — то, чего нет у тайваньских сборщиков. Но сама сборка воспроизводима.",Корпоративные заказчики уходят напрямую в облако.,low,Производство распределено по нескольким странам.,,30
hpe,HPE,Hewlett Packard Enterprise,company,producer,rack_integration,L5,L5,mature,NYSE: HPE,public,US,2015,30.0,Второй крупный корпоративный производитель серверов и систем для ИИ.,Прямой аналог первого корпоративного производителя. Наличие обоих делает этот слой конкурентным.,Сжатие корпоративного сегмента в пользу облаков.,low,Производство распределено по нескольким странам.,,30
broadcom,Broadcom,Broadcom Inc.,company,producer,switching,L8,L3|L8,mature,NASDAQ: AVGO,public,US,1961,51.6,Делает коммутаторы для дата-центров и проектирует собственные ускорители для облаков.,Одновременно поставщик сетевых чипов и главный проектировщик альтернативных ускорителей для облаков. Второе делает его самой серьёзной угрозой позиции якоря.,Облака возвращаются к универсальным ускорителям вместо заказных.,medium,Производство отдано внешним фабрикам на Тайване.,,55
arista,Arista Networks,Arista,company,producer,switching,L8,L8,mature,NYSE: ANET,public,US,2004,7.0,Коммутаторы для дата-центров: связывают тысячи ускорителей в один кластер.,"Сеть под кластеры ускорителей проектируется целиком, вместе с операционной системой и эксплуатацией. Сменить вендора — это переделать сеть и переучить людей.",Облака переходят на собственные коммутаторы или на решения якоря.,low,"Производство контрактное, преимущественно вне Китая.",,30
marvell,Marvell,Marvell Technology,company,producer,interconnect,L8,L3|L8,mature,NASDAQ: MRVL,public,US,1995,6.5,Проектирует заказные чипы и компоненты межсоединений для дата-центров.,"Второй проектировщик заказных ускорителей для облаков. Присутствие двух таких компаний означает, что альтернативный путь для облаков реален.",Потеря заказов на заказные чипы к конкуренту.,medium,Производство отдано внешним фабрикам.,,50
astera-labs,Astera Labs,"Astera Labs, Inc.",company,producer,interconnect,L8,L8,scaling,NASDAQ: ALAB,public,US,2017,1.0,Микросхемы связности внутри стойки: соединяют ускорители с процессорами и памятью.,"Работает точно под требования платформы якоря, и её продукты попадают в референсные конструкции. Но функцию можно втянуть в коммутаторный чип.",Функция ретаймера уходит внутрь коммутатора или ускорителя.,low,Производство отдано фабрике на Тайване.,,40
