source,target,type,direction,strength,lock_in_depth,substitutability,is_reversible,risk_level,risk_type,risk_timeline,risk_mitigation,tech_node,formed,strengthened,note
cuda,nvidia,defines_category,bidirectional,85,90,15,false,medium,substitution,5y+,"Отрасль думает о вычислениях для ИИ в терминах, которые задал NVIDIA.",,2012,2016,"Не просто продукт, а рамка: отрасль описывает вычисления для ИИ в понятиях, которые ввёл NVIDIA."
nvidia,openai,hedges_against,downstream,75,70,25,true,medium,substitution,2-5y,"Хедж против того, что крупнейший покупатель уйдёт на заказные чипы облаков.",,2025,,Вложение в собственного крупнейшего покупателя — страховка от его перехода на альтернативное железо.
nvidia,arm,diversifies_supply,downstream,50,45,50,true,low,substitution,2-5y,Собственные процессорные ядра как альтернатива чужому набору команд.,arm-isa,2020,,"Держит архитектуру процессоров как второй вариант, не завися от неё целиком."
nvidia,cuda,standardizes_on,bidirectional,95,95,5,false,high,substitution,5y+,,,2006,2016,Отрасль сошлась на этой среде как на общем знаменателе: она и есть стандарт де-факто.
nvidia,mlcommons,sets_benchmark,downstream,60,45,40,true,low,none,ongoing,,,2018,,"Результаты NVIDIA стали планкой, с которой сравнивают всех остальных производителей."
openai,microsoft,validates_demand,downstream,75,65,25,true,medium,market,2-5y,,,2019,2023,"Спрос лаборатории доказал, что облачные мощности под ИИ окупаются — и запустил стройку у всех."
coreweave,nvidia,proves_roi,downstream,65,55,35,true,medium,market,1-2y,Модель держится на двух заказчиках.,,2023,2025,"Публичное независимое облако доказало, что на аренде ускорителей строится настоящий бизнес."
openai,nvidia,path_dependent_on,upstream,85,80,20,false,medium,substitution,2-5y,Лаборатория развивает собственный компилятор как путь наружу.,,2016,2023,Стек лаборатории оптимизирован под платформу NVIDIA на нескольких уровнях: развитие идёт вслед за ней.
microsoft,cuda,locks_in_platforms,bidirectional,80,85,20,true,medium,substitution,2-5y,Собственные чипы гиперскейлера — попытка ослабить замок.,,2016,,Облако завязано на среду программирования сразу на нескольких уровнях и уйти целиком не может.
amazon,cuda,locks_in_platforms,bidirectional,75,80,25,true,medium,substitution,2-5y,Собственные ускорители со своей средой — попытка выйти из замка.,,2016,,Клиенты AWS требуют совместимости с CUDA, поэтому Amazon закупает NVIDIA даже под собственные чипы.
huggingface,cuda,path_dependent_on,upstream,70,65,30,true,medium,substitution,2-5y,,,2018,,"Опубликованные модели оптимизируются под эту среду первой, остальные поддерживаются позже."
pytorch,huggingface,enables,bidirectional,75,60,25,true,low,technical,2-5y,,,2018,,"Библиотека обучения и общий хаб моделей держат друг друга: одна даёт код, другой — веса."
tsmc,cuda,enables,upstream,80,85,20,false,critical,geopolitical,2-5y,Без передового производства среда программирования не имеет носителя.,,2010,,"Замок CUDA держится, пока чипы есть кому печатать: передовой процесс в объёме освоила одна TSMC. Софт и фабрика держат друг друга."
openai,oracle,validates_demand,downstream,80,60,25,true,medium,market,2-5y,,,2025,,"Контракт на гигаватты доказал, что стройка облачных мощностей под одну лабораторию окупается."
broadcom,tsmc,customer_of,upstream,80,60,25,true,high,geopolitical,2-5y,,n3,2000,,"Проектировщик заказных ускорителей покупает у той же фабрики, что и NVIDIA: обе зависят от TSMC."
google,broadcom,customer_of,upstream,80,60,25,true,medium,substitution,2-5y,,,2016,,Облако платит внешнему разработчику за проектирование собственного ускорителя.
amd,cuda,could_disrupt,downstream,55,60,45,true,medium,substitution,2-5y,Открытая среда конкурента пока сильно отстаёт по экосистеме.,,2016,2023,Открытая среда программирования конкурента — единственный названный путь наружу из замка.
deepseek,cuda,could_disrupt,downstream,50,55,50,true,high,substitution,1-2y,Более дешёвое обучение увеличивает спрос на запуск моделей.,,2025,,Обучение сильной модели дешевле подрывает связку «больше ускорителей — лучше модель».
vllm,tensorrt,competes_with,lateral,55,45,45,true,medium,substitution,1-2y,,,2023,,vLLM против TensorRT: открытый запуск моделей против оптимизатора NVIDIA.
googl-placeholder,nvidia,competes_with,lateral,10,10,90,true,low,none,none,,,,,"Заглушка, которая должна быть отклонена ingest'ом: сущности с таким id нет."
nvidia,google,competes_with,lateral,75,70,25,true,high,substitution,2-5y,"Собственный протокол связи открыт чужим ускорителям, чтобы удержать их в своей сети.",,2016,2025,Клиент и конкурент одновременно: покупает ускорители и строит свои. Оба факта на карте.
nvidia,amazon,competes_with,lateral,65,60,35,true,high,substitution,2-5y,,,2018,2024,Второе облако в том же положении: крупнейший покупатель и производитель альтернативы.
nvidia,microsoft,competes_with,lateral,55,50,45,true,medium,substitution,2-5y,,,2023,,"Третье облако с собственным ускорителем, названное среди конкурентов в отчётности NVIDIA."
arm,nvidia,path_dependent_on,downstream,55,50,45,true,low,substitution,2-5y,,arm-isa,2020,,Развитие серверных процессоров архитектуры идёт вслед за требованиями платформ ускорителей.
nvidia,nventures,hedges_against,downstream,80,70,20,true,medium,market,2-5y,"Хедж против замыкания экосистемы на гиперскейлерах: деньги идут туда, где уход дороже всего.",,2022,,"Венчурное подразделение существует не ради доходности, а чтобы ключевые сущности орбиты остались на платформе."
meta,cuda,locks_in_platforms,bidirectional,70,75,30,true,medium,substitution,2-5y,Собственные чипы компании покрывают часть инференса.,,2016,,"Компания-автор библиотеки обучения сама заперта на среде, под которую эта библиотека собирается."
equinix,coreweave,supplies,upstream,45,30,55,true,low,market,1-2y,,,2022,,Нейтральные площадки под кластеры независимого облака.
