kind,id,field,lang,text
entity,a16z,why_control,en,No relationship with the anchor
entity,a16z,why_lock_in,en,Reaches models and applications
entity,amazon,why_control,en,Purchasing and competitive at once
entity,amazon,why_lock_in,en,"Reaches clouds, chips and models"
entity,amd,why_control,en,A competitive relationship
entity,amd,why_lock_in,en,Reaches chips and software
entity,amkor,why_control,en,No direct relationship with the anchor
entity,amkor,why_lock_in,en,Reaches packaging
entity,anthropic,why_control,en,A public partnership without an anchor stake
entity,anthropic,why_lock_in,en,"Reaches clouds, models and applications"
entity,applied-materials,why_control,en,No direct relationship with the anchor
entity,applied-materials,why_lock_in,en,Reaches fabs and memory
entity,arista,why_control,en,Competitive and partnered at the same time
entity,arista,why_lock_in,en,Reaches the network and systems
entity,arm,why_control,en,"Partnership and joint products, no stake"
entity,arm,why_lock_in,en,"Reaches chips, systems, software and applications"
entity,ase,why_control,en,No direct relationship with the anchor
entity,ase,why_lock_in,en,Reaches packaging and assembly
entity,asml,why_control,en,No direct anchor relationship; the link runs through the foundry
entity,asml,why_lock_in,en,"Reaches fabs, chips and memory"
entity,astera-labs,why_control,en,Public partnership and a place in the reference designs
entity,astera-labs,why_lock_in,en,Reaches the network and systems
entity,bis,why_control,en,Only lobbying and testimony before Congress
entity,bis,why_lock_in,en,"Reaches chips, systems, clouds and models"
entity,blackrock,why_control,en,No relationship with the anchor
entity,blackrock,why_lock_in,en,Reaches power and sites
entity,blackstone,why_control,en,No relationship with the anchor
entity,blackstone,why_lock_in,en,Reaches sites and power
entity,bloom-energy,why_control,en,No relationship with the anchor
entity,bloom-energy,why_lock_in,en,Reaches power and sites
entity,boyd,why_control,en,A purchasing relationship
entity,boyd,why_lock_in,en,Reaches cooling only
entity,broadcom,why_control,en,A competitive relationship
entity,broadcom,why_lock_in,en,"Reaches chips, the network and clouds"
entity,brookfield,why_control,en,No direct relationship with the anchor
entity,brookfield,why_lock_in,en,"Reaches power, sites and capital"
entity,cadence,why_control,en,Joint platform development with the anchor
