entity_id,irreplaceability,lock_in_depth,time_to_replace,strategic_control,why_irreplaceability,why_lock_in,why_time,why_control
foxconn,45,50,55,35,Подрядчиков сопоставимого масштаба три-четыре,Задевает сборку и системы,Перевести объёмы — от полугода до года,Совместные проекты без доли
wistron,35,35,35,25,"Подрядчиков несколько, переключение быстрое",Задевает только сборку,Перевод объёмов — до полугода,Отношения закупочные
quanta,35,35,35,25,"Подрядчиков несколько, переключение быстрое",Задевает только сборку,Перевод объёмов — до полугода,Отношения закупочные
supermicro,45,45,45,50,Сборщиков стоек несколько,Задевает сборку и системы,Наверстать ранний доступ — год,Публичное партнёрство без доли
dell,45,45,45,45,Производителей корпоративных серверов несколько,Задевает сборку и продажи,Построить канал продаж — два-три года,Публичное партнёрство без доли
hpe,40,40,40,40,Производителей корпоративных серверов несколько,Задевает сборку и продажи,Замена в пределах года,Публичное партнёрство без доли
broadcom,75,80,75,20,Проектировщиков заказных ускорителей такого класса единицы,"Задевает чипы, сеть и облака",Вырастить альтернативу — три-пять лет,Отношения конкурентные
arista,75,65,70,25,"Замены есть, но заточка под кластеры отличается",Задевает сеть и системы,Переделать сеть кластера — два-три года,Отношения конкурентные и партнёрские одновременно
marvell,60,55,60,20,Проектировщиков заказных чипов несколько,Задевает чипы и сеть,Вырастить программу заказного чипа — два-три года,Отношения конкурентные
astera-labs,60,55,55,55,"Заменимо, но заточено под платформу",Задевает сеть и системы,Замена решения — год-два,Публичное партнёрство и участие в референсных конструкциях
credo,50,45,50,40,"Альтернативы ясны, преимущество в инерции",Задевает только сеть,Замена решения — год,"Отношения закупочные, участие в экосистеме"
coherent,50,45,45,25,Поставщиков оптических модулей несколько,Задевает только сеть,Смена поставщика — до года,Отношения закупочные
fabrinet,40,35,40,30,Контрактных сборщиков оптики несколько,Задевает только сеть,Перевод сборки — до года,Отношения закупочные
cisco,45,40,45,20,Сетевых поставщиков несколько,Задевает только сеть,Замена в пределах года,Отношения конкурентные
microsoft,60,85,70,55,"Гиперскейлеров несколько, но каждый огромен","Задевает облака, платформу, модели и приложения",Перестроить отношения такого масштаба — два-три года,Публичное партнёрство без доли NVIDIA
amazon,60,80,70,40,Гиперскейлеров несколько,"Задевает облака, чипы и модели",Заместить облако такого масштаба — два-три года,Отношения закупочные и конкурентные
google,55,85,70,35,"Гиперскейлеров несколько, но вертикаль есть только здесь","Задевает чипы, облака, платформу и модели",Заместить такую вертикаль — больше трёх лет,Отношения закупочные и конкурентные
oracle,50,55,60,45,Облаков такого масштаба несколько,Задевает облака и площадки,Построить сопоставимые мощности — два-три года,Публичное партнёрство без доли
coreweave,55,45,50,80,Воспроизводимо гиперскейлером за год-два,Задевает только облачный слой,Аналог запускается за год-два,Инвестиции NVIDIA плюс контракт на поставку
nebius,40,40,45,60,Независимых облаков несколько,Задевает только облачный слой,Аналог запускается за год,Инвестиции NVIDIA и поставочный контракт
lambda,35,30,40,60,Независимых облаков несколько,Задевает только облачный слой,Аналог запускается за год,Инвестиции NVIDIA
crusoe,45,45,50,60,"Подход воспроизводим, но занят немногими",Задевает энергию и облака,Построить площадку у источника — год-два,Инвестиции NVIDIA
equinix,60,50,65,20,Нейтральных операторов такого масштаба два-три,Задевает площадки и сеть,Воспроизвести плотность подключений — три года,Отношений с NVIDIA нет
digital-realty,55,45,60,20,Операторов площадок несколько,Задевает только площадки,Построить кампус — два-три года,Отношений с NVIDIA нет
