name,suggested_class,seen_with,rationale
Valor Equity Partners,alt_manager,"Sequoia; Coatue; Altimeter; Thrive Capital; Andreessen Horowitz; Founders Fund","Highest-frequency non-watchlist name this window: co-lead of Base Power ($1B Series D) AND co-lead of Hadrian ($1.37B Series D), plus participant in Valar Atomics ($1B). Three of the four largest in-window rounds. Strong candidate for tier: key"
JPMorganChase Strategic Investment Group,corporate,"Sequoia; Coatue; Altimeter; Thrive Capital; Andreessen Horowitz; Founders Fund","Anchor co-lead of Hadrian, co-lead of Base Power, and lead of the $200M Valar Atomics credit facility. A bank balance sheet showing up as an equity co-lead in AI-adjacent industrial/energy buildout is a structural signal worth tracking"
Greenoaks,vc,"Sequoia","Co-led Glow's $180M Series A with Sequoia; also led Simile ($200M) in the same window and is a standing Safe Superintelligence backer. Consistently early into frontier AI at large check sizes"
Atreides Management,alt_manager,"Sequoia","Participated in Valar Atomics ($1B, Sequoia-led); also co-led Fireworks AI ($1.5B) and Sila ($300M) in July 2026. Crossover fund now writing lead-size checks in AI compute and energy"
Index Ventures,vc,"Sequoia; Thrive Capital","Led Chai Discovery's $400M Series C in which both Sequoia and Thrive participated; also co-led Fireworks AI and Enigma this window. Repeatedly the lead ahead of watchlist VCs"
Ribbit Capital,vc,"Coatue; Altimeter; Thrive Capital; Andreessen Horowitz","Co-led the $1B Base Power Series D at $13B, ahead of four watchlist VCs. Fintech firm crossing into energy infrastructure - a notable mandate shift"
Addition,vc,"Coatue; Altimeter; Thrive Capital; Andreessen Horowitz","Co-led Base Power's $1B Series D alongside Ribbit and Valor, with four watchlist VCs following"
Felicis,vc,"Khosla Ventures","Co-led Singularity Defense's $80M Series A with Khosla. Repeat co-lead with watchlist VCs in defense-tech"
Bessemer Venture Partners,vc,"Andreessen Horowitz","Co-led Neo Security's $100M with a16z; also led Onyx Security ($113M) and Malachyte in-window. Concentrated position in the AI-agent security layer"
137 Ventures,vc,"Andreessen Horowitz; Founders Fund; Altimeter","Co-led Hadrian's $1.37B Series D at $7.87B with three watchlist VCs participating behind it"
Baillie Gifford,alt_manager,"Sequoia; Thrive Capital; Andreessen Horowitz; Founders Fund; Altimeter","Co-lead of Hadrian and participant in Chai Discovery. UK asset manager acting as a late-stage private lead in defense/AI"
Cyberstarts,vc,"Sequoia","Co-led Glow's $180M Series A with Sequoia and also seeded it; specialist Israeli cyber seed fund that repeatedly hands off to Sequoia"
D1 Capital Partners,alt_manager,"Coatue; Altimeter; Thrive Capital; Andreessen Horowitz","Participated in Base Power alongside Coatue and Altimeter, and in the ~$2B Thrive Holdings financing alongside Altimeter and SoftBank. Recurring co-traveller with watchlist crossover funds"
First Round Capital,vc,"Khosla Ventures","Led the Ellis seed that Khosla participated in. Note for entity resolution: an August 3 trade roundup wrongly attributed this lead to Initialized/Sequoia"
Lachy Groom,individual,"Thrive Capital; Sequoia","Led Ambrook's $30M Series B with Thrive participating, and is an existing Chai Discovery investor. Solo-GP writing lead checks ahead of watchlist VCs - candidate for the individuals watchlist"
