source,target,type,direction,strength,lock_in_depth,substitutability,is_reversible,risk_level,risk_type,risk_timeline,risk_mitigation,tech_node,formed,strengthened,note
foxconn,nvidia,integrates,upstream,70,55,35,true,medium,geopolitical,1-2y,Три-четыре подрядчика сборки делят объёмы.,,2016,2023,"Собирает, тестирует и упаковывает готовые изделия якоря; назван в его отчётности поимённо."
wistron,nvidia,integrates,upstream,45,35,60,true,low,market,1-2y,Объёмы перераспределяются между подрядчиками за квартал.,,2016,,"Второй подрядчик сборки, назван в отчётности якоря."
fabrinet,nvidia,integrates,upstream,40,30,60,true,low,market,1-2y,Контрактных сборщиков оптики несколько.,,2016,,Собирает оптические модули и сборки; зависимость односторонняя — на якорь приходится больше четверти его выручки.
quanta,nvidia,integrates,upstream,45,35,60,true,low,market,1-2y,Третий подрядчик сборки.,,2018,,Третий тайваньский сборщик серверных систем для ИИ.
nvidia,supermicro,supplies,downstream,90,60,15,true,medium,market,1-2y,Сборщиков стоек несколько.,,2016,2023,Сборщик проектирует продукты под новые платформы заранее и совместно.
supermicro,nvidia,optimizes_for,downstream,70,50,30,true,low,market,1-2y,,,2016,,Продукты проектируются под конкретные поколения ускорителей до их выхода.
nvidia,dell,supplies,downstream,70,50,30,true,low,market,1-2y,,,2016,,Корпоративный производитель серверов продаёт ускорители через собственный канал.
nvidia,hpe,supplies,downstream,65,45,35,true,low,market,1-2y,,,2016,,Второй корпоративный производитель серверов в канале продаж.
dell,nvidia,delivers_to,downstream,55,40,45,true,low,market,1-2y,,,2016,,"Доводит готовые системы до корпоративных заказчиков, которых якорь сам не обслуживает."
tsmc,broadcom,manufactures,upstream,90,70,10,false,high,geopolitical,2-5y,Часть мощностей выносится в США.,n3,2000,,"Заказные ускорители для облаков делает та же фабрика, что и ускорители якоря."
ase,broadcom,packages,upstream,55,40,45,true,medium,market,1-2y,,cowos,2010,,Упаковка и тест заказных чипов.
amkor,broadcom,packages,upstream,45,35,55,true,low,market,1-2y,,,2010,,Второй подрядчик упаковки заказных чипов.
foxconn,broadcom,integrates,upstream,45,35,55,true,low,market,1-2y,,,2010,,Контрактная сборка и тест для проектировщика заказных чипов.
broadcom,nvidia,threatens,downstream,80,75,20,true,high,substitution,2-5y,Ускорители общего назначения остаются гибче заказных под одну задачу.,,2016,2024,Проектирует облакам собственные ускорители — прямая альтернатива закупке у якоря.
broadcom,google,co_designs,bidirectional,85,70,20,false,medium,substitution,2-5y,,,2016,2023,Собственный ускоритель облака проектируется вместе с внешним разработчиком чипов.
marvell,nvidia,threatens,downstream,55,45,45,true,medium,substitution,2-5y,Заказные чипы уступают в гибкости и в софте.,,2020,,Второй проектировщик заказных ускорителей для облаков.
arista,nvidia,competes_with,lateral,70,55,35,true,medium,substitution,2-5y,Собственная сетевая платформа якоря продаётся вместе с ускорителями.,infiniband,2019,2023,"Сети кластеров: собственный протокол якоря продаётся комплектом с ускорителями, что вытесняет независимого поставщика."
arista,microsoft,supplies,upstream,75,50,25,true,medium,market,1-2y,Клиентская база концентрирована на двух заказчиках.,,2010,,Коммутаторы для кластеров у гиперскейлера: два клиента дают больше 40% выручки поставщика.
arista,meta,supplies,upstream,70,45,30,true,medium,market,1-2y,,,2013,,Второй крупный заказчик коммутаторов по раскрытой концентрации.
astera-labs,nvidia,optimizes_for,downstream,60,50,40,true,low,technical,2-5y,Функцию можно втянуть в коммутаторный чип.,pcie,2019,2024,Микросхемы связности проектируются под конкретную платформу ускорителей и входят в референсные конструкции.
tsmc,astera-labs,manufactures,upstream,100,60,0,false,high,geopolitical,2-5y,Альтернативной фабрики для этих микросхем нет.,n5,2019,,ВСЕ микросхемы этой компании делает одна фабрика — зависимость абсолютная.
ase,astera-labs,packages,upstream,60,35,40,true,medium,market,1-2y,,,2019,,Упаковка и тест микросхем связности.
amkor,astera-labs,packages,upstream,60,35,40,true,medium,market,1-2y,,,2019,,Второй подрядчик упаковки микросхем связности.
tsmc,credo,manufactures,upstream,100,55,0,false,high,geopolitical,2-5y,Альтернативной фабрики нет.,n5,2018,2026,"Компания прямо пишет, что использует ИСКЛЮЧИТЕЛЬНО одну фабрику."
amkor,credo,packages,upstream,55,30,45,true,low,market,1-2y,,,2018,,Упаковка микросхем связности стоек.
