event_date,disclosed_date,allocator,allocator_class,target,target_type,sector,subsector,event_type,amount_usd,amount_estimated,status,source_tier,source_url,notes,theme,capital_role,instrument,stage,round_total_usd,ownership_pct,valuation_usd,co_investors,origin_id
2026-07-01,2026-07-01,MGX,sovereign,MGX Fund I,fund,ai-compute,ai-stack-generalist,fund_launch,49000000000,0,verified,1,https://www.mgx.ae/news-insights/mgx-pleased-confirm-final-close-mgx-fund-i-49-billion-total-commitments-significantly,"FINAL CLOSE of MGX Fund I at $49bn in total LP COMMITMENTS, above the $45bn target. This is capital committed TO THE VEHICLE, not capital deployed to named targets - do not read as $49bn of deals. Tier-1 MGX press release dated 01 Jul 2026 (page fetched and read directly); corroborated independently by Bloomberg, CNBC and The National. Fund I has invested in 14 companies since inception across semiconductors, AI infrastructure and AI-enabling platforms; press attributes stakes in OpenAI, Anthropic, xAI, Aligned Data Centers and TikTok US to the portfolio. Founding partners Mubadala + G42; chaired by Sheikh Tahnoon bin Zayed. LP base described only as institutional and private investors from the Gulf, North America, Asia and Europe - none named. Disclosed 37 days before run date, marginally outside the ~30d window but retained as the defining sovereign event of the period.",sovereign_ai,sole,equity,,,,,"undisclosed institutional and private LPs (Gulf, North America, Asia, Europe)",https://www.mgx.ae/news-insights/mgx-pleased-confirm-final-close-mgx-fund-i-49-billion-total-commitments-significantly
2026-07-21,2026-07-21,MGX,sovereign,Aligned Data Centers,private,datacenters,hyperscale-ai-colocation,minority_stake,,0,verified,1,https://aligneddc.com/press-release/aip-mgx-and-blackrocks-gip-close-acquisition-of-aligned-data-centers/,"CLOSING (not announcement - deal was struck Oct 2025) of the acquisition of 100% of Aligned Data Centers equity at ~$40bn enterprise value, the largest data-centre M&A on record. Buyer is a three-way consortium: the Artificial Intelligence Infrastructure Partnership (AIP), MGX, and BlackRock's Global Infrastructure Partners. MGX's OWN SLICE IS NOT DISCLOSED anywhere in the primary release, so amount_usd is left blank and the $40bn sits in round_total_usd - do NOT attribute $40bn to MGX. Note MGX is also a founding partner of AIP, so its exposure is double-counted across two of the three buyers. Seller: private infrastructure funds managed by Macquarie Asset Management and co-invest partners. Aligned: 51 campuses in North and South America, >6.4GW operational+planned. AIP states this is its first investment against an initial target of mobilising $30bn equity / up to $100bn including debt.",ai_infrastructure,participant,equity,buyout,40000000000,,,"Artificial Intelligence Infrastructure Partnership (AIP); BlackRock Global Infrastructure Partners; seller: Macquarie Asset Management",https://aligneddc.com/press-release/aip-mgx-and-blackrocks-gip-close-acquisition-of-aligned-data-centers/
2026-07-21,2026-07-21,MGX,sovereign,Aligned Data Centers,private,datacenters,ai-capacity-expansion,follow_on,,0,verified,1,https://aligneddc.com/press-release/aip-mgx-and-blackrocks-gip-close-acquisition-of-aligned-data-centers/,"SEPARATE from the acquisition price: the consortium committed $5bn of GROWTH CAPITAL at close to fund Aligned's continued expansion and scale-up of AI-ready capacity. Recorded as its own row because it is incremental capital, not purchase consideration - but MGX's share of the $5bn is undisclosed, so amount_usd is blank and $5bn sits in round_total_usd. Corroborated by Bloomberg (21 Jul 2026) and The National. Do not sum with the acquisition row.",ai_infrastructure,participant,equity,,5000000000,,,"Artificial Intelligence Infrastructure Partnership (AIP); BlackRock Global Infrastructure Partners",https://aligneddc.com/press-release/aip-mgx-and-blackrocks-gip-close-acquisition-of-aligned-data-centers/
2026-07-29,2026-07-29,US Government,sovereign,GlobalFoundries,public,networking,silicon-photonics-cpo,grant,300000000,0,verified,1,https://gf.com/news-and-events/news/globalfoundries-signs-letter-of-intent-with-the-us-department-of-commerce-for-a-300-million-award-to-accelerate-us-silicon-photonics-leadership/,"Largest of seven CHIPS R&D Office letters of intent announced the same day (total $874m). Funds next-gen silicon photonics: optical materials, wafer technologies, 3D hybrid bonding and advanced packaging for near-packaged (NPO) and co-packaged optics (CPO) - the interconnect layer of AI datacenters. CAVEAT: this is a NON-BINDING letter of intent, money is 'expected to be awarded' and is subject to final agreement - no cash has moved. In exchange Commerce takes ~1% ownership of GF as of the LOI date (ownership_pct=1). Follows $1.5bn of CHIPS manufacturing money GF received in 2024. Work leverages Malta NY and Burlington VT. GF is ~73% owned by Mubadala, so this is US state capital landing inside an Abu Dhabi sovereign portfolio company. Two independent Tier-1 primaries: GF newsroom and NIST/Commerce.",ai_infrastructure,sole,grant,,874000000,1,,"US Department of Commerce CHIPS R&D Office",https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million
2026-07-29,2026-07-29,US Government,sovereign,Kepler Computing,private,semiconductors,ai-memory,grant,245000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"One of seven CHIPS R&D Office LOIs announced 29 Jul 2026 ($874m total). Funds high-performance AI memory technology. NON-BINDING LOI - subject to further review and formal approval before any money is disbursed. Commerce receives a minority, non-controlling equity stake in the company as a condition of the award (stake size not disclosed). Tier-1 NIST/Commerce primary.",ai_infrastructure,sole,grant,,874000000,,,"US Department of Commerce CHIPS R&D Office",https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million
2026-07-29,2026-07-29,US Government,sovereign,Multibeam Corporation,private,fab-equipment,advanced-packaging-ebeam,grant,140000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"One of seven CHIPS R&D Office LOIs announced 29 Jul 2026 ($874m total). Funds advanced chip packaging technology. NON-BINDING LOI, subject to formal approval; Commerce takes a minority non-controlling equity stake as a condition. Tier-1 NIST/Commerce primary.",ai_infrastructure,sole,grant,,874000000,,,"US Department of Commerce CHIPS R&D Office",https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million
2026-07-29,2026-07-29,US Government,sovereign,Extropic,private,ai-compute,thermodynamic-computing,grant,75000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"One of seven CHIPS R&D Office LOIs announced 29 Jul 2026 ($874m total). Funds thermodynamic sampling units - a non-von-Neumann probabilistic compute architecture. Notable as federal money backing an unproven alternative accelerator architecture. NON-BINDING LOI; Commerce takes a minority non-controlling equity stake. Tier-1 NIST/Commerce primary.",ai_infrastructure,sole,grant,,874000000,,,"US Department of Commerce CHIPS R&D Office",https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million
2026-07-29,2026-07-29,US Government,sovereign,Thintronics,private,semiconductors,dielectric-materials,grant,50000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"One of seven CHIPS R&D Office LOIs announced 29 Jul 2026 ($874m total). Funds inter-layer dielectric materials for semiconductor substrates. NON-BINDING LOI; Commerce takes a minority non-controlling equity stake. Tier-1 NIST/Commerce primary.",ai_infrastructure,sole,grant,,874000000,,,"US Department of Commerce CHIPS R&D Office",https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million
2026-07-29,2026-07-29,US Government,sovereign,OBSIDIA Semiconductors,private,semiconductors,supply-chain-integrity,grant,34000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"One of seven CHIPS R&D Office LOIs announced 29 Jul 2026 ($874m total). Funds counterfeit component identification for the compute supply chain. NON-BINDING LOI; Commerce takes a minority non-controlling equity stake. Tier-1 NIST/Commerce primary.",ai_infrastructure,sole,grant,,874000000,,,"US Department of Commerce CHIPS R&D Office",https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million
2026-07-29,2026-07-29,US Government,sovereign,Aeluma,public,semiconductors,photonic-substrates,grant,30000000,0,verified,1,https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million,"Smallest of seven CHIPS R&D Office LOIs announced 29 Jul 2026 ($874m total). Funds indium-phosphide-free substrate technology for photonics/optoelectronics on silicon. NON-BINDING LOI; Commerce takes a minority non-controlling equity stake in this Nasdaq-listed company. Tier-1 NIST/Commerce primary.",ai_infrastructure,sole,grant,,874000000,,,"US Department of Commerce CHIPS R&D Office",https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million
