source,target,type,direction,strength,lock_in_depth,substitutability,is_reversible,risk_level,risk_type,risk_timeline,risk_mitigation,tech_node,formed,strengthened,note,origin
tsmc,google,manufactures,upstream,80,70,20,false,high,geopolitical,2-5y,Google распределяет заказ между несколькими проектировщиками чипов.,n3,2018,2025,"Собственные чипы Google делает та же фабрика, что и ускорители NVIDIA: конкуренты сходятся в одном узком месте.",A1
arm,intel,competes_with,lateral,65,55,35,true,medium,substitution,2-5y,Обновление собственной архитектуры под нагрузки ИИ.,,2016,2024,Архитектура Arm отбирает долю у x86 в дата-центрах; Intel называет её рост прямо в разделе о конкуренции.,A2
google,anthropic,supplies,downstream,85,70,20,true,medium,market,2-5y,Лаборатория намеренно держит три платформы чипов сразу.,,2023,2026,Google продаёт лаборатории мощность на собственных ускорителях — до миллиона чипов и пять гигаватт по последним соглашениям.,A3
amd,pytorch,enables,bidirectional,70,65,30,true,medium,substitution,2-5y,"Экосистема ROCm заметно меньше, чем у среды NVIDIA.",,2021,2025,Библиотека обучения собирается и под ускорители AMD: это единственный названный путь из замка среды NVIDIA.,A4
amd,cuda,is_alternative_to,lateral,55,55,45,true,medium,substitution,2-5y,"Путь существует, но по объёму написанного кода несопоставим.",,2021,2025,"Открытая среда AMD — жизнеспособный путь-замена, а не рыночная конкуренция: она поддержана той же библиотекой обучения.",A4
taiwan,usa,geopolitically_dependent,upstream,85,75,20,false,critical,geopolitical,5y+,Субсидии CHIPS Act оплачивают перенос части производства в США.,,2020,2022,"США зависят от острова по передовым чипам настолько, что оплачивают перенос производства к себе отдельным законом.",A7
brookfield,amazon,supplies,upstream,45,35,55,true,low,market,2-5y,Поставщиков зелёной мощности несколько.,,2022,,Инфраструктурный владелец продаёт облаку мощность ветра и солнца по долгосрочным контрактам.,A10
cadence,synopsys,competes_with,lateral,75,60,25,true,medium,market,2-5y,Дуополия устойчива: третий поставщик покрывает только ниши.,,1988,2025,Две половины дуополии софта для проектирования чипов: каждая называет другую первым конкурентом.,A11
amazon,anthropic,supplies,downstream,85,70,20,true,medium,market,2-5y,Лаборатория держит три платформы чипов сразу.,,2023,2026,Облако продаёт лаборатории до пяти гигаватт мощности на собственных ускорителях — рядом с уже учтёнными вложениями.,B-amazon
brookfield,anthropic,invests_in,downstream,45,30,55,true,low,market,1-2y,,,2026,,"Инфраструктурный капитал вошёл в капитал лаборатории — редкий случай, когда владелец энергии финансирует её потребителя.",B-brookfield
blackstone,anthropic,invests_in,downstream,40,25,60,true,low,market,1-2y,,,2026,,"Владелец площадок дата-центров вошёл в капитал лаборатории, которая эти площадки загружает.",B-blackstone
vllm,openai,enables_interop,bidirectional,60,50,40,true,low,technical,1-2y,,,2023,2025,"Открытый движок повторяет программный интерфейс лаборатории, и благодаря этому чужие стеки говорят на одном языке.",B-vllm
vllm,anthropic,enables_interop,bidirectional,50,40,50,true,low,technical,1-2y,,,2025,,Тот же движок поддерживает и интерфейс второй лаборатории: стандарт складывается поверх обоих.,B-vllm
google-cloud,google,funded_by,upstream,95,80,10,false,low,none,none,,,2008,,"Облако — подразделение материнской компании: его чипы, его лаборатория, его деньги.",GC
google-cloud,anthropic,supplies,downstream,85,70,20,true,medium,market,2-5y,Лаборатория намеренно держит три платформы чипов сразу.,,2023,2025,Лаборатория выбрала это облако как поставщика мощности и расширила закупку до миллиона ускорителей.,GC
anthropic,google-cloud,customer_of,upstream,80,60,25,true,medium,market,2-5y,,,2023,2025,Обратная сторона той же сделки: для облака это один из крупнейших контрактов на мощность.,GC
google-cloud,google-deepmind,enables,downstream,85,70,20,false,low,none,ongoing,,,2014,,Лаборатория внутри той же корпорации обучается на мощностях этого облака и его чипах.,GC
google-cloud,microsoft,competes_with,lateral,70,50,30,true,medium,market,1-2y,,,2010,,Третье облако-гигант конкурирует с первыми двумя за одни и те же контракты лабораторий.,GC
google-cloud,amazon,competes_with,lateral,70,50,30,true,medium,market,1-2y,,,2010,,Оба облака продают одной и той же лаборатории мощность на собственных ускорителях.,GC
